algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.870828747601583,0.8146859778960546,0.8419626626372337,nan,15.797210772832235,124.89658267974853,1000.0,0.0,nan,0,30681,0,207,4125.36896508892,211.30993293680652,0.9951462491791335,0.9366418924421714,0.6431926116347313,0.7229589208960533,224.19830322265625,211.30992820739746,224.19830322265625,211.30992820739746,147.0833511352539,4562.369127006531,1.984988973423251,3.6837827492987714,0.9951462491791335,0.9366418924421714,2.664506483773459,1.191006029810837,0.7184438467869219,0.939953459804641,89.90473056030274,183.53282833685674
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,3.8997394937454457,0.8151283128062884,0.835628614226977,nan,14.040251878591684,122.24452796936035,1000.0,0.0,nan,0,30647,0,209,4053.3190722077,213.04951423720914,0.9209347191315573,0.9445702639165033,0.731755229142996,0.6992060641944409,207.67857947716345,213.04951026916504,207.67857947716345,213.04951026916504,135.90599881685696,3416.8025212860107,2.0339920375077685,3.7149409728444884,0.9209347191315573,0.9445702639165033,2.7063716116424565,1.1792385901287339,0.7011926329471696,0.9431277189296287,90.61944717407226,190.60610157228388
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,3.937469846367386,0.8158136467138927,0.8455999748905499,nan,13.74323042233785,124.68175506591797,1000.0,0.0,nan,0,30601,0,209,3920.0218582260914,209.99825196423456,0.9675228931949355,0.9308723760210466,0.6542064920067787,0.7051861932873726,218.12152862548828,209.9982469177246,218.12152862548828,209.9982469177246,103.92145729064941,5842.722512512207,2.0713419512696936,3.747902899451518,0.9675228931949355,0.9308723760210466,2.741966330542424,1.173409700558864,0.7023005498186597,0.9329469335969269,89.23421545410156,178.07982538312
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,3.988600588614105,0.8063083118200303,0.9760139856735865,nan,16.253446682639744,123.17816246032714,1000.0,0.0,nan,0,32137,0,219,4236.200724585635,210.42633390942785,0.9602033651358137,0.9328693046459305,0.6509645957013835,0.6893675181269646,216.76290296471637,210.42633041381836,216.76290296471637,210.42633041381836,120.98139422872792,1530.7537844848632,2.1089899564479584,3.7796633245779003,0.9602033651358137,0.9328693046459305,2.777259303699935,1.1719285308796772,0.6854066785942813,0.9356885126785194,94.1416257019043,279.03576689471043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.0516296441023325,0.8110396458705267,0.9242592399319013,nan,15.43507973353068,122.98463134765625,1000.0,0.0,nan,0,30566,0,208,4653.967122905242,209.55777646034542,0.9297019558208652,0.929132942425478,0.680690124630928,0.681497593075037,209.53978220621744,209.55777214050292,209.53978220621744,209.55777214050292,142.26972834269205,7765.326411094666,2.1413430603957586,3.81123775299652,0.9297019558208652,0.929132942425478,2.809300937436063,1.170300028430153,0.6814518873140497,0.929165150730877,88.8520636291504,195.51832153386403
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,4.103440641513626,0.8135896481076876,0.8939547565579414,nan,12.475750168164572,119.9326089477539,1000.0,0.0,nan,0,30723,0,207,5171.584928463631,211.20524559374036,0.8872375238388561,0.9359878025795928,0.7282963593800863,0.6584211508929729,199.92387517293295,211.20524108886718,199.92387517293295,211.20524108886718,111.77815246582031,5361.126645660401,2.182643068354968,3.840748703385909,0.8872375238388561,0.9359878025795928,2.845885322367345,1.161789157613681,0.6623763513733756,0.9332283528395511,89.28026943969726,208.60013652062327
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,4.149174192729711,0.8154603134592374,0.9025793959697087,nan,14.126166777177291,118.27523006439209,1000.0,0.0,nan,0,30062,0,206,4535.790402397483,211.44528085966715,0.9327822788054203,0.9368789801271634,0.6495788070288572,0.6436478707194329,210.33245849609375,211.44527717590333,210.33245849609375,211.44527717590333,111.31343980268998,10269.111866455078,2.2243636818505594,3.8702136310086166,0.9327822788054203,0.9368789801271634,2.882703661513782,1.1522272598062058,0.6439570664512038,0.9366654080203425,89.2054249572754,184.3655011966115
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,4.185948261843078,0.8063256474335988,0.9720218669374784,nan,13.856407105922699,117.69663066864014,1000.0,0.0,nan,0,31181,0,221,4756.77730038635,210.4704735521108,0.9930819879420651,0.9333162927369492,0.5478315129876137,0.6352259680628777,224.2019074757894,210.4704684448242,224.2019074757894,210.4704684448242,79.77543147404988,2837.0513831329345,2.2452243343166995,3.900125289535554,0.9930819879420651,0.9333162927369492,2.907184716404242,1.155319095839234,0.6258622764476708,0.9397197600803544,94.94987893676758,312.5134998393891
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.221047953601848,0.8113349802295367,0.9256888070702552,nan,11.538538611852205,118.17537376403808,1000.0,0.0,nan,0,30450,0,208,4078.9759219146895,208.7465115162453,0.9514323644332244,0.9256295827996996,0.5947526710537764,0.6328628839552403,214.42061673677884,208.74650749206543,214.42061673677884,208.74650749206543,57.660080689650314,5465.171175346374,2.275547023354178,3.9305829885233776,0.9514323644332244,0.9256295827996996,2.9375614094218583,1.1531622892447646,0.6305369085199396,0.9272044004580837,89.07353903198242,189.55197857628005
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.28019742601844,0.8119629795352618,0.9838029323021571,nan,16.427501424153647,115.31293392181396,1000.0,0.0,nan,0,30856,0,210,4558.8056727271205,209.72156429427088,0.9170816060571163,0.9297452903156269,0.6318750103314718,0.6129830133914947,206.62114359537762,209.72155975341798,206.62114359537762,209.72155975341798,224.1552978515625,2400.8698985290525,2.308151212259562,3.960667112080249,0.9170816060571163,0.9297452903156269,2.969157572187837,1.150501255558899,0.6143010596896327,0.928861777460382,90.08725820922851,220.65279589952198
