algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,60,2.672174193730253,0.8834117773771286,0.38986533069610596,nan,0.023788897941509884,0.0,1000.0,0.0,nan,0,2,0,230,2.6721741937302523,0.0,0.06704121599406708,0.0,0.08333333333333333,0.0,0.636333342641592,0.0,0.8668651084105173,0.0,2.6721741937302523,4.440892098500626e-16,1.2,0.9558993555650409,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,61,2.7253345479753266,0.8835275774002075,0.38937891709804534,nan,0.024084882953992255,0.0,1000.0,0.0,nan,0,12,0,264,2.725334547975327,0.0,0.0787583326296793,0.0,0.46153846153846156,0.0,0.7795597475308639,0.0,0.8640217574743124,0.0,2.725334547975327,4.440892098500626e-16,1.215,0.9551106132273754,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,62,2.7803716539313506,0.8835731782913208,0.38890529811382296,nan,0.02351071098102973,0.0,1000.0,0.0,nan,0,9,0,251,2.780371653931351,0.0,0.0718650754276943,0.0,0.34615384615384615,0.0,0.6122231930494308,0.0,0.8270301062327164,0.0,2.780371653931351,4.440892098500626e-16,1.2299999999999998,0.9543853672362846,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,63,2.8374107198726692,0.8836691775321961,0.3884641231894493,nan,0.023827992437873036,0.0,1000.0,0.0,nan,0,18,0,372,2.8374107198726697,0.0,0.07089046451003658,0.0,0.5625,0.0,0.6632893243804574,0.0,0.805278530344367,0.0,2.8374107198726697,4.440892098500626e-16,1.245,0.9533683857936249,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,64,2.8797317800857956,0.8837329788208008,0.38796206229925156,nan,0.02342983102425933,0.0,1000.0,0.0,nan,0,19,0,303,2.8797317800857956,0.0,0.07092479994919042,0.0,0.6785714285714286,0.0,0.6514620791588511,0.0,0.8069085202046803,0.0,2.8797317800857956,0.0,1.26,0.9525239403982995,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,65,2.9146882802902803,0.8838659771680832,0.38744404131174087,nan,0.022739796755978696,0.0,1000.0,0.0,nan,0,2,0,248,2.9146882802902803,0.0,0.05554115802616263,0.0,0.07692307692307693,0.0,0.528680329139416,0.0,0.77453940648299,0.0,2.9146882802902803,0.0,1.275,0.9518456870289923,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,66,2.9504496656185593,0.8839863775968552,0.38701179331541063,nan,0.02272473856806755,0.0,1000.0,0.0,nan,0,1,0,225,2.950449665618559,0.0,0.056496668923297515,0.0,0.04,0.0,0.4974678444862366,0.0,0.7406998896598815,0.0,2.950449665618559,4.440892098500626e-16,1.2900000000000003,0.9512153188190045,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,67,2.9870369056922645,0.8839939795732498,0.38671259742975234,nan,0.022717514621286558,0.0,1000.0,0.0,nan,0,14,0,322,2.9870369056922645,0.0,0.05980827332176909,0.0,0.4827586206896552,0.0,0.5325978341801413,0.0,0.6924710664255865,0.0,2.9870369056922645,0.0,1.305,0.9503023704895218,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,68,3.0244720059477888,0.884112977385521,0.386354877948761,nan,0.022317341693183956,0.0,1000.0,0.0,nan,0,21,0,423,3.0244720059477883,0.0,0.06811641289322452,0.0,0.6176470588235294,0.0,0.5994317803312751,0.0,0.6823083670700297,0.0,3.0244720059477883,4.440892098500626e-16,1.32,0.9490824770724111,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,69,3.062778081137312,0.8842305766344071,0.3860221571922302,nan,0.021679617366508433,0.0,1000.0,0.0,nan,0,3,0,109,3.062778081137312,0.0,0.05404166120542566,0.0,0.15789473684210525,0.0,0.5407468566769048,0.0,0.8563727579618755,0.0,3.062778081137312,0.0,1.335,0.9487654603546718,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,70,3.1019794351188676,0.884289378285408,0.38571181398630144,nan,0.022436015183726947,0.0,1000.0,0.0,nan,0,3,0,85,3.101979435118868,0.0,0.06724227701955116,0.0,0.2,0.0,0.670660924911499,0.0,1.1024601737658182,0.0,3.101979435118868,4.440892098500626e-16,1.3499999999999999,0.9485331007003426,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,71,3.1421016475291226,0.8843207776546478,0.38551233321428297,nan,0.02150963500819423,0.0,1000.0,0.0,nan,0,4,0,174,3.1421016475291235,0.0,0.04896011548715333,0.0,0.18181818181818182,0.0,0.5043985979123549,0.0,0.7558052133430134,0.0,3.1421016475291235,8.881784197001252e-16,1.3650000000000002,0.948065913818309,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,72,3.183171667991226,0.8844191788434982,0.38522307109832765,nan,0.021656782552599906,0.0,1000.0,0.0,nan,0,8,0,214,3.183171667991225,0.0,0.06397751591724672,0.0,0.32,0.0,0.6260715925693512,0.0,0.8388800930976867,0.0,3.183171667991225,8.881784197001252e-16,1.38,0.947481575875898,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,73,3.225217918574414,0.8844161772727966,0.385063412129879,nan,0.021368890127632767,0.0,1000.0,0.0,nan,0,12,0,384,3.225217918574415,0.0,0.06726023822975964,0.0,0.375,0.0,0.6430719401687384,0.0,0.7333168424665928,0.0,3.225217918574415,8.881784197001252e-16,1.395,0.9463988286408432,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,74,3.2682704052928386,0.8845039772987365,0.3848148864507675,nan,0.020634963953246672,0.0,1000.0,0.0,nan,0,7,0,235,3.268270405292838,0.0,0.06381503517195465,0.0,0.2916666666666667,0.0,0.5386286787688732,0.0,0.7573805376887321,0.0,3.268270405292838,4.440892098500626e-16,1.41,0.9457277859926632,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,75,3.3123608395086923,0.8844959789514542,0.3847633612155914,nan,0.02072601650769894,0.0,1000.0,0.0,nan,0,7,0,251,3.3123608395086928,0.0,0.05177940098030251,0.0,0.2692307692307692,0.0,0.5851076749654917,0.0,0.6596796329204853,0.0,3.3123608395086928,4.440892098500626e-16,1.425,0.9450539014255819,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,76,3.357522770189856,0.8846057773828506,0.3845544480085373,nan,0.020353765537341435,0.0,1000.0,0.0,nan,0,3,0,161,3.357522770189855,0.0,0.04433376989232428,0.0,0.14285714285714285,0.0,0.45388226991608027,0.0,0.7183742097445897,0.0,3.357522770189855,8.881784197001252e-16,1.4400000000000002,0.94464955507065,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,77,3.4037917280656296,0.8846145778894424,0.38445278149843215,nan,0.020698307858159144,0.0,1000.0,0.0,nan,0,14,0,222,3.403791728065629,0.0,0.05535869629282381,0.0,0.5833333333333334,0.0,0.5325030932823817,0.0,0.7426885937650999,0.0,3.403791728065629,4.440892098500626e-16,1.4549999999999998,0.9440532342373458,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,78,3.4512053828263247,0.8846499787569047,0.3842668273448944,nan,0.020547074216761087,0.0,1000.0,0.0,nan,0,4,0,128,3.451205382826324,0.0,0.04674694652723864,0.0,0.21052631578947367,0.0,0.4713903916509528,0.0,0.7757997544188249,0.0,3.451205382826324,8.881784197001252e-16,1.47,0.9437199227428458,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,79,3.499803714624289,0.8847755782604217,0.3841762221455574,nan,0.01942815047434785,0.0,1000.0,0.0,nan,0,4,0,194,3.4998037146242895,0.0,0.051928590922210145,0.0,0.18181818181818182,0.0,0.5328993770209226,0.0,0.7654668363657865,0.0,3.4998037146242895,4.440892098500626e-16,1.485,0.9431917407635689,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,80,3.549629201256186,0.8847851780653,0.38405740410089495,nan,0.019934899506292174,0.0,1000.0,0.0,nan,0,5,0,309,3.5496292012561863,0.0,0.045633988740320916,0.0,0.17857142857142858,0.0,0.43323025533131193,0.0,0.59771707121815,0.0,3.5496292012561863,4.440892098500626e-16,1.5,0.942400487365875,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,81,3.600727022539671,0.8848015776872635,0.3839784941673279,nan,0.01950514242053032,0.0,1000.0,0.0,nan,0,4,0,226,3.6007270225396715,0.0,0.05361269427429601,0.0,0.16,0.0,0.5254262816905976,0.0,0.7169984531402588,0.0,3.6007270225396715,4.440892098500626e-16,1.515,0.941787481964523,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,82,3.653145283543021,0.8848551775217056,0.3838974569439888,nan,0.019209450788118622,0.0,1000.0,nan,nan,0,0,0,40,3.65314528354302,0.0,0.04481147351693207,0.0,0.0,0.0,0.5560982742092826,0.0,0.9862763068892739,0.0,3.65314528354302,8.881784197001252e-16,1.53,0.9416675289630734,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,83,3.706935258484402,0.8848705772161484,0.38385411459207536,nan,0.019565927889198066,0.0,1000.0,0.0,nan,0,5,0,149,3.706935258484402,0.0,0.04826611570997623,0.0,0.25,0.0,0.4813523069024086,0.0,0.7082525998353958,0.0,3.706935258484402,0.0,1.5450000000000002,0.9412787193625883,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,84,3.7621516572892535,0.884960777759552,0.3838179557919502,nan,0.01887564832577482,0.0,1000.0,0.0,nan,0,9,0,425,3.7621516572892526,0.0,0.045376508323197194,0.0,0.28125,0.0,0.3999315705150366,0.0,0.49316986184567213,0.0,3.7621516572892526,8.881784197001252e-16,1.56,0.9401018975382827,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,85,3.818852916980401,0.884977777838707,0.3838501889705658,nan,0.019264499402858994,0.0,1000.0,0.0,nan,0,9,0,177,3.818852916980402,0.0,0.051282955300239956,0.0,0.4090909090909091,0.0,0.5412458398125388,0.0,0.649847846139561,0.0,3.818852916980402,8.881784197001252e-16,1.575,0.9396093451364473,0.0
