algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,85,2.239547937131616,0.8787713110695282,7.8592137789726255,0.9176476339250048,2.1620624562104545,227.07860950946807,1000.0,0.35555097377402795,0.997979797979798,29986,303,164,45,1.2253391096989315,0.0,1.949034564853962,0.0,97.48448928197224,512.956248831749,1.2253391096989315,0.0,276.4613176981608,0.0,0.7746608903010687,0.0,276.4613176981608,0.0,13666.666977010085,0.0,1.949034564853962,0.23235401071384254,0.7746608903010687,1.2253391096989315,11.058452707926433,546.6666790804034
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,86,2.239547937131616,0.8793633129199346,0.5794889535506567,0.8762261284654369,2.2923614978790283,277.0835334634781,1000.0,0.596334569452849,1.0,30201,346,98,109,1.2545625404878096,0.0,1.949590618969678,0.0,6.059516711668535,1672.1793432199954,1.2545625404878096,0.0,283.0549025102095,0.0,0.7454374595121904,0.0,283.0549025102095,0.0,12977.103054390864,0.0,1.949590618969678,0.23250235888630913,0.7454374595121904,1.2545625404878096,10.378679758707682,475.82711199433174
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,87,2.239547937131616,0.8797223115960757,0.4236924524108569,0.9168460643671124,1.6547253592447801,361.31152759075167,1000.0,0.7820615458976689,1.0,30330,389,58,149,1.2863763597878544,0.0,1.950099552286205,0.0,1.9539063301953403,170.43268595814706,1.2863763597878544,0.0,290.25454989346593,0.0,0.7136236402121457,0.0,290.25454989346593,0.0,15044.608610344267,0.0,1.950099552286205,0.23252972454577903,0.7136236402121457,1.2863763597878544,10.642666829427084,551.6356490459566
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,88,2.239547937131616,0.8799983106056849,0.4116372713446617,0.9358580520205795,2.3776641130447387,370.58866525173187,1000.0,0.5304377603962858,1.0,30055,270,134,71,1.253274428844452,0.0,1.9506031277197273,0.0,4.391837453842163,2517.201683015823,1.253274428844452,0.0,282.4543090820313,0.0,0.746725571155548,0.0,282.4543090820313,0.0,14073.498913222658,0.0,1.9506031277197273,0.23265944962390137,0.746725571155548,1.253274428844452,9.41514363606771,469.1166304407554
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,89,2.239547937131616,0.8798666443427404,0.41449678788582484,0.9069524637474189,1.9231268534293542,551.5316151046753,1000.0,0.7121916245045501,1.0,30456,460,19,191,1.270844014791342,0.0,1.9511881703065819,0.0,3.434768951856173,20.51537669658661,1.270844014791342,0.0,286.4507751464844,0.0,0.7291559852086581,0.0,286.4507751464844,0.0,15242.866787850127,0.0,1.9511881703065819,0.2327561397228436,0.7291559852086581,1.270844014791342,12.412866923014322,660.5242274735054
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,90,2.239547937131616,0.8798603117465973,0.4062616690993309,0.8627041028155938,2.088274064271346,553.2282515573502,1000.0,0.5384507307571414,1.0,30626,890,54,166,1.277152364668639,0.0,1.952224977343019,0.0,2.5786287577255913,398.4383791422844,1.277152364668639,0.0,288.3634550675102,0.0,0.7228476353313612,0.0,288.3634550675102,0.0,14583.807687613937,0.0,1.952224977343019,0.2329604105783388,0.7228476353313612,1.277152364668639,22.107864888509116,1118.0919227170682
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,91,2.239547937131616,0.8797956444819768,0.4082961161931356,0.7929503368208421,1.9362682580947876,575.0828581809998,1000.0,0.42793488181789574,1.0,29964,239,165,42,1.2608434557914734,0.0,1.9527221122634235,0.0,4.897616386413574,2213.157587864399,1.2608434557914734,0.0,284.4421112060547,0.0,0.7391565442085266,0.0,284.4421112060547,0.0,14656.393174972658,0.0,1.9527221122634235,0.23298219279230553,0.7391565442085266,1.2608434557914734,9.48140370686849,488.5464391657553
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,2.239547937131616,0.8798969773451487,0.4048889166116714,0.8256165592758247,2.125957366079092,717.7516512393952,1000.0,0.38217338835945325,1.0,30220,391,64,149,1.2875760681927204,0.0,1.9534673823085926,0.0,3.756411373615265,51.754317526817324,1.2875760681927204,0.0,290.8062515258789,0.0,0.7124239318072796,0.0,290.8062515258789,0.0,14378.808958504156,0.0,1.9534673823085926,0.23311166603479808,0.7124239318072796,1.2875760681927204,15.509666748046875,766.8698111202217
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,93,2.239547937131616,0.8795856440067291,0.405836486518383,0.9261673111560336,2.3089008182287216,723.103860707283,1000.0,0.5422268050902181,1.0,30334,496,74,138,1.2695238701999187,0.0,1.9542186527735892,0.0,4.2240376472473145,201.8382550406456,1.2695238701999187,0.0,286.6295471191406,0.0,0.7304761298000813,0.0,286.6295471191406,0.0,14151.771232412955,0.0,1.9542186527735892,0.23328190800075735,0.7304761298000813,1.2695238701999187,15.2869091796875,754.7611323953577
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,94,2.239547937131616,0.8797659784555435,0.40568337281545,0.9513091030350399,1.8471364704045383,738.3233030796051,1000.0,0.5797638357797417,1.0,30238,341,78,129,1.2535265196453442,0.0,1.9610328996944164,0.0,3.0317874171517114,150.73026746630669,1.2535265196453442,0.0,282.86850807883525,0.0,0.7464734803546559,0.0,282.86850807883525,0.0,14836.753119536868,0.0,1.9610328996944164,0.20417298124902333,0.7464734803546559,1.2535265196453442,10.371845296223958,544.0142810496852
