algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,61,2.7253345479753266,0.7907339801390966,0.5905180521806082,0.997732426303855,0.03127623035106808,24005611.8,1000.0,0.8960000000000001,1.0,30272,375,0,155,0.5789205748587847,7480049.2525,0.07433681870212677,0.0,23.4375,151.36,2.725334547975326,0.0,0.937793992459774,16803927.95,2.725334547975326,4.440892098500626e-16,1.215,0.9555258165972325,0.5049656887974054
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,62,2.7803716539313506,0.7911933135986328,0.5895078597466151,0.9992592592592592,0.031166867935098708,121911527.82,1000.0,0.8321078431372548,1.0,30492,595,0,125,0.5099504943937063,37979678.265,0.06789855597536448,0.0,37.1875,152.46,2.78037165393135,0.0,0.9888103567063808,85338068.02,2.78037165393135,4.440892098500626e-16,1.2299999999999998,0.9548202088473073,0.48346590728752553
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,63,2.8374107198726692,0.7914539810021718,0.5886691035827001,0.991447178026556,0.030019236336413183,619148090.72,1000.0,0.8526556776556776,1.0,30541,646,0,183,0.6228482299729398,192868517.48,0.07368029391665132,0.0,34.0,152.705,2.837410719872669,0.0,0.9888178361089606,433403652.88,2.837410719872669,4.440892098500626e-16,1.245,0.9538145060892881,0.46589897628196086
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,64,2.8797317800857956,0.7916116462151209,0.5883829466501872,0.993051222910687,0.03024597434947888,3131979806.08,1000.0,0.9865865320497842,1.0,30908,1017,0,145,0.5959791772895389,975997707.68,0.0761444819683911,0.0,56.5,154.54,2.879731780085795,0.0,1.1257772081428103,2192385819.84,2.879731780085795,4.440892098500626e-16,1.26,0.953048457990524,0.438031308808203
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,65,2.9146882802902803,0.7921079782644908,0.5872794475158055,1.0,0.0313158611717977,15937619276.8,1000.0,1.0,1.0,30634,734,0,180,0.43994679576472234,4963588038.4,0.055837936527051706,0.0,38.63157894736842,153.17,2.9146882802902807,0.0,0.8310863187438563,11156333248.0,2.9146882802902807,4.440892098500626e-16,1.275,0.9520891712402976,0.4227335035495567
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,66,2.9504496656185593,0.7923453140258789,0.58702206214269,1.0,0.030006649787537754,80476224153.6,1000.0,1.0,1.0,30454,554,0,138,0.4769529178738594,25080364656.64,0.05886442130743907,0.0,34.625,152.27,2.9504496656185597,0.0,0.9453124776482582,56333355612.16,2.9504496656185597,4.440892098500626e-16,1.2900000000000003,0.9513506804619004,0.4115414641174486
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,67,2.9870369056922645,0.7923289811611176,0.5864393575986226,0.9860053019416393,0.029346461687237025,409232159088.64,1000.0,0.9000413564929695,1.0,30454,558,0,218,0.44139311015605925,127461649244.16,0.06249382324709194,0.0,27.9,152.27,2.9870369056922645,0.0,0.7894897073507309,286462504222.72,2.9870369056922645,0.0,1.305,0.9501370109171569,0.394668697387354
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,68,3.0244720059477888,0.7926079787810644,0.5864231510957082,0.9936738519212747,0.030952117982364837,2073855985909.76,1000.0,0.8322592194772646,1.0,30698,804,0,214,0.4833404563722156,646092145786.88,0.063970291385569,0.0,38.285714285714285,153.49,3.0244720059477888,0.0,0.8667044582821074,1451699174932.48,3.0244720059477888,0.0,1.32,0.9489930079558513,0.3717521315549093
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,69,3.062778081137312,0.7928649812936783,0.5853672283887863,1.0,0.0291653610765934,10546958902231.04,1000.0,1.0,1.0,30217,317,0,28,0.5492807527383169,3284442853212.16,0.04975710316135668,0.0,35.22222222222222,151.085,3.062778081137313,0.0,1.127316385300623,7382871075717.12,3.062778081137313,8.881784197001252e-16,1.335,0.9488385693656871,0.3637388850847769
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,70,3.1019794351188676,0.7932056456804275,0.5847774734099705,1.0,0.027881561312824488,53111455371755.52,1000.0,0.6,1.0,30047,149,0,36,0.7177609130740166,16555694185512.96,0.0717917927335261,0.0,18.625,150.235,3.1019794351188676,0.0,1.3542303889989853,37178017888337.92,3.1019794351188676,0.0,1.3499999999999999,0.9486474045742533,0.36154622646289464
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,71,3.1421016475291226,0.7932339805364609,0.5844777782758077,1.0,0.028447444923222064,270596075662868.47,1000.0,1.0,1.0,30181,281,0,58,0.5736178159713745,84260544367820.8,0.054683982510006376,0.0,28.1,150.905,3.142101647529123,0.0,1.0863854944705964,189417248690012.16,3.142101647529123,4.440892098500626e-16,1.3650000000000002,0.948353101439181,0.35493522896776725
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,72,3.183171667991226,0.7934243134657541,0.5843267834186554,0.9991721854304636,0.030009043216705323,1368670689128611.8,1000.0,0.8874269005847952,1.0,30441,543,0,106,0.5857177416483561,426401964448808.94,0.06518123244309429,0.0,36.2,152.205,3.1831716679912256,0.0,1.0499278465906778,958069464639733.8,3.1831716679912256,4.440892098500626e-16,1.38,0.9477917247708899,0.33772071815964094
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,73,3.225217918574414,0.7936913146575292,0.584072014093399,0.9984848484848485,0.030040768999606372,6939123270654362.0,1000.0,0.854591836734694,1.0,30518,621,0,203,0.4980128467082977,2161453864300052.5,0.06095724663728441,0.0,31.05,152.59,3.2252179185744145,0.0,0.8599032700061798,4857386174701896.0,3.2252179185744145,4.440892098500626e-16,1.395,0.9467109405946335,0.32379803441357186
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,74,3.2682704052928386,0.793725314339002,0.5836226234833399,0.9995501574448943,0.028395858779549598,3.5300474170910964e+16,1000.0,0.9991055456171735,1.0,30546,647,0,127,0.5502354025840759,1.099054692916265e+16,0.06230329166415956,0.0,43.13333333333333,152.73,3.268270405292838,0.0,1.0875877181688944,2.4710331248012164e+16,3.268270405292838,4.440892098500626e-16,1.41,0.9460239598220973,0.3105272007463965
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,75,3.3123608395086923,0.7939556475480397,0.5834168479839961,0.9951529951529952,0.028950036769466742,1.7856271849596387e+17,1000.0,0.9904857756307032,1.0,30444,547,0,101,0.7133046133177621,5.5620107089519576e+16,0.06060624621009901,0.0,39.07142857142857,152.22,3.3123608395086923,0.0,1.0189170411654882,1.2499390111751864e+17,3.3123608395086923,0.0,1.425,0.9454891436496387,0.30121739890978955
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,76,3.357522770189856,0.79433831234773,0.5829646438360214,1.0,0.03041807096451521,9.013529999598577e+17,1000.0,1.0,1.0,30489,589,0,122,0.47020355239510536,2.8087569807700918e+17,0.050737571844992835,0.0,36.8125,152.445,3.357522770189856,0.0,0.8818429447710514,6.30947088469978e+17,3.357522770189856,0.0,1.4400000000000002,0.9449122790545426,0.2919885320919097
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,77,3.4037917280656296,0.7943629799286525,0.5829152737061183,0.988045173938949,0.02791255438590751,4.5763859048726687e+18,1000.0,0.7599785970432736,1.0,30241,348,0,179,0.5380541945205015,1.4255929610942495e+18,0.06193858940628837,0.0,20.470588235294116,151.205,3.40379172806563,0.0,0.8284143279580509,3.2034700658596224e+18,3.40379172806563,4.440892098500626e-16,1.4549999999999998,0.9439641360989285,0.28646113755448616
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,78,3.4512053828263247,0.7946789797147115,0.582322473526001,0.9980747685824795,0.02678002400154417,inf,1000.0,0.9961720757434411,1.0,30513,616,0,45,0.5603105994788083,inf,0.05148546938288587,0.0,56.0,152.565,3.4512053828263243,0.0,1.1771729751066728,inf,3.4512053828263243,4.440892098500626e-16,1.47,0.9437654216194578,0.27793932804740507
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,79,3.499803714624289,0.7947386479377747,0.582409795721372,1.0,0.027804480399936438,nan,1000.0,1.0,1.0,30375,475,0,148,0.44638663716614246,nan,0.050013610539214,0.0,29.6875,151.875,3.499803714624289,0.0,0.7637926191091537,nan,3.499803714624289,0.0,1.485,0.9429649933126475,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,80,3.549629201256186,0.7948516460259756,0.5824444450934728,0.9987012987012986,0.027517171460203826,nan,1000.0,0.9067599067599068,1.0,30373,475,0,150,0.4281520526856184,nan,0.05179839590022719,0.0,29.6875,151.865,3.549629201256186,0.0,0.8026821054518223,nan,3.549629201256186,0.0,1.5,0.9421749172993841,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,81,3.600727022539671,0.7947299800316493,0.5823978080352148,1.0,0.02830269786396197,nan,1000.0,1.0,1.0,30529,629,0,86,0.5514903983899525,nan,0.05938027042894841,0.0,44.92857142857143,152.645,3.6007270225396715,0.0,1.062397118125643,nan,3.6007270225396715,4.440892098500626e-16,1.515,0.9417107099047788,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,82,3.653145283543021,0.7950716463724772,0.5820695712169012,1.0,0.03153380416333675,nan,1000.0,1.0,1.0,30012,112,0,12,0.6888578295707702,nan,0.05190857530000722,0.0,22.4,150.06,3.653145283543021,0.0,1.5152390241622924,nan,3.653145283543021,0.0,1.53,0.9416401453036911,nan
