algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,80,5.846694800967455,0.7939971792697906,0.5860477178096771,0.0,1.049582057765552,0.0,1000.0,0.0,0.0,3.9574175078573206,0.0,156.62418964930944,0.0,12.449370622634888,0.0,0.6945257197947929,0.0,156.62418964930944,0.0,5287.977039492326,0.0,0.46289885523063795,0.0,0.6945257197947929,0.0,3.9574175078573206,1.1727301129312833,0.46289885523063795,0.6945257197947929,8.770954620361328,296.12671421157035
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,81,5.892497573567832,0.79414317882061,0.585988018989563,0.0,1.1830345141887664,0.0,1000.0,0.0,0.0,4.006370514427638,0.0,148.90095336914064,0.0,14.0134375,0.0,0.660297180471625,0.0,148.90095336914064,0.0,5081.9839998887,0.0,0.5375348055362701,0.0,0.660297180471625,0.0,4.006370514427638,1.179362633027106,0.5375348055362701,0.660297180471625,7.445047668457031,254.099199994435
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,82,6.0231340354045075,0.7943921798467636,0.5855611602067947,0.0,1.2030806216326626,0.0,1000.0,0.0,0.0,4.040099518205147,0.0,141.13265991210938,0.0,5.034035888585177,0.0,0.6249684136070841,0.0,141.13265991210938,0.0,5345.444797959089,0.0,0.6879394054412842,0.0,0.6249684136070841,0.0,4.040099518205147,1.1728105833696605,0.6879394054412842,0.6249684136070841,3.1049185180664063,117.59978555509998
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,83,6.0231340354045075,0.7943465789556503,0.586224334359169,0.0,1.1883952856063842,0.0,1000.0,0.0,0.0,4.087936616984916,0.0,149.20945663452147,0.0,13.08648978471756,0.0,0.6620078077689291,0.0,149.20945663452147,0.0,5303.765837682601,0.0,0.5124610353261232,0.0,0.6620078077689291,0.0,4.087936616984916,1.1650085163991477,0.5124610353261232,0.6620078077689291,5.968378265380859,212.150633507304
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,84,6.0231340354045075,0.7944611802101135,0.5858392791748047,0.0,0.9638940736185759,0.0,1000.0,0.0,0.0,4.131666854383712,0.0,151.88650369644165,0.0,14.340493381023407,0.0,0.6733339552662636,0.0,151.88650369644165,0.0,5433.95830793021,0.0,0.4812632552930154,0.0,0.6733339552662636,0.0,4.131666854383712,1.1745613461167257,0.4812632552930154,0.6733339552662636,9.720736236572266,347.77333170753343
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,85,6.043863311478941,0.794646579027176,0.5858746945858002,0.0,1.1152244088324634,0.0,1000.0,0.0,0.0,4.171464027408922,0.0,147.04560713334516,0.0,11.547797116366299,0.0,0.6520545052475996,0.0,147.04560713334516,0.0,5173.309510746051,0.0,0.492658449167555,0.0,0.6520545052475996,0.0,4.171464027408922,1.1778864524789172,0.492658449167555,0.6520545052475996,6.470006713867187,227.62561847282626
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,86,6.155133413720869,0.7946159794330597,0.5862154984474182,0.0,1.1975965668325839,0.0,1000.0,0.0,0.0,4.2031664672759375,0.0,147.22227478027344,0.0,13.747023997099504,0.0,0.6529155926100411,0.0,147.22227478027344,0.0,5190.187697805829,0.0,0.4792146365279737,0.0,0.6529155926100411,0.0,4.2031664672759375,1.1861539472821991,0.4792146365279737,0.6529155926100411,6.7722246398925785,238.74863409906817
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,87,6.155133413720869,0.7948697789907455,0.5861264424324035,0.0,0.7390687398146838,0.0,1000.0,0.0,0.0,4.229164310119278,0.0,158.03487586975098,0.0,2.9121227506548166,0.0,0.7005773229211645,0.0,158.03487586975098,0.0,5238.291616035347,0.0,0.341742595192045,0.0,0.7005773229211645,0.0,4.229164310119278,1.176616982983851,0.341742595192045,0.7005773229211645,5.0571160278320315,167.62533171313112
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,88,6.155133413720869,0.794753577709198,0.5862956173419952,0.0,1.3208298702908603,0.0,1000.0,0.0,0.0,4.276439214843783,0.0,145.74665768941244,0.0,17.897180060545605,0.0,0.6463758907767588,0.0,145.74665768941244,0.0,5166.466224499731,0.0,0.5260256111311415,0.0,0.6463758907767588,0.0,4.276439214843783,1.171114714704761,0.5260256111311415,0.6463758907767588,6.995839569091797,247.99037877598707
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,89,6.155133413720869,0.7949673799276352,0.586357345700264,0.0,1.0227757742007573,0.0,1000.0,0.0,0.0,4.311896196389165,0.0,147.08199140760632,0.0,8.18772823943032,0.0,0.6526783881892616,0.0,147.08199140760632,0.0,5216.344250717095,0.0,0.46320117513338727,0.0,0.6526783881892616,0.0,4.311896196389165,1.1707653676013872,0.46320117513338727,0.6526783881892616,5.2949516906738285,187.78839302581545
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,90,6.285519511961395,0.7948331786394119,0.5868373920917511,0.0,1.113101027905941,0.0,1000.0,0.0,0.0,4.383336492959781,0.0,147.7627635755037,0.0,21.61103697826988,0.0,0.6550196503524538,0.0,147.7627635755037,0.0,5339.432171288818,0.0,0.4539049409918095,0.0,0.6550196503524538,0.0,4.383336492959781,1.1474491857511968,0.4539049409918095,0.6550196503524538,11.229970031738281,405.79684501795015
