algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,1.939910467262327,0.878223309914271,0.409630998869737,nan,2.6971426877108486,10.395501914024353,1000.0,0.0,nan,0,30481,0,207,272.1350860595703,324.6836961364746,8489.635719288517,332.23914398046253,1.0020339335922617,1.5886649812962101,0.7432871054519307,0.4993432891368866,272.1350860595703,324.6836961364746,7.015144326470115,44.41184602737427,1.2052013865998794,1.4391461698123444,1.2052013865998794,1.4391461698123444,1.236686352673841,0.4600278118640585,0.5120607392765334,1.426949996279941,135.86045034790038,319.66764341653237
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,2.1358388126238617,0.8778336449464162,0.41013681471347807,0.8574733959783974,2.5481979932103838,10.482919669151306,1000.0,0.6775750063083443,1.0,30341,466,70,139,259.13663700648715,0.0,8628.911233896866,0.0,1.0353445304311113,0.0,0.7839721781866891,0.0,259.13662610735213,0.0,1.4262992313929967,36.793144978284836,1.148821740454237,0.0,1.148821740454237,0.0,1.0353445304311113,0.47312814574562195,0.7839721781866891,1.148821740454237,12.093042551676433,402.68252424852034
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,2.223894716428574,0.8779759788513184,0.40955413778622946,0.9722616610845198,2.5459396568211643,13.680571942329406,1000.0,0.6022846787076006,1.0,30327,381,57,149,252.73111794211647,0.0,8969.474836384376,0.0,1.0602371259778454,0.0,0.7963173497806896,0.0,252.7311345880682,0.0,3.6765505617315117,31.85088082551956,1.1202287585442623,0.0,1.1202287585442623,0.0,1.0602371259778454,0.48461971455372177,0.7963173497806896,1.1202287585442623,9.266808268229166,328.8807440007604
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,2.3212868928872274,0.8778763103485108,0.4095086536804835,0.8985219816583047,2.619622138830332,16.07581184864044,1000.0,0.5856451998219993,1.0,30328,443,72,137,244.36872042142429,0.0,8072.342219715554,0.0,1.0924782983815602,0.0,0.8190054205747751,0.0,244.3687521127554,0.0,1.9166908722657423,47.72448559522629,1.0827500290548147,0.0,1.0827500290548147,0.0,1.0924782983815602,0.5020391509510675,0.8190054205747751,1.0827500290548147,10.589312591552734,349.80149618767405
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,2.3847311404469447,0.8781526426474253,0.40826630661884944,0.8953090170208716,1.9043437093496323,17.90947696685791,1000.0,0.6811793560663729,1.0,30236,462,119,89,252.10892868041992,0.0,9689.39266994771,0.0,1.1174428873755353,0.0,0.7605782573421797,0.0,252.1089210510254,0.0,1.2869986494382222,74.91822545051575,1.1193992022786599,0.0,1.1193992022786599,0.0,1.1174428873755353,0.5100300940751589,0.7605782573421797,1.1193992022786599,10.084356842041016,387.5757067979084
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,2.3847311404469447,0.8778436430295309,0.4088421173890432,0.9066271951194274,2.64398416000254,21.54484149456024,1000.0,0.5472425539425069,1.0,30490,590,38,176,250.33890937356387,0.0,9212.630316496283,0.0,1.1509282954421545,0.0,0.7527031425167533,0.0,250.33890937356387,0.0,3.6474223487517414,33.88165333986282,1.1097401360518975,0.0,1.1097401360518975,0.0,1.1509282954421545,0.5236906912504766,0.7527031425167533,1.1097401360518975,14.185871531168619,522.0490512681226
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,2.3847311404469447,0.8780813123782476,0.4082134785254796,0.9350743765580631,2.450186027930333,23.17989954471588,1000.0,0.6099313404354538,1.0,30228,375,86,123,243.89778841458835,0.0,8811.581617977974,0.0,1.1721292499084146,0.0,0.7650292286506066,0.0,243.8977989783654,0.0,2.8257061334756703,73.57844640254974,1.082414813353468,0.0,1.082414813353468,0.0,1.1721292499084146,0.5349020268570563,0.7650292286506066,1.082414813353468,10.568904622395833,381.83520344571224
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,2.5193046488090083,0.8784589775403341,0.406776249508063,0.9464514276428023,1.8467503041028976,26.280747995376586,1000.0,0.6300180405608036,1.0,30105,254,103,104,237.44900665283203,0.0,9652.775230865536,0.0,1.2003822672038014,0.0,0.7819064080715179,0.0,237.44904022216798,0.0,1.3859835863113403,76.91887845754623,1.0517276443141055,0.0,1.0517276443141055,0.0,1.2003822672038014,0.5420392037701356,0.7819064080715179,1.0517276443141055,7.914968007405599,321.7591743621845
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,2.5858910112747826,0.8785276450713475,0.4062956431508064,0.8459826242307452,1.917296002805233,27.901572279930114,1000.0,0.34848472625342214,1.0,30277,561,79,139,221.81835861206054,0.0,9128.74473070133,0.0,1.263333263255834,0.0,0.8438615679740906,0.0,221.818350982666,0.0,0.5538772150874138,46.82915065199137,0.9833724834096713,0.0,0.9833724834096713,0.0,1.263333263255834,0.5633395832592557,0.8438615679740906,0.9833724834096713,14.787890065511068,608.5829820467554
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,2.6639745480540262,0.8784136440356572,0.40627528707186383,0.9023953653682456,2.1876678255697093,28.615767078399656,1000.0,0.48179312583423717,1.0,30617,939,68,152,232.4672876993815,0.0,9458.626413753074,0.0,1.3378026048969047,0.0,0.7701155232886473,0.0,232.46728897094727,0.0,1.3391322170694668,58.26293274104595,1.030524013827686,0.0,1.030524013827686,0.0,1.3378026048969047,0.5753083370933829,0.7701155232886473,1.030524013827686,18.597383117675783,756.690113100246
