algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.1652297784304424,0.7746173796653748,0.6429365321397781,0.0,1.0121430969900556,0.0,1000.0,0.0,0.0,1.8455713854658649,0.0,0.9778489211608146,0.0,220.60281372070312,0.0,220.60281372070312,0.0,8.79840318361918,0.0,0.7469257877932655,0.0,5737.306119847779,0.0,0.9778489211608146,0.0,1.8455713854658649,1.0214493925017516,0.7469257877932655,0.9778489211608146,7.941701293945313,206.54302031452005
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,3.2320514254157566,0.7755083810091019,0.6395777634382248,0.0,0.9153864737600088,0.0,1000.0,0.0,0.0,1.8961234622432093,0.0,0.9475363957642934,0.0,213.70293172200522,0.0,213.70293172200522,0.0,8.605908726652464,0.0,0.7760172759493192,0.0,5780.5888969818325,0.0,0.9475363957642934,0.0,1.8961234622432093,1.0124923033712208,0.7760172759493192,0.9475363957642934,10.25774072265625,277.46826705512797
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,3.2870351876750656,0.7766411821842194,0.6361451790332794,0.0,0.9349076843261719,0.0,1000.0,0.0,0.0,1.9323494637024874,0.0,0.9664176379820515,0.0,217.90882202148438,0.0,217.90882202148438,0.0,8.663629474639892,0.0,0.7416003441810608,0.0,5681.734248181521,0.0,0.9664176379820515,0.0,1.9323494637024874,1.005773764339427,0.7416003441810608,0.9664176379820515,10.89544110107422,284.0867124090761
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,3.309881583599814,0.7774995800256729,0.633062779545784,0.0,0.9315442674254116,0.0,1000.0,0.0,0.0,1.9778835289107701,0.0,0.9868197596429895,0.0,222.60343370939555,0.0,222.60343370939555,0.0,14.891545546682257,0.0,0.7047132108556596,0.0,6096.826494451956,0.0,0.9868197596429895,0.0,1.9778835289107701,0.9963475517777358,0.7047132108556596,0.9868197596429895,16.917860961914062,463.35881357834865
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,3.335308650633853,0.7782887806892395,0.6301192165613174,0.0,0.9570400259074043,0.0,1000.0,0.0,0.0,2.001370318013089,0.0,0.978521186411051,0.0,220.80325317382812,0.0,220.80325317382812,0.0,6.01873919543098,0.0,0.70528944625574,0.0,5816.9105498955905,0.0,0.978521186411051,0.0,2.001370318013089,0.9912390401826298,0.70528944625574,0.978521186411051,7.507310607910156,197.77495869645008
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,3.3634836398847234,0.7788955795764924,0.627453337430954,0.0,0.7908219695091248,0.0,1000.0,0.0,0.0,2.046005891748128,0.0,0.9595281428136274,0.0,216.49780919001654,0.0,216.49780919001654,0.0,8.663605955930857,0.0,0.7202223310103784,0.0,6056.975161166873,0.0,0.9595281428136274,0.0,2.046005891748128,0.9791725947721591,0.7202223310103784,0.9595281428136274,11.25788607788086,314.9627083806773
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,3.3945518422428416,0.7798937801122665,0.6249223115444184,0.0,0.9144005864858628,0.0,1000.0,0.0,0.0,2.0846607870101117,0.0,0.929506545451642,0.0,209.73197250366212,0.0,209.73197250366212,0.0,7.489874005317688,0.0,0.7503061890602112,0.0,5989.265477469408,0.0,0.929506545451642,0.0,2.0846607870101117,0.9682112584630871,0.7503061890602112,0.929506545451642,8.389278900146484,239.57061909877635
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.4286304979433204,0.7805435814857483,0.6224497706890106,0.0,0.9464846019809311,0.0,1000.0,0.0,0.0,2.1050914714599904,0.0,1.012843351480234,0.0,228.75587257179055,0.0,228.75587257179055,0.0,14.608795836165145,0.0,0.6273247470726838,0.0,6408.745334969681,0.0,1.012843351480234,0.0,2.1050914714599904,0.9658860796468145,0.6273247470726838,1.012843351480234,16.9279345703125,474.24715478775636
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.4658038977209533,0.7813247804641723,0.6198345377445221,0.0,0.7471044381027636,0.0,1000.0,0.0,0.0,2.1293278572593506,0.0,1.0140961820555747,0.0,228.9060867972996,0.0,228.9060867972996,0.0,5.326470691224803,0.0,0.6145877417014993,0.0,6497.918939439118,0.0,1.0140961820555747,0.0,2.1293278572593506,0.958907666039083,0.6145877417014993,1.0140961820555747,10.529679992675781,298.90427121419947
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.5061202247651524,0.7819761792421341,0.6178440440893174,0.0,0.9905325482288997,0.0,1000.0,0.0,0.0,2.1580340720394724,0.0,0.9561124960255606,0.0,215.74993438720702,0.0,215.74993438720702,0.0,12.382599361737569,0.0,0.6833109358946482,0.0,6333.575576226616,0.0,0.9561124960255606,0.0,2.1580340720394724,0.9531356353884348,0.6833109358946482,0.9561124960255606,12.944996063232422,380.014534573597
