algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,67,5.234587902703931,0.8829919773340226,0.39015261101722715,0.0,1.412732954682975,0.0,1000.0,0.0,0.0,160.6143746211611,0.0,6878.3652747138685,0.0,160.6143746211611,0.0,0.7861552382337635,0.0,24.350375504329286,0.0,0.7117677842472027,0.0,3.269309870778927,0.0,0.7117677842472027,0.0,3.269309870778927,0.9404697206991123,0.7861552382337635,0.7117677842472027,9.315633728027343,398.9451859334044
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,68,5.234587902703931,0.8828563770055771,0.3903782066702843,0.0,1.5719090638791813,0.0,1000.0,0.0,0.0,163.25156806497012,0.0,7074.082175418716,0.0,163.25156806497012,0.0,0.7531152148457134,0.0,37.068589995889106,0.0,0.7243018184004696,0.0,3.325403448997523,0.0,0.7243018184004696,0.0,3.325403448997523,0.9437009912665643,0.7531152148457134,0.7243018184004696,11.101106628417968,481.03758792847265
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,69,5.3297176202471075,0.8830211780071259,0.389879592359066,0.0,1.2090224811905308,0.0,1000.0,0.0,0.0,159.32070922851562,0.0,7329.2412742889765,0.0,159.32070922851562,0.0,0.777103348782188,0.0,9.207883734452096,0.0,0.7067120915555083,0.0,3.366658691514297,0.0,0.7067120915555083,0.0,3.366658691514297,0.9354792326441114,0.777103348782188,0.7067120915555083,6.054186950683594,278.5111684229811
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,70,5.3297176202471075,0.8830049785375595,0.38973507887125014,0.0,1.768510886033376,0.0,1000.0,0.0,0.0,160.2301289876302,0.0,6912.835577213736,0.0,160.2301289876302,0.0,0.757298211256663,0.0,18.910106786092122,0.0,0.7098425253913292,0.0,3.3890778080408546,0.0,0.7098425253913292,0.0,3.3890778080408546,0.9406601413627355,0.757298211256663,0.7098425253913292,4.806903869628906,207.38506731641212
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,71,5.351009506406381,0.8830023773908615,0.3897518792748451,0.0,1.4398264505646445,0.0,1000.0,0.0,0.0,159.60543060302734,0.0,7105.446369246076,0.0,159.60543060302734,0.0,0.7526247203350067,0.0,19.194084492596712,0.0,0.7068347089459524,0.0,3.42013811892431,0.0,0.7068347089459524,0.0,3.42013811892431,0.9606284390459752,0.7526247203350067,0.7068347089459524,7.0226389465332035,312.6396402468273
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,72,5.351009506406381,0.8829935779571533,0.3898235704898834,0.0,1.6203643107414245,0.0,1000.0,0.0,0.0,156.0557470703125,0.0,7155.1488990849575,0.0,156.0557470703125,0.0,0.7705671596527099,0.0,27.56660083770752,0.0,0.6926398481561139,0.0,3.474390827953168,0.0,0.6926398481561139,0.0,3.474390827953168,0.9631333624402234,0.7705671596527099,0.6926398481561139,7.802787353515625,357.7574449542479
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,73,5.351009506406381,0.8828375773429871,0.39023905974626544,0.0,1.6456643035635352,0.0,1000.0,0.0,0.0,158.1839747428894,0.0,7175.432567094851,0.0,158.1839747428894,0.0,0.7412938643246889,0.0,37.49543350934982,0.0,0.7019341497833336,0.0,3.5328404790151633,0.0,0.7019341497833336,0.0,3.5328404790151633,0.9760984659394654,0.7412938643246889,0.7019341497833336,10.123774383544921,459.22768429407046
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,74,5.351009506406381,0.8828557782173156,0.39010869300365447,0.0,1.5340646890302498,0.0,1000.0,0.0,0.0,153.15038935343424,0.0,7277.865615058225,0.0,153.15038935343424,0.0,0.7771252567569414,0.0,26.242318590482075,0.0,0.6784771674154029,0.0,3.586280453295239,0.0,0.6784771674154029,0.0,3.586280453295239,0.9768875088129942,0.7771252567569414,0.6784771674154029,7.351218688964844,349.3375495227948
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,75,5.430404506309311,0.8827699781656265,0.39044633620977404,0.0,1.692685414965336,0.0,1000.0,0.0,0.0,157.28341381366437,0.0,7053.293340299189,0.0,157.28341381366437,0.0,0.7282104801673156,0.0,30.620358833899864,0.0,0.6979728871466118,0.0,3.6235538454517084,0.0,0.6979728871466118,0.0,3.6235538454517084,0.9980653359058339,0.7282104801673156,0.6979728871466118,8.178737518310546,366.77125369555785
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,76,5.569514855867252,0.8826787778139115,0.390653578042984,0.0,1.6602938359691983,0.0,1000.0,0.0,0.0,153.84072585332962,0.0,6884.340939215228,0.0,153.84072585332962,0.0,0.7575501061621166,0.0,24.916663442339217,0.0,0.6817511258836929,0.0,3.671998083300252,0.0,0.6817511258836929,0.0,3.671998083300252,0.9873429162308106,0.7575501061621166,0.6817511258836929,6.461310485839844,289.14231944703954
