algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.393765374521224,0.8412424802780152,0.7002007043361664,nan,0.5910176526416432,0.10400305924316247,1000.0,0.0,nan,0,50849,0,307,0.9175550379744096,0.0,0.9569804956502008,0.0,206.92356178977272,0.0,0.9859448562968861,0.0,0.9175550379744096,0.0,206.92356178977272,0.0,0.002662362382662567,0.002053534899993489,2291.3958558747545,0.0,0.9569804956502008,1.0740378786801734,0.9859448562968861,0.9175550379744096,11.3807958984375,126.0267720731115
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.415717385996848,0.8465794801712037,0.6601789253950119,nan,0.7870830297470093,0.09733599166075389,1000.0,0.0,nan,0,51285,0,309,0.9554764532608715,0.0,1.0322326796969843,0.0,215.28275357759915,0.0,0.9334225883850684,0.0,0.9554764532608715,0.0,215.28275357759915,0.0,0.002716094327087586,0.001824557464181756,2684.009079060087,0.0,1.0322326796969843,1.091532609786352,0.9334225883850684,0.9554764532608715,13.993378982543945,174.46059013890564
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.428210224755968,0.8504254797101021,0.6285781121253967,nan,0.9780192077159882,0.09124990517894427,1000.0,0.0,nan,0,50289,0,303,0.9468202322753405,0.0,1.0730926431555117,0.0,213.85701751708984,0.0,0.9324631690979004,0.0,0.9468202322753405,0.0,213.85701751708984,0.0,0.034705413214396685,0.0019467596088846525,2957.7779814787564,0.0,1.0730926431555117,1.101856945648826,0.9324631690979004,0.9468202322753405,8.554280700683593,118.31111925915026
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,2.458108981670901,0.8537794780731202,0.6013959258794784,nan,0.6909290939569473,0.08800209201872349,1000.0,0.0,nan,0,50590,0,306,0.9437271712686689,0.0,1.1371992481196966,0.0,212.947705078125,0.0,0.9252567112445831,0.0,0.9437271712686689,0.0,212.947705078125,0.0,0.002705152123235166,0.0018352157261688263,3099.8119065738583,0.0,1.1371992481196966,1.1114192454710483,0.9252567112445831,0.9437271712686689,10.64738525390625,154.99059532869288
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,2.5018481993311656,0.8569694793224335,0.5788093101978302,nan,0.7999718614986965,0.08460706323385239,1000.0,0.0,nan,0,50347,0,303,0.9197491991799838,0.0,1.1886500482902636,0.0,207.23013305664062,0.0,0.9420365946633475,0.0,0.9197491991799838,0.0,207.23013305664062,0.0,0.0027189620304852724,0.0016131171203839282,3261.4052228497194,0.0,1.1886500482902636,1.1167962849628899,0.9420365946633475,0.9197491991799838,7.253054656982422,114.14918279974016
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,2.5323147984117913,0.8591834765672683,0.5598142233490944,nan,0.8440047767427232,0.08343625415116548,1000.0,0.0,nan,0,50393,0,305,0.946293019821367,0.0,1.2421609578585222,0.0,213.6520521375868,0.0,0.9005643659167819,0.0,0.946293019821367,0.0,213.6520521375868,0.0,0.0027738782939397627,0.001620432270768409,3579.757053004026,0.0,1.2421609578585222,1.121918908965938,0.9005643659167819,0.946293019821367,9.614342346191407,161.08906738518118
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,2.5770385101908735,0.8616274794936181,0.5429623168706894,nan,1.0067460089921951,0.08078279692679644,1000.0,0.0,nan,0,50964,0,306,0.9197993456487827,0.0,1.2868554348666748,0.0,207.60431518554688,0.0,0.92060546875,0.0,0.9197993456487827,0.0,207.60431518554688,0.0,0.002654073014855385,0.001724421182492127,3737.0741747940315,0.0,1.2868554348666748,1.1277783653365867,0.92060546875,0.9197993456487827,10.380215759277343,186.85370873970157
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,2.626898729085254,0.8634634765982628,0.5282399892807007,nan,0.8552498383955522,0.07917204963664214,1000.0,0.0,nan,0,50685,0,307,0.936049274409691,0.0,1.3426537161461258,0.0,210.77986699884588,0.0,0.8904962539672852,0.0,0.936049274409691,0.0,210.77986699884588,0.0,0.002852708693932403,0.001648229732333372,3928.957692320451,0.0,1.3426537161461258,1.1306047424286934,0.8904962539672852,0.936049274409691,11.592892684936523,216.0926730776248
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,2.681773133119602,0.8645469775795936,0.5173610889911652,nan,0.8213526691709246,0.07950665112584829,1000.0,0.0,nan,0,50864,0,310,0.9026191937590387,0.0,1.4413545173665716,0.0,203.30887276785714,0.0,0.9193686289446694,0.0,0.9026191937590387,0.0,203.30887276785714,0.0,0.0028744766854548027,0.001502907167887315,3955.8735723186824,0.0,1.4413545173665716,1.1302031674993513,0.9193686289446694,0.9026191937590387,14.23162109375,276.91115006230774
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,2.7414324404760406,0.866292479634285,0.5054807271063327,nan,0.9497988058461083,0.07996199119836092,1000.0,0.0,nan,0,50565,0,305,0.9639913080388364,0.0,1.4852303799779285,0.0,217.12843153211804,0.0,0.8342938986089494,0.0,0.9639913080388364,0.0,217.12843153211804,0.0,0.002726282212986714,0.0014813637624805172,4022.400707225317,0.0,1.4852303799779285,1.1290082004186073,0.8342938986089494,0.9639913080388364,9.770779418945313,181.00803182513926
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,2.805573360266809,0.867664979994297,0.49538444221019745,nan,0.7343731992519819,0.07872344287733236,1000.0,0.0,nan,0,50829,0,309,0.9563830349388831,0.0,1.5459145141088806,0.0,215.88671053372897,0.0,0.8318711232680541,0.0,0.9563830349388831,0.0,215.88671053372897,0.0,0.005700782102604325,0.0014611396100372076,4127.876503778485,0.0,1.5459145141088806,1.1270988426924604,0.8318711232680541,0.9563830349388831,14.032636184692382,268.3119727456015
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,2.873854199334829,0.8700584772229195,0.48372815668582914,nan,0.8171157794339317,0.07905161122481029,1000.0,0.0,nan,0,50323,0,303,0.9180300323596681,0.0,1.5776396907439691,0.0,207.2662135532924,0.0,0.8674464906964984,0.0,0.9180300323596681,0.0,207.2662135532924,0.0,0.03271426526563508,0.001764040298682327,4539.26842182,0.0,1.5776396907439691,1.1264447504652493,0.8674464906964984,0.9180300323596681,7.2543174743652346,158.87439476370002
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,2.9459268500906735,0.8699829787015915,0.47875935047864915,nan,0.9758281868237716,0.07871470446387926,1000.0,0.0,nan,0,51044,0,310,0.9601852244288854,0.0,1.6126933011802165,0.0,216.70195124699518,0.0,0.803535534785344,0.0,0.9601852244288854,0.0,216.70195124699518,0.0,0.0029477621249568006,0.0014968395225393276,4790.158978705952,0.0,1.6126933011802165,1.127694236511141,0.803535534785344,0.9601852244288854,14.085626831054688,311.36033361588693
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.021461346902206,0.8714239764213562,0.4708374154567718,nan,1.0923969261348248,0.07750500451773405,1000.0,0.0,nan,0,50192,0,304,0.9545961243526438,0.0,1.645722514179934,0.0,215.45321464538574,0.0,0.7985453084111214,0.0,0.9545961243526438,0.0,215.45321464538574,0.0,0.0030596104625146836,0.00138428725884296,4535.6722273452515,0.0,1.645722514179934,1.1264943926199351,0.7985453084111214,0.9545961243526438,8.61812858581543,181.42688909381005
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.100161823503406,0.8724064776301383,0.4636010472476482,nan,0.9476014040410519,0.0779494571685791,1000.0,0.0,nan,0,50308,0,304,0.87627505911545,0.0,1.681352689478938,0.0,197.5929298400879,0.0,0.8860360756516457,0.0,0.87627505911545,0.0,197.5929298400879,0.0,0.0030768911237828434,0.0012767968788587798,4807.013931445306,0.0,1.681352689478938,1.1271179117712213,0.8860360756516457,0.87627505911545,7.903717193603516,192.28055725781226
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.1817746566688347,0.8741384780406952,0.45571042835712433,nan,0.8385076059235467,0.07755238639811675,1000.0,0.0,nan,0,50685,0,305,0.85273640557492,0.0,1.7511160723299555,0.0,192.2446085611979,0.0,0.9050647815068563,0.0,0.85273640557492,0.0,192.2446085611979,0.0,0.002768328853158487,0.0012836623517796398,4783.663678519526,0.0,1.7511160723299555,1.124472192763403,0.9050647815068563,0.85273640557492,8.651007385253907,215.2648655333787
