algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,1.358325364918867,0.2749265926480293,2.0973359458446503,0.0,1.1602444321878496,0.0,1000.0,0.0,0.0,0.9001883768266247,0.0,1.3341389387259386,0.0,331.3936846333165,0.0,0.40020162341847504,0.0,20.45433025975381,0.0,1902.6045818062155,0.0,1.3341389387259386,0.0,331.39365903792844,0.0,0.40020162341847504,0.4850537209273181,0.9001883768266247,1.3341389387259386,20.546408447265627,117.96148407198535
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,1.5792033117256694,0.32114579233527185,1.9222014524936677,0.0,1.224849424759547,0.0,1000.0,0.0,0.0,0.8711500267187754,0.0,1.30257955606524,0.0,323.53087565104164,0.0,0.45171136225521075,0.0,20.12115421295166,0.0,1391.03116637766,0.0,1.30257955606524,0.0,323.5308827718099,0.0,0.45171136225521075,0.5241459358863004,0.8711500267187754,1.30257955606524,19.4118525390625,83.46186998265959
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,1.8140944474781289,0.458464987128973,1.676524138212204,0.0,1.1408337354660034,0.0,1000.0,0.0,0.0,0.8158318837483723,0.0,1.299770482580874,0.0,322.7182373046875,0.0,0.5068131469493972,0.0,20.83067291577657,0.0,1160.4273740446251,0.0,1.299770482580874,0.0,322.71828308105466,0.0,0.5068131469493972,0.5683620839331491,0.8158318837483723,1.299770482580874,19.36309423828125,69.62564244267752
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,1.8589579163413499,0.5388295873403549,1.4408066279888152,0.0,1.0417284810984577,0.0,1000.0,0.0,0.0,0.762583464384079,0.0,1.291976153025078,0.0,321.11452342845774,0.0,0.5473683289181436,0.0,12.695950720045301,0.0,1194.6119231724979,0.0,1.291976153025078,0.0,321.1144510904948,0.0,0.5473683289181436,0.5971459420968392,0.762583464384079,1.291976153025078,17.34018426513672,64.50904385131489
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,1.991848035260847,0.5598067879080773,1.2722848081588745,0.0,1.028658264213138,0.0,1000.0,0.0,0.0,0.8388275603453318,0.0,1.153242337400251,0.0,286.61076185438367,0.0,0.5939950334389387,0.0,7.617602864901225,0.0,1199.6425457719881,0.0,1.153242337400251,0.0,286.61074998643664,0.0,0.5939950334389387,0.6298341909931658,0.8388275603453318,1.153242337400251,10.317987426757812,43.187131647791574
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.247225331312196,0.573584184885025,1.1893255319595337,0.0,1.155326967654021,0.0,1000.0,0.0,0.0,0.7603472030681112,0.0,1.1711410365649468,0.0,290.88869907545006,0.0,0.642306520026832,0.0,12.0819411277771,0.0,1574.9927022295315,0.0,1.1711410365649468,0.0,290.88878930133325,0.0,0.642306520026832,0.6683709118910316,0.7603472030681112,1.1711410365649468,13.380880157470703,72.44966430255845
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.4415974327672467,0.5871081856489182,1.1490664632320404,0.0,1.1176656472186248,0.0,1000.0,0.0,0.0,0.6203505570689837,0.0,1.2398329100741907,0.0,307.80491892496747,0.0,0.6767485585769439,0.0,15.500771194696426,0.0,2224.4044370104743,0.0,1.2398329100741907,0.0,307.80493545532227,0.0,0.6767485585769439,0.6949776719893089,0.6203505570689837,1.2398329100741907,14.774636108398438,106.77141297650276
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.6471974062789374,0.5981219837665558,1.1169987919330597,0.0,0.6641141101717949,0.0,1000.0,0.0,0.0,0.6262916577133265,0.0,1.1742869152717132,0.0,291.69637922807175,0.0,0.7328855761470459,0.0,3.1809106144038113,0.0,2403.769466763769,0.0,1.1742869152717132,0.0,291.6963119506836,0.0,0.7328855761470459,0.7420599625362082,0.6262916577133265,1.1742869152717132,12.834640686035156,105.76585653760583
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.9681239881414876,0.6073681833744049,1.0864082033634186,0.0,0.7114727205556372,0.0,1000.0,0.0,0.0,0.5563588686611342,0.0,1.1738813671119526,0.0,291.3274051832116,0.0,0.7864623802037802,0.0,4.229214263998943,0.0,2657.9176762664256,0.0,1.1738813671119526,0.0,291.327368694803,0.0,0.7864623802037802,0.7894625742732518,0.5563588686611342,1.1738813671119526,13.401060638427735,122.2642131082556
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,3.3104972377194035,0.6136459836959839,1.0716110076904297,0.0,0.6456934105266224,0.0,1000.0,0.0,0.0,0.6416985292664983,0.0,1.0506218019024571,0.0,260.9014032537287,0.0,0.8563992133135935,0.0,3.303978757424788,0.0,2441.7333290492797,0.0,1.0506218019024571,0.0,260.9014518044212,0.0,0.8563992133135935,0.8598079354941722,0.6416985292664983,1.0506218019024571,11.479661743164062,107.43626647816829
