algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,58,5.536660014510691,0.882699728012085,0.3933115840703249,0.9116662191276012,1.2753930897624404,348.8186433029175,1000.0,0.3752476635717375,1.0,10663,964,0,121,0.6867119336650336,0.0,6365.278791470454,0.0,154.92815992567273,0.0,0.6867119336650336,0.0,154.92815992567273,0.0,0.7788418134053549,0.0,3.3835293332654715,0.0,0.8823017417280762,11.733751573562621,3.3835293332654715,1.1302153690777377,0.7788418134053549,0.6867119336650336,10.45765079498291,429.6563184242556
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,59,5.536660014510691,0.8827692276239395,0.39250592872500417,0.9206555856315063,1.222813042998314,350.5466219329834,1000.0,0.47531677092553437,1.0,10478,607,0,115,0.6974278626056865,0.0,6536.648277460422,0.0,157.45511627197266,0.0,0.6974278626056865,0.0,157.45511627197266,0.0,0.745988529920578,0.0,3.43786974887618,0.0,1.421607357263565,11.63493860244751,3.43786974887618,1.1329484265770842,0.745988529920578,0.6974278626056865,7.872755813598633,326.83241387302115
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,60,5.536660014510691,0.8829207268357276,0.39200053431093695,0.927326337331028,1.568599753520068,349.87023147583005,1000.0,0.5624702159980817,1.0,10479,571,0,112,0.6809770668328157,0.0,6081.088535136911,0.0,153.4753848805147,0.0,0.6809770668328157,0.0,153.4753848805147,0.0,0.7591788838891422,0.0,3.476620049481296,0.0,2.0570416730992935,10.495266437530518,3.476620049481296,1.152804285366696,0.7591788838891422,0.6809770668328157,6.522703857421875,258.4462627433187
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,61,5.536660014510691,0.8830224761366844,0.3914623692631721,0.8798319204270936,1.4115239570015354,351.3276099395752,1000.0,0.3913131594708151,1.0,10395,545,0,114,0.6703365288527908,0.0,6236.515807899557,0.0,151.3227707712274,0.0,0.6703365288527908,0.0,151.3227707712274,0.0,0.7773105972691586,0.0,3.542634814661381,0.0,0.9225167977182489,6.0910014319419865,3.542634814661381,1.1459439436268095,0.7773105972691586,0.6703365288527908,7.1878316116333005,296.234500875229
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,62,5.562785849249958,0.8830397276580334,0.39110244423151014,0.9010847022659552,1.34515050730922,351.050408821106,1000.0,0.34036987072662156,1.0,10355,549,0,118,0.6515186576628078,0.0,6237.670063612125,0.0,146.9433919733221,0.0,0.6515186576628078,0.0,146.9433919733221,0.0,0.8000991507010027,0.0,3.626179611931143,0.0,0.7686414407058195,8.180696210861207,3.626179611931143,1.1499324838298248,0.8000991507010027,0.6515186576628078,8.081886558532714,343.0718534986669
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,63,5.562785849249958,0.8829654783010483,0.39099121153354643,0.8264170839840237,1.4432501803945612,350.6916596221924,1000.0,0.3540873515558752,1.0,10427,730,0,123,0.6802164737899444,0.0,6318.2169715858045,0.0,153.33144180862993,0.0,0.6802164737899444,0.0,153.33144180862993,0.0,0.7235470325858505,0.0,3.6843041094939095,0.0,1.2513683526604265,8.299201564788818,3.6843041094939095,1.1689448949356966,0.7235470325858505,0.6802164737899444,10.34987232208252,426.4796455820418
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,64,5.562785849249958,0.8829139778017998,0.39111922062933446,0.9201906226303687,1.6298856929592465,349.72016693115233,1000.0,0.5962520960839428,1.0,10907,1087,0,118,0.6651107529549196,0.0,5807.749304912893,0.0,150.0063078507133,0.0,0.6651107529549196,0.0,150.0063078507133,0.0,0.7459283056466476,0.0,3.7520593613747564,0.0,3.366719847140105,25.561612195968628,3.7520593613747564,1.1753713441340445,0.7459283056466476,0.6651107529549196,8.625362701416016,333.9455850324914
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,65,5.6798891785503125,0.8829907262325287,0.39074568219482897,0.8976698167131539,1.4113960981369018,350.3339901733398,1000.0,0.46209247006791215,1.0,10680,897,0,121,0.6370226229397484,0.0,6184.792293323798,0.0,143.69149047851562,0.0,0.6370226229397484,0.0,143.69149047851562,0.0,0.7853246140480041,0.0,3.8142777547629896,0.0,1.1979088521003722,16.043380699157716,3.8142777547629896,1.2005978336245362,0.7853246140480041,0.6370226229397484,8.980718154907226,386.54951833273736
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,66,5.6798891785503125,0.8830709782242775,0.39021946452558043,0.9757299882417144,1.4159507585896387,350.3187744903564,1000.0,0.21192636238932536,1.0,10176,309,0,113,0.6389448010572679,0.0,6156.451053400292,0.0,144.22439744737414,0.0,0.6389448010572679,0.0,144.22439744737414,0.0,0.7702853348520067,0.0,3.856670724397828,0.0,1.1816974249151018,2.9903963029384615,3.856670724397828,1.2174500288821741,0.7702853348520067,0.6389448010572679,6.490097885131836,277.0402974030131
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,67,5.759287111765774,0.8830417281389237,0.3900201730430126,0.8403740179129899,1.326198168776252,350.9056547164917,1000.0,0.2770792079049181,1.0,10233,452,0,119,0.631063478618665,0.0,6250.734632277555,0.0,142.34189813787287,0.0,0.631063478618665,0.0,142.34189813787287,0.0,0.7940226928754286,0.0,3.9493080215026124,0.0,0.6049644161354412,2.858596727848053,3.9493080215026124,1.1927042106736296,0.7940226928754286,0.631063478618665,7.828804397583008,343.7904047752656
