algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.884020105802542,0.8434524807333946,0.6827680334448815,nan,0.8086419976674594,4.83902540286382,1000.0,0.0,nan,0,51286,0,308,0.937726333484406,0.9554524606046565,0.953236657839555,0.9334493708610535,211.53639808067908,215.55333541870118,2506.4447994447514,1025.5591552842795,211.53639808067908,215.55333541870118,1.0373642236357272,2.714668053833624,0.937726333484406,0.9554524606046565,0.5066543359022874,12.359701666434606,2.043746521754465,1.076739138107941,0.9342712070614385,0.954716231682729,134.83194760131835,680.5030579561312
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.9742358983562522,0.8477054798603058,0.6485648375749588,nan,1.0235676355659962,5.001147154172261,1000.0,0.0,nan,0,50288,0,304,0.9233980194947947,0.9657182930092256,0.958871640264988,0.9111556651194891,208.26105117797852,217.83948705037434,2678.8510503064163,956.6941421555631,208.26105117797852,217.83948705037434,1.0781871849531788,2.775149420401134,0.9233980194947947,0.9657182930092256,0.49622760340571404,23.596127629776795,2.096364526221952,1.0890551403114304,0.9123950410972942,0.9646190651257339,134.03586904907226,616.8781020982406
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.063412711460164,0.8511584767699242,0.6197178640961647,nan,0.7004989415407181,5.176815616289774,1000.0,0.0,nan,0,50589,0,307,0.9338240917073282,0.9694961105887981,0.9365346193313598,0.89591031173865,210.3134307861328,218.64537287394205,2944.2752847442453,874.0380057642261,210.3134307861328,218.64537287394205,1.142882349261678,2.830952290264237,0.9338240917073282,0.9694961105887981,0.48585801422595976,26.680372509757678,2.1557243138632134,1.0905348842326532,0.8972207732738987,0.9683454003022993,135.3934923400879,583.3083091534206
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.1412360538735675,0.8545124799013137,0.5953396591544151,nan,0.8125553940023694,5.272388070424398,1000.0,0.0,nan,0,50347,0,303,0.9127108777572985,0.9815013886705837,0.9501325913837978,0.8710046690702439,205.9015633719308,221.4245268758138,3077.2828921518235,812.7193288813844,205.9015633719308,221.4245268758138,1.1946217177907783,2.882337954008262,0.9127108777572985,0.9815013886705837,0.47928151062556673,20.037387561798095,2.207251459521269,1.0936348439387684,0.8728088887972629,0.9799328753924306,135.73733801269532,530.7135578189562
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.311272881661484,0.8572064772248268,0.5746157112717628,nan,0.8536937667263879,5.626954784393311,1000.0,0.0,nan,0,50393,0,305,0.9393686260006423,0.954439821210525,0.9086093637678359,0.8910991330941518,211.93497551812067,215.2734514363607,3371.8627834148424,757.5735502893812,211.93497551812067,215.2734514363607,1.2481125287552204,2.954594665973855,0.9393686260006423,0.954439821210525,0.4702669680118561,23.49297505259514,2.272001811086401,1.104430426736296,0.8916091398128028,0.9540008543597516,132.97890042114258,515.2376602750959
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.4675151254799403,0.8595759800076485,0.5566472238302231,nan,1.0221880942583084,5.821966959635417,1000.0,0.0,nan,0,50966,0,304,0.9098872840901233,0.9483384597088735,0.9322373807430268,0.8871145081520081,205.28467559814453,213.93336278279622,3468.1749862800525,698.0896626883159,205.28467559814453,213.93336278279622,1.2939119909774777,3.030322959888649,0.9098872840901233,0.9483384597088735,0.8197973489761352,19.94400225261847,2.3357585723241803,1.1201076961113796,0.8885700846872022,0.947098099205043,132.46571118164061,488.2172973385907
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.519861473321177,0.861453478038311,0.5411660793423653,nan,0.897094496271827,6.023368603388469,1000.0,0.0,nan,0,50685,0,307,0.9131035938333106,0.9398586146469705,0.9176938804713163,0.8859810245037079,205.92952381480825,212.06462799072267,3672.9980229369935,666.864796952317,205.92952381480825,212.06462799072267,1.3505690027580035,3.114816356505729,0.9131035938333106,0.9398586146469705,0.5038345645774495,26.532810718516508,2.409117415006639,1.133990033052226,0.8871027010813404,0.938912295582822,131.7692263183594,480.924834676004
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5618806352729298,0.8636749792098999,0.5273745810985565,nan,0.8320434050900596,6.161391398111979,1000.0,0.0,nan,0,50865,0,309,0.8960540155889312,0.9376980954627842,0.9272285742419106,0.8773715587457022,202.1803959437779,211.52376439412436,3775.0827205240275,628.6984010381796,202.1803959437779,211.52376439412436,1.4498169613484941,3.19944161570998,0.8960540155889312,0.9376980954627842,0.43847930644239697,21.811528177658715,2.499591753965386,1.1302951735462892,0.8795944830034949,0.9358413530480263,132.57530972290039,482.9213567975804
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.607509744806355,0.8652964797616005,0.5153317455947399,nan,1.040639387236701,6.263707408905029,1000.0,0.0,nan,0,50565,0,305,0.9129482600299581,0.9380109064068343,0.8960176838768853,0.865710688829422,206.01804775661893,211.58872843424479,3988.8062252597615,606.8962052215941,206.01804775661893,211.58872843424479,1.4937542274814104,3.274684890194277,0.9129482600299581,0.9380109064068343,0.4366791844367981,29.173179836273192,2.56231262510913,1.1423668704925334,0.8665934168405132,0.9372809264152748,130.661561920166,435.93623518763206
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6479861105304083,0.8668549811840057,0.5043669587373734,nan,0.8053678893125974,6.408153058687846,1000.0,0.0,nan,0,50831,0,307,0.8948862152013761,0.9320457992872345,0.9069835085135239,0.8615966900189718,201.93056898850662,210.2655906677246,4130.645206587468,578.3613665989909,201.93056898850662,210.2655906677246,1.5573525319066546,3.343479215267164,0.8948862152013761,0.9320457992872345,0.4282509799187,23.119810641109943,2.62902854192296,1.1439474635456812,0.8634817655474994,0.9305024299801542,131.40954919433594,454.4135953306687
