algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,77,3.4037917280656296,0.7983417300879956,0.7112924477458,0.9952265268720966,0.01343644583331687,45790.80952148438,1000.0,0.990686274509804,1.0,10369,471,0,200,0.5404287988231296,32053.56625488281,3.4037917280656296,0.0,0.31174521219162715,19295.21099609375,22.428571428571427,103.69,0.03394444771708888,0.0,3.4037917280656296,0.0,1.4549999999999998,0.9429700457723347,0.3389411539146877
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,78,3.4512053828263247,0.7988307300209999,0.7077264362573623,0.9986961836208068,0.013342135984982764,81992.28912109375,1000.0,0.9974059139784947,1.0,10457,559,0,64,0.7007673382759094,57394.601484375,3.4512053828263243,0.0,0.3419342488050461,34532.06689453125,39.92857142857143,104.57,0.0308534294029989,0.0,3.4512053828263243,4.440892098500626e-16,1.47,0.9427527782376826,0.33042333017628045
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,79,3.499803714624289,0.7992699813842773,0.7043052320182324,1.0,0.012941218471448673,146738.6673046875,1000.0,1.0,1.0,10137,237,0,176,0.5053867478119699,102717.06474609375,3.49980371462429,0.0,0.29119087363544266,61800.97944335938,12.473684210526315,101.37,0.031660696100102095,0.0,3.49980371462429,8.881784197001252e-16,1.485,0.9420844194304335,0.3227518060235654
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,80,3.549629201256186,0.7996839794516564,0.7010310131311417,1.0,0.012772580527740976,262590.8262109375,1000.0,1.0,1.0,10726,826,0,210,0.46075065628342005,183813.5763671875,3.5496292012561854,0.0,0.2643507913402889,110597.20283203125,35.91304347826087,107.26,0.02990046403671338,0.0,3.5496292012561854,4.440892098500626e-16,1.5,0.9413340385870329,0.31167367778451094
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,81,3.600727022539671,0.8000347293913365,0.6978834009170533,0.9810136765888978,0.012855120689461106,469359.5365625,1000.0,0.9681020733652311,1.0,10387,489,0,144,0.5558546765854484,328551.66578125,3.600727022539672,0.0,0.3183444016858151,197762.928515625,25.736842105263158,103.87,0.03349469611242336,0.0,3.600727022539672,8.881784197001252e-16,1.515,0.9407720255747367,0.3047418218793133
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,82,3.653145283543021,0.8004277293384076,0.6947859391570091,1.0,0.012562285177409649,840166.73609375,1000.0,1.0,1.0,9939,39,0,16,0.7819729248682658,588116.703359375,3.6531452835430205,0.0,0.3792102138201396,353875.466953125,6.5,99.39,0.028882571064062414,0.0,3.6531452835430205,4.440892098500626e-16,1.53,0.940703968406676,0.30294629892267794
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,83,3.706935258484402,0.8007267306745053,0.6920176535844803,1.0,0.01232425646028585,1503560.5434375,1000.0,0.8888888888888888,1.0,10310,411,0,137,0.4890388780170017,1052492.3546875,3.706935258484401,0.0,0.2715068492624495,633269.77140625,22.833333333333332,103.1,0.029264737311167435,0.0,3.706935258484401,8.881784197001252e-16,1.5450000000000002,0.940223134870759,0.29320696626518855
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,84,3.7621516572892535,0.8011372295022011,0.6890614873170853,1.0,0.012399957589805126,2691970.150625,1000.0,1.0,1.0,10715,815,0,290,0.4039833867549896,1884379.0621875,3.762151657289252,0.0,0.24084917187690735,1133616.31875,32.6,107.15,0.0293065168865015,0.0,3.762151657289252,1.3322676295501878e-15,1.56,0.939110813140856,0.27786196522588064
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,85,3.818852916980401,0.8015067310631275,0.686201778203249,1.0,0.012305552139878273,4818683.97,1000.0,0.7142857142857143,1.0,10249,351,0,118,0.4468318102299236,3373078.71,3.818852916980402,0.0,0.2971663223579526,2029232.523125,21.9375,102.49,0.028628755709723043,0.0,3.818852916980402,8.881784197001252e-16,1.575,0.9386635688722934,0.2731344713289423
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,86,3.874737541093223,0.8018729788064957,0.6834588724374772,1.0,0.012003144004235142,8638374.59625,1000.0,0.9090909090909091,1.0,10408,510,0,154,0.4322012913854499,6046862.09125,3.8747375410932245,0.0,0.26573382631728526,3635997.29875,26.842105263157894,104.08,0.027500210322225205,0.0,3.8747375410932245,1.3322676295501878e-15,1.5899999999999999,0.938089820134732,0.2643852628983645
