algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,92,4.136963102650078,0.8857694759964942,0.38250004932284354,0.9948966343197111,0.01808710853484544,1510877952593974.5,1000.0,0.9899547546291244,1.0,50559,665,0,70,0.461286108602177,550533969966967.44,4.136963102650078,0.0,60.45454545454545,168.53,0.8362037593668158,1057614541409484.8,0.04988270710063709,0.0,4.136963102650078,0.0,1.6800000000000002,0.9377213423523164,0.21813469977085517
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,93,4.183909721536838,0.8858409777283669,0.38242830395698546,0.9908863066757804,0.018117623234337025,3781494223635742.5,1000.0,0.9826446280991735,1.0,50319,423,0,92,0.33853997967459937,1377729361407727.0,4.183909721536837,0.0,38.45454545454545,167.73,0.6122729615731672,2647045892165249.5,0.038651392377312056,0.0,4.183909721536837,8.881784197001252e-16,1.695,0.936999885635559,0.2121337243594697
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,94,4.231848489478358,0.8859329777956009,0.38237272307276726,0.9993183367416497,0.01717629459583097,9458629634728920.0,1000.0,0.9986449864498645,1.0,50357,458,0,49,0.3382505244678921,3446298198863599.0,4.2318484894783595,0.0,50.888888888888886,167.85666666666665,0.6305841339959039,6621040617787665.0,0.04018589554107362,0.0,4.2318484894783595,1.7763568394002505e-15,1.71,0.936524476741386,0.20516373596793186
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,95,4.28080652274961,0.8859774771332741,0.38245925202965736,1.0,0.018259328028017826,2.3634636041568476e+16,1000.0,1.0,1.0,50402,502,0,88,0.37751887061379175,8613383076011049.0,4.280806522749609,0.0,45.63636363636363,168.00666666666666,0.6145440990274603,1.6544244849082804e+16,0.03943982439784566,0.0,4.280806522749609,8.881784197001252e-16,1.7249999999999999,0.9357268687428224,0.1982532344391403
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,96,4.330812152917754,0.8859669783711434,0.38260786429047583,1.0,0.01715445119355406,5.9088753483422104e+16,1000.0,1.0,1.0,50264,364,0,34,0.481058520930154,2.1533789746923656e+16,4.330812152917753,0.0,52.0,167.54666666666665,0.7906063284192767,4.136212672167281e+16,0.03830320085847676,0.0,4.330812152917753,8.881784197001252e-16,1.7400000000000002,0.9354109422281567,0.1943441445395503
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,97,4.381894995878737,0.8859404769539833,0.382717252522707,0.9993425378040762,0.01696678064763546,1.4787385351438947e+17,1000.0,0.998696219035202,1.0,50630,731,0,109,0.3638526017849262,5.38790187052547e+16,4.381894995878738,0.0,56.23076923076923,168.76666666666668,0.603813146169369,1.0351169552948483e+17,0.04051939036493673,0.0,4.381894995878738,8.881784197001252e-16,1.7550000000000001,0.9344683308167293,0.1844534312685586
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,98,4.434086025233358,0.8859214806556701,0.38282047390937807,1.0,0.01674581803381443,3.700191857108303e+17,1000.0,1.0,1.0,50077,177,0,18,0.44424524903297424,1.3481163173619477e+17,4.434086025233357,0.0,35.4,166.92333333333335,0.8051104784011841,2.5901342540339786e+17,0.03350337929839883,0.0,4.434086025233357,8.881784197001252e-16,1.77,0.9343145705385458,0.18351596664209105
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,99,4.4874176502831755,0.885831478536129,0.3834198787808418,1.0,0.016576301073655486,9.247734865751844e+17,1000.0,1.0,1.0,50356,456,0,32,0.4575906731188297,3.3700048949160704e+17,4.487417650283176,0.0,57.0,167.85333333333332,0.8625449985265732,6.473414285223177e+17,0.03803405100284307,0.0,4.487417650283176,8.881784197001252e-16,1.785,0.9340297892764345,0.1792759635982341
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,100,4.5419237989440235,0.8860134786367416,0.3831105923652649,0.9917478354978355,0.01630409504286945,2.311328805670533e+18,1000.0,0.9840263691683571,1.0,50173,277,0,48,0.44042564556002617,8.423276919892406e+17,4.541923798944024,0.0,34.625,167.24333333333334,0.7676685601472855,1.6179301313963412e+18,0.047227563200720635,0.0,4.541923798944024,8.881784197001252e-16,1.7999999999999998,0.9336023519401245,0.17635849347359497
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,101,4.597640005893232,0.8861099776625633,0.3832415398955345,1.0,0.016319956423507795,5.783720328849502e+18,1000.0,1.0,1.0,50275,375,0,58,0.3579918278588189,2.107324613891499e+18,4.597640005893233,0.0,41.666666666666664,167.58333333333334,0.5831329524517059,4.0486041468608323e+18,0.033615687047090136,0.0,4.597640005893233,8.881784197001252e-16,1.8150000000000002,0.9330861224108837,0.17380780830750048
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,102,4.65460350628586,0.8860184779763222,0.383390771150589,0.9933283914010378,0.017737128864973785,nan,1000.0,0.9872222222222222,1.0,50354,456,0,68,0.291804838180542,nan,4.654603506285859,0.0,45.6,167.84666666666666,0.511307242512703,nan,0.031227716336059967,0.0,4.654603506285859,8.881784197001252e-16,1.83,0.9324680015377967,nan
