algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7255716500679652,0.8588299765189489,nan,0.07471942352621179,0.08276156760752201,1000.0,0.0,nan,0,70,0,31964,0.23691728289942968,0.2689208540515039,0.6852937746268957,0.6852937746268957,0.10526315789473684,0.34,1.9171256328883923,1.0962461835145951,0.8933335244655609,0.6090525183081626,0.6852937746268957,0.0,0.44999999999999996,0.9918282880294824,0.8109156871241164
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7303116484483083,0.8332158756256104,nan,0.0705524736808406,0.07597381588071585,1000.0,nan,nan,0,96,0,31584,0.22179217792774866,0.2375434912008435,0.7214611380882577,0.7214611380882578,0.0,0.48,1.9059241347842746,0.9330276799201965,1.0008783903386858,0.5230581878125667,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909697555637974,0.7973442716823209
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.7344066468874614,0.8111148323615393,nan,0.06635901670564305,0.0714418038353324,1000.0,nan,nan,0,0,0,30700,0.21605685325525678,0.21303294236503023,0.7596944884031195,0.7596944884031196,0.0,0.0,2.1881714354861868,0.831043541431427,1.10528026656671,0.45897970110177994,0.7596944884031196,0.0,0.48,0.990639549117592,0.7913853134711281
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.7380889785289765,0.7920839071273804,nan,0.062084309537621105,0.06713514681905508,1000.0,0.0,nan,0,98,0,30878,0.19800723732123024,0.19301386124612044,0.8001526997791857,0.8001526997791858,0.11764705882352941,0.48,1.7263417840003967,0.731914694905281,1.0164300589000477,0.40423710688948633,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9895875135296127,0.787037713725883
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.7415219795703888,0.7752529160181681,nan,0.05927539409862624,0.06340975498780609,1000.0,nan,nan,0,99,0,30533,0.205165855023977,0.17678099311185838,0.8430464367132453,0.843046436713245,0.0,0.495,1.9412859148449368,0.6769794675707818,0.9823758701483408,0.36576748758554456,0.843046436713245,1.1102230246251565e-16,0.51,0.9893925848771561,0.7847193878576392
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.7443816483020782,0.7606030515829723,nan,0.0573611818253994,0.06005587788298726,1000.0,0.0,nan,0,169,0,31081,0.19116059838903043,0.16310829717659422,0.8793723681465166,0.8793723681465165,0.0625,0.84,1.5264598056674004,0.6253523799777031,0.8709337096661329,0.33482774525880815,0.8793723681465164,1.1102230246251565e-16,0.525,0.9887273033989962,0.7812629650794936
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.747231647570928,0.7475613510608673,nan,0.05524931746450337,0.05730286803096533,1000.0,0.0,nan,0,282,0,30720,0.19503560520750748,0.1516674085383523,0.9126284626054435,0.9126284626054436,0.18181818181818182,1.4,1.664561921899969,0.5777402767539024,0.9006013626402075,0.30900827154517174,0.9126284626054437,0.0,0.54,0.9883718005012031,0.7796160502960175
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.7502146482467651,0.7357969681421915,nan,0.05345195974223316,0.054762635938823225,1000.0,nan,nan,0,110,0,30944,0.16788315209466637,0.14156146655900936,0.947462263761002,0.947462263761002,0.0,0.55,1.42257771641016,0.5600388427078724,0.7816919926553965,0.2923140177875757,0.9474622637610021,0.0,0.555,0.9876174374692531,0.7718675961417651
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.7527009811004003,0.7253788290421168,nan,0.05007488373667002,0.05331124009564519,1000.0,nan,nan,0,111,0,30747,0.1830176871464373,0.1329304617583288,0.9839586158871577,0.9839586158871577,0.0,0.555,1.4192999973893166,0.51509441614151,1.008100001141429,0.27277204133570193,0.9839586158871577,0.0,0.57,0.9866504685224211,0.7665029200147273
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.7546896467606227,0.7157378019889196,nan,0.050297907468947495,0.051289529092609885,1000.0,0.0,nan,0,143,0,30877,0.15050301949994213,0.12540869555517126,1.0222165407481023,1.0222165407481023,0.09090909090909091,0.71,1.2611623839898543,0.4937600827217102,0.6743322353471409,0.258185954913497,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9862772421026483,0.7621563290909389
