algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.440309501886692,0.6850466510156791,30.40894897788763,nan,57.57243348078595,88.00448845863342,1000.0,0.0,nan,0,31100,0,212,239.01549360487195,230.93201004028322,2.364505876849368,3.63693997917989,239.01549360487195,230.93201004028322,1.0604239638360982,1.0235564147784446,0.35347205666928655,0.41071656621992586,8.589396803743309,1246.382028198242,1624.6438709000452,230.93201529423962,1.0604239638360982,1.0235564147784446,2.873479517781577,1.0129144250139002,0.40598995533959786,1.026600524333664,100.97736178588868,150.85998547009748
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.4466697827364206,0.6862903160850207,32.23692135453224,nan,66.48944406282334,84.00094198226928,1000.0,0.0,nan,0,31571,0,215,237.91542779831659,231.28487380981446,2.372471067650341,3.6635402726702124,237.91542779831659,231.28487380981446,1.0534632399027433,1.0254827814507999,0.34784076389457497,0.3917228578403592,157.2198440687997,1136.8244366455078,808.5448524491961,231.2848787568658,1.0534632399027433,1.0254827814507999,2.88889874965829,1.0195022473555277,0.38755306610795437,1.028141558045781,102.50639749145508,126.47283530561256
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,5.0857948445077605,0.6906703166166941,32.00179985185464,nan,72.74167008833452,80.85918931007386,1000.0,0.0,nan,0,30773,0,205,222.66853748668325,231.12650497436525,2.3920107911367277,3.6891312979000537,222.66853748668325,231.12650497436525,0.9887331634935053,1.0243391702882552,0.4337735176086426,0.3773709685355425,2572.9652099609375,719.0819172668457,1463.50035876028,231.12650964359312,0.9887331634935053,1.0243391702882552,2.910858993842058,1.024241729302697,0.38031138578579887,1.022482932967202,97.34930981445312,124.64761175016342
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,5.0857948445077605,0.6896473161131144,33.36808569987615,nan,71.3419443351381,78.37757016181946,1000.0,0.0,nan,0,31544,0,212,223.88618199965532,230.3310245513916,2.4267792446568928,3.7147065454306336,223.88618199965532,230.3310245513916,0.9927406387080836,1.021380127366961,0.41162074269617305,0.3657977271452546,904.5009183603174,102.7931599187851,1208.3506655197211,230.33102883420815,0.9927406387080836,1.021380127366961,2.9419501649663893,1.0208753488122595,0.36938754864002704,1.0191364807899983,99.74454000854492,133.21633416135379
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,5.0857948445077605,0.6960319834947586,32.051839648485185,nan,39.8388144753196,73.8528006362915,1000.0,0.0,nan,0,30392,0,204,250.78830927068537,231.02264122009277,2.4288874788124493,3.739612797379688,250.78830927068537,231.02264122009277,1.1120396859021424,1.024295072882,0.20286112939092246,0.3446629524230957,94.33743875676936,778.3459794616699,883.9609545393486,231.02264580871292,1.1120396859021424,1.024295072882,2.9531776062393447,1.027548396515246,0.33727044032189235,1.0288694365939506,97.92639929199218,111.85619932335082
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,5.0857948445077605,0.6981653152902921,32.710892165899274,nan,68.20358233018355,70.38073753595353,1000.0,0.0,nan,0,30482,0,206,223.58993391557172,231.02916107177734,2.4326263179041363,3.7635993611309377,223.58993391557172,231.02916107177734,0.9903859213128684,1.0240232202614488,0.38337699662555347,0.3284702879562974,627.2541184858842,600.0836560821533,550.591554299972,231.02916584389357,0.9903859213128684,1.0240232202614488,2.965015535194857,1.0345792630037542,0.33133272300540556,1.0222696169987269,97.33064297485352,104.52468053215681
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.0857948445077605,0.6943563156574964,34.179509797493616,0.8585660326941676,77.80839457256454,107.44090507507325,1000.0,0.6788611767434449,1.0,30334,473,77,132,212.23709215436662,0.0,2.4730083888621333,0.0,212.23709215436662,0.0,0.9410838196289621,0.0,0.4484150890660073,0.0,2514.415998186384,7551.464818115234,1605.2160716683213,0.0,0.9410838196289621,0.0,2.4730083888621333,1.0285563710860082,0.4484150890660073,0.9410838196289621,9.904397633870444,74.91008334452165
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.6954403169453144,33.949025915463764,0.9735708640109735,65.17439131303267,154.51949806213378,1000.0,0.6038457439050294,1.0,30287,420,97,110,221.592509876598,0.0,2.4939878262536292,0.0,221.592509876598,0.0,0.9820104720385406,0.0,0.3646666075695645,0.0,2630.240056818182,6015.170278320313,1375.0326478736083,0.0,0.9820104720385406,0.0,2.4939878262536292,1.030729785907498,0.3646666075695645,0.9820104720385406,8.12505869547526,50.41786375536564
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.6928113145877918,53.481939948797226,0.8956117853550123,88.53176762507512,187.22609245300293,1000.0,0.5833036956424221,0.9981167608286251,30244,527,156,53,199.04812622070312,0.0,2.535895904500042,0.0,199.04812622070312,0.0,0.8817660817943183,0.0,0.5183222845483285,0.0,2822.492375300481,13959.0385546875,1384.645595732064,0.0,0.8817660817943183,0.0,2.535895904500042,1.0361834896768416,0.5183222845483285,0.8817660817943183,8.625418802897135,60.00130914838946
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.6953019810467959,35.52688678781192,0.895067492141202,41.79817004998525,276.4827463531494,1000.0,0.6808920243504697,1.0,30255,445,100,106,232.0416030883789,0.0,2.555024489933672,0.0,232.0416030883789,0.0,1.0302894316739455,0.0,0.2512537109044691,0.0,35.78358459472656,9248.748850002288,1471.1914689305568,0.0,1.0302894316739455,0.0,2.555024489933672,1.0368581083798658,0.2512537109044691,1.0302894316739455,9.281664123535156,58.84765875722227
