algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.7684398890787185,0.8380113134781519,0.7248223586877187,nan,0.7694995811111048,4.513434227705002,1000.0,0.0,nan,0,31819,0,215,2258.543127874383,1167.3467143732623,0.9274619170066832,0.9698274745732144,209.34821359734786,218.7205319213867,0.5158056020736694,1.3559743282198906,0.9749960617015236,0.9281748795509338,209.34821359734786,218.7205319213867,0.9379514918405378,2.6819163136424713,0.9274619170066832,0.9698274745732144,1.6355374205613116,1.19525973240792,0.932236991244364,0.9661519239167572,95.44344488525391,552.7633246085314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.861239527460234,0.8432766455411911,0.6833708874384562,nan,0.8783280849456787,4.865338675975799,1000.0,0.0,nan,0,31467,0,213,2495.6757797251817,1058.8977634235096,0.9344791301801622,0.9508153812379002,210.80095418294272,214.4936474609375,0.5060291025373671,6.3849421775341035,0.9568614396784041,0.9386256408691406,210.80095418294272,214.4936474609375,1.0064461609730577,2.748852518900947,0.9344791301801622,0.9508153812379002,1.7034087041442132,1.205208324706679,0.9401313490277037,0.9494665164716649,93.38629333496094,513.4034334395104
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.9777045531093433,0.8474663136402766,0.6491149600346883,nan,0.8987708254293962,5.135557374954224,1000.0,0.0,nan,0,30495,0,205,2693.6064490547706,955.5557351708978,0.9361869117717435,0.9439032214498744,210.96860712224787,212.85629928588867,0.49595632607286627,13.902700714319945,0.9444522044875405,0.9357520896196365,210.96860712224787,212.85629928588867,1.0498209942687682,2.8234832565022767,0.9361869117717435,0.9439032214498744,1.7592858991621716,1.2218845340562974,0.9362056501103804,0.9435009493813462,89.78382907104492,441.4816359475641
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,3.065615432203928,0.8509616442521413,0.6206390196084977,nan,0.8653492717181935,5.271516993045807,1000.0,0.0,nan,0,30761,0,215,2928.403128917449,865.5615163216039,0.9440502292215354,0.9550071827281792,212.86998075597427,215.5210159301758,0.5369999321068034,17.01079838812351,0.9248888036784004,0.9124107140302659,212.86998075597427,215.5210159301758,1.102435313261317,2.8922742694036514,0.9440502292215354,0.9550071827281792,1.8183708957182507,1.2338599990911365,0.9133882602238985,0.9541488038820367,93.44598571777344,445.7903129118348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.18117637414339,0.8543486450115839,0.5960621460278829,nan,0.9500162667698331,5.4676142501831055,1000.0,0.0,nan,0,30430,0,202,3086.5848063430735,803.6351408010116,0.9208566884425124,0.953373538666795,208.18899197048611,215.01622421264648,1.091450896528032,12.90530046954751,0.9407626787821451,0.9033593979477882,208.18899197048611,215.01622421264648,1.1388055196723166,2.963505875951804,0.9208566884425124,0.953373538666795,1.8686856621841117,1.2503131561651548,0.9049700655435261,0.9519732915279502,89.75389154052735,377.01258283458
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.3151575384038123,0.8570829776922861,0.5752464054028193,nan,0.9331684093922377,5.710973722934723,1000.0,0.0,nan,0,31039,0,211,3328.21838713737,745.4935296812487,0.9313538827982769,0.9428904874756896,209.7243299484253,212.70347450256347,0.46687207370996475,10.184891840666532,0.9179211668670177,0.9045175445079804,209.7243299484253,212.70347450256347,1.1932162826344639,3.0433880976535495,0.9313538827982769,0.9428904874756896,1.9332850086420978,1.2646380030690758,0.9055104054234646,0.9420359241662517,91.792568359375,404.7004002608953
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.4515457511106336,0.8595309776067733,0.5571242026487986,nan,1.0168746249242262,5.944329755306244,1000.0,0.0,nan,0,30797,0,205,3462.352621063004,700.4827509229958,0.912737142833403,0.9323530471325051,206.13362676447088,210.33532173156738,0.7800104238770225,19.82455006480217,0.928893040526997,0.9058735635876656,206.13362676447088,210.33532173156738,1.2244033856419996,3.1369487802240457,0.912737142833403,0.9323530471325051,1.989421543474818,1.291339300169946,0.9070736311058297,0.9313304170505615,88.66906848144531,356.36485803258444
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.5085456104459944,0.8615813112258911,0.5414542603492737,nan,0.7591395992785692,6.082532334327698,1000.0,0.0,nan,0,30842,0,212,3671.21700273974,653.2959871490822,0.9222019433523905,0.9324252959137206,208.17986965179443,210.341245803833,0.4823302496224642,14.062485750168563,0.9069095626473427,0.8947917732596398,208.17986965179443,210.341245803833,1.296782159961165,3.2304765858453037,0.9222019433523905,0.9324252959137206,2.070259930314821,1.3026698245068755,0.8956893872883585,0.9316680105388071,90.79825415039062,378.7973389473045
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.546698502812578,0.8636263114213943,0.5276312679052353,nan,0.8315455392003059,6.234035670757294,1000.0,0.0,nan,0,30646,0,212,3901.26927413911,622.2344404263678,0.9319984387044655,0.9289633707217356,210.11042881011963,209.5428776550293,0.4481690563261509,21.839733914881943,0.8841952867805958,0.8878289228677749,210.11042881011963,209.5428776550293,1.362411505016859,3.3204676750239357,0.9319984387044655,0.9289633707217356,2.14563397301969,1.3138224674894141,0.887559764639095,0.9291881905723082,90.54068478393555,373.7343929429987
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.585090355618494,0.8652849795420965,0.5155346607168515,nan,0.9363018761981617,6.369719276428222,1000.0,0.0,nan,0,30814,0,206,3961.6432712866585,584.6922026819323,0.8953045329767839,0.9258073078827614,202.0066278631037,208.8161555480957,0.4338395649736578,13.450969966500997,0.9173533537171104,0.8804678854346275,202.0066278631037,208.8161555480957,1.4103174924790534,3.395878347830136,0.8953045329767839,0.9258073078827614,2.2045418346194867,1.3239909390470137,0.8823908245394015,0.9242171158260518,87.97060803222656,321.0330330410794
