algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,6.521732773920563,0.8750733119249344,0.4477015780409177,nan,0.7390257190255558,5.64197215795517,1000.0,0.0,nan,0,31024,0,214,150.7283208510455,162.57863426208496,3970.133856225484,433.5591881861346,0.3085121538709192,9.091910788416863,150.7283208510455,162.57863426208496,2.987004990841347,6.154789714175713,0.8946487167302299,0.8079210898280144,0.6683252227940114,0.7207630870721977,0.6683252227940114,0.7207630870721977,4.254118880175093,2.0820641654682066,0.8147154200461603,0.716655051621833,70.15621661376953,308.40822638612025
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,6.6582641079494715,0.8758289768298467,0.4428865643342336,nan,0.6698218081146479,5.6889579403400425,1000.0,0.0,nan,0,31208,0,210,157.39629459381104,161.6738948059082,4243.7991245465655,426.30109181233325,0.27218824066221714,4.937422129064799,157.39629459381104,161.6738948059082,3.0660949181391084,6.227904763856539,0.8338295184075832,0.8029210662841797,0.6983857238597331,0.7165844428922756,0.6983857238597331,0.7165844428922756,4.33081885642608,2.0830740523158506,0.8052105812562836,0.7152363896306058,69.70623934936523,306.32200871042335
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,6.748333043026416,0.8764269771178563,0.4387099480628967,nan,0.7154539268125187,5.753384563922882,1000.0,0.0,nan,0,31287,0,217,155.25500973788175,160.2446339416504,4219.085769941478,421.0175828486172,0.22754619067365472,6.522026969864965,155.25500973788175,160.2446339416504,3.1979141184309023,6.305511941552312,0.8423603637651964,0.8010588327050209,0.68814619993264,0.7105579698060228,0.68814619993264,0.7105579698060228,4.440953247679467,2.057044290200316,0.8051517772244977,0.7083369836023541,70.92907400512695,354.04680701687187
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,6.902456403896831,0.8770273115237553,0.43477592637141543,nan,0.897370715936025,5.699202671051025,1000.0,0.0,nan,0,30683,0,205,154.7178497314453,161.0366138458252,4323.927530199373,410.9893866600262,0.512676356981198,13.111314167678357,154.7178497314453,161.0366138458252,3.2517834967532426,6.38020272018818,0.8332814474900564,0.7835039976239204,0.6868261880816838,0.7137882321614009,0.6868261880816838,0.7137882321614009,4.5031511861272175,2.063988765399595,0.7863215891257772,0.7122620787229265,68.12787393188476,268.1700153887955
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,7.015788467713004,0.8775876454512278,0.4310944241285324,nan,0.8200233211884131,5.631165807247162,1000.0,0.0,nan,0,30648,0,208,144.0588132418119,161.81986839294433,4132.857954080411,406.28630284968654,0.32989885486089265,12.02172238767147,144.0588132418119,161.81986839294433,3.342886158047671,6.452932725721381,0.9105556240448585,0.7649740773439407,0.6388206776325127,0.7174503075981954,0.6388206776325127,0.7174503075981954,4.586904785117154,2.0511697303386507,0.7738593360627761,0.7126513160979425,68.47347650146484,269.96882794596536
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,7.0932284170040605,0.8780413117011389,0.42773852904637655,nan,0.8174719388286272,5.65507351398468,1000.0,0.0,nan,0,30602,0,208,152.72338358561197,160.93335586547852,4336.110336736491,398.4683891341928,0.2503398930033048,15.588452444672585,152.72338358561197,160.93335586547852,3.4071850160961787,6.529025907506905,0.8331373929977417,0.7596463087201119,0.6773806988129456,0.7133757652088064,0.6773806988129456,0.7133757652088064,4.65592137266047,2.0482452200816006,0.7638061814150721,0.7113383086203615,68.03870355224609,263.4540037353529
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,7.175515093059909,0.8785266427199045,0.424774714410305,nan,0.9021215516587963,5.628359427452088,1000.0,0.0,nan,0,32137,0,219,153.59530506963316,160.79639205932617,4469.58762330628,386.5161572708278,0.32919589203336963,3.586498825252056,153.59530506963316,160.79639205932617,3.477584035781416,6.607685636433011,0.809631707875625,0.7481038475036621,0.6804944339183577,0.7128500228220702,0.6804944339183577,0.7128500228220702,4.729624676042055,2.0527065202100103,0.7544497703222951,0.7095128993028532,71.38394085693359,360.20749358042
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,7.326227317408199,0.8790613114833832,0.42177199095487594,nan,0.8244936813910803,5.630797574520111,1000.0,0.0,nan,0,30565,0,209,152.64259465535483,160.07330841064453,4568.332212289092,388.6885151134201,0.3671827179690202,17.647611859962343,152.64259465535483,160.07330841064453,3.5348698536467458,6.690369141494583,0.8097931643327078,0.741051587164402,0.6771594073996091,0.709732761676419,0.6771594073996091,0.709732761676419,4.79706956878588,2.058923367233451,0.7449426198343061,0.7078889869060336,67.69274563598633,265.1153791403063
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,7.541062442446653,0.8794183107217153,0.41897174378236135,nan,0.6314062600334486,5.501806825399399,1000.0,0.0,nan,0,30723,0,207,150.15297063191733,161.54243797302246,4790.881558738572,381.9972630009326,0.2762206345796585,13.258127627372742,150.15297063191733,161.54243797302246,3.5989493411402607,6.76610566809421,0.8249653279781342,0.7173629340529442,0.6663571012084207,0.7158924126819748,0.6663571012084207,0.7158924126819748,4.86581187192184,2.052972169957131,0.7234536355958795,0.713088527126868,68.220646484375,267.78006261009875
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,7.7510609723594355,0.8798429781198501,0.41648744414250055,nan,0.8671660125255585,5.496108846664429,1000.0,0.0,nan,0,30061,0,207,149.67026311700994,160.83483123779297,4612.188224933274,378.81582716944524,0.2542218105359511,22.922104263305663,149.67026311700994,160.83483123779297,3.6697936368878854,6.844001087261651,0.8223146877505563,0.7103543782234192,0.6637673064057096,0.7126420042537933,0.6637673064057096,0.7126420042537933,4.939476617037392,2.045049412638132,0.7161911716110898,0.7100940342237986,67.6266782836914,252.99447181631012
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,7.853977270389305,0.880123977859815,0.4143490782380104,nan,0.8711623772978783,5.411356588602066,1000.0,0.0,nan,0,31182,0,220,154.93533579508463,161.16737449645996,4896.595323583089,369.1844202579695,0.3276705779135227,7.445234448909759,154.93533579508463,161.16737449645996,3.728818013396114,6.920977019584481,0.7499031039575735,0.6936419960856438,0.6862801894214998,0.7146942603941696,0.6862801894214998,0.7146942603941696,5.0056816158714605,2.056604504290822,0.6996699719290648,0.7116498956470979,71.90384591674805,382.71034363517606
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,7.938718459149192,0.8804533104101817,0.4120068840185801,nan,0.811731572334583,5.389577066898346,1000.0,0.0,nan,0,30450,0,208,140.9466036283053,160.56666221618653,4556.992182189642,373.67038738577,0.32357664520923907,10.432988072931767,140.9466036283053,160.56666221618653,3.788575783900983,7.000327472070612,0.8619654178619385,0.6854784366488457,0.6254241671177512,0.7120046889143787,0.6254241671177512,0.7120046889143787,5.073276459168834,2.059809550993843,0.6962499425444805,0.7067204317155237,67.89127658081054,267.94995169123865
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,8.053362602902231,0.880782977938652,0.4099017530679703,nan,0.9384496132532756,5.3052522921562195,1000.0,0.0,nan,0,30855,0,211,145.186626180013,160.90567588806152,4772.298197888416,371.79487210190956,0.602061050136884,5.765507174581289,145.186626180013,160.90567588806152,3.8483307148239403,7.080898225585649,0.8196711381276448,0.6698191991448402,0.6443335927228586,0.7133174845319635,0.6443335927228586,0.7133174845319635,5.141357719128624,2.062372135462704,0.680273985585501,0.7085046548708633,68.717869140625,291.8868947774163
