algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.87625822737813,0.41973323248326777,0.8581610065735413,1.408969809027279,0.42517810940742495,1000.0,0.4681954633327215,0.9539314800844905,10275,584,109,4,6303.259436589538,0.0,167.22314273609834,0.0,0.7410160283000519,0.0,2.9764927859522827,0.0,167.22314273609834,0.0,0.480404134182369,0.16200831711292266,0.7410160283000519,0.0,0.7659925327581518,0.0,2.9764927859522827,1.1064336926577372,0.7659925327581518,0.7410160283000519,7.10698356628418,267.8885260550553
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8689934767410159,0.6785702376812697,0.8189603747132169,1.2608991580850937,1.4735904002189637,1000.0,0.3155501188561405,0.9081798982814879,10079,404,105,8,5964.443034907179,0.0,172.15778305951287,0.0,0.763576053681811,0.0,3.0224193314198793,0.0,172.15778305951287,0.0,0.28236374960226174,0.10609470650553704,0.763576053681811,0.0,0.7167735998244846,0.0,3.0224193314198793,1.1122627257622417,0.7167735998244846,0.763576053681811,7.316705780029297,253.48882898355515
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8568192277103662,10.489106120765209,0.8567369044879058,1.156728732917044,6.576346807479858,1000.0,0.6518060790579121,0.9645635720574975,10477,814,111,4,6435.3168147236975,0.0,167.31455739339194,0.0,0.7407878516942352,0.0,3.0627931073236874,0.0,167.31455739339194,0.0,0.5447276151842542,1.8046573567390443,0.7407878516942352,0.0,0.7425487273269229,0.0,3.0627931073236874,1.119425559150466,0.7425487273269229,0.7407878516942352,7.529155082702637,289.5892566625664
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.8769472286105156,0.41599285826086996,0.9078090570631411,1.3589697434351995,30.62742971420288,1000.0,0.44961190821375924,1.0,10679,965,22,100,5554.790330397216,0.0,173.94357651930588,0.0,0.7713336532122332,0.0,3.116144472105094,0.0,173.94357651930588,0.0,0.3431412394230182,15.091127977371215,0.7713336532122332,0.0,0.6763861580536916,0.0,3.116144472105094,1.1423042170483382,0.6763861580536916,0.7713336532122332,11.306332473754884,361.06137147581904
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,55,5.252093455192512,0.8798187281191349,0.40363642483949663,0.897128474370998,1.3061061223347983,52.51265502929687,1000.0,0.32768878812522073,1.0,10036,241,56,55,5904.771244346771,0.0,166.97091471354167,0.0,0.7396818525188281,0.0,3.142481494893444,0.0,166.97091471354167,0.0,0.9436747153600057,2.1085210180282594,0.7396818525188281,0.0,0.7179441968599956,0.0,3.142481494893444,1.1511549213112462,0.7179441968599956,0.7396818525188281,6.261409301757812,221.42892166300393
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,56,5.536660014510691,0.8811262287199497,0.3990466211736202,0.9182585947801953,0.9643422439694405,108.75430683135987,1000.0,0.3590277591714373,1.0,10111,194,15,92,6007.554988188452,0.0,162.39746856689453,0.0,0.7202675512252315,0.0,3.1753083001004883,0.0,162.39746856689453,0.0,0.5246449882785479,1.1360214763879777,0.7202675512252315,0.0,0.7432811160882314,0.0,3.1753083001004883,1.1491380710391916,0.7432811160882314,0.7202675512252315,4.871924057006836,180.2266496456536
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,57,5.536660014510691,0.8817857265472412,0.396859630420804,0.9349354688111507,0.9694135403633117,122.95056177139283,1000.0,0.28292247397290526,1.0,10419,678,0,121,6236.864409739164,0.0,155.2965881347656,0.0,0.6880900815232017,0.0,3.2837459057965903,0.0,155.2965881347656,0.0,0.3334753519296646,4.510151689052582,0.6880900815232017,0.0,0.7980006504058837,0.0,3.2837459057965903,1.1212103840862815,0.7980006504058837,0.6880900815232017,9.70603675842285,389.8040256086977
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,58,5.536660014510691,0.8782179786637425,32.79179832741618,0.9107069982265054,1.27831757179013,123.13575002670288,1000.0,0.3752288727605555,0.9980921855921855,10638,987,25,98,6376.502630386892,0.0,154.77477857801648,0.0,0.6860333067061163,0.0,3.378888003975701,0.0,154.77477857801648,0.0,0.6596406173926813,11.3082088637352,0.6860333067061163,0.0,0.7800538672341241,0.0,3.378888003975701,1.126786079885997,0.7800538672341241,0.6860333067061163,10.447297554016114,430.41392755111514
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,59,5.536660014510691,0.8784899789653718,1.0655838461965323,0.9209575701107059,1.1323814935982228,144.53922744750977,1000.0,0.47557440618272695,1.0,10473,612,5,110,6664.8801295893045,0.0,162.43927993774415,0.0,0.7196509113260832,0.0,3.4317959586918994,0.0,162.43927993774415,0.0,0.801158320903778,7.962984638214111,0.7196509113260832,0.0,0.7058984074741602,0.0,3.4317959586918994,1.1276630055355172,0.7058984074741602,0.7196509113260832,8.121963996887207,333.24400647946527
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,60,5.536660014510691,0.8790072274208068,0.8742833106964827,0.927326337331028,1.4635558373787825,148.9680360984802,1000.0,0.5624702159980817,1.0,10479,571,0,112,6042.296397885984,0.0,157.08499414780562,0.0,0.696954320740009,0.0,3.4688173349037332,0.0,157.08499414780562,0.0,1.9815391933216768,8.004347953796387,0.696954320740009,0.0,0.7300664291662329,0.0,3.4688173349037332,1.145540907516442,0.7300664291662329,0.696954320740009,6.676112251281738,256.7975969101543
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,61,5.536660014510691,0.8798307264596223,0.7031125155091286,0.8798319204270936,1.411463715528187,148.8960359954834,1000.0,0.3913131594708151,1.0,10395,545,0,114,6237.1931537532,0.0,151.32912565532484,0.0,0.6703647372639459,0.0,3.53481559277207,0.0,151.32912565532484,0.0,0.922305565131338,6.0910014319419865,0.6703647372639459,0.0,0.7772586816235593,0.0,3.53481559277207,1.1390702982099266,0.7772586816235593,0.6703647372639459,7.18813346862793,296.266674803277
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,62,5.562785849249958,0.880743727684021,0.5323451401293278,0.9010847022659552,1.3442667438225313,149.23925065994263,1000.0,0.34036987072662156,1.0,10348,556,7,111,6256.853703210445,0.0,146.98861208829013,0.0,0.6517193251576074,0.0,3.618246024276144,0.0,146.98861208829013,0.0,0.7680218450047753,8.216978726387024,0.6517193251576074,0.0,0.8000739135525443,0.0,3.618246024276144,1.1435546790654403,0.8000739135525443,0.6517193251576074,8.084373664855956,344.1269536765745
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,63,5.562785849249958,0.8807352279871702,0.4478832770138979,0.8256882836217159,1.3340925143824682,156.2084663963318,1000.0,0.35348665141852115,1.0,10427,730,0,123,6341.107577554923,0.0,157.86799791124133,0.0,0.7003007369183089,0.0,3.6742357565445847,0.0,157.86799791124133,0.0,0.8884059345280683,5.2881072950363155,0.7003007369183089,0.0,0.6858366076593045,0.0,3.6742357565445847,1.1605105738469308,0.6858366076593045,0.7003007369183089,10.65608985900879,428.02476148495737
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,64,5.562785849249958,0.8792422272451222,18.674420389309525,0.919876836039569,1.7438962368861488,155.54563737869262,1000.0,0.5962182345100568,0.9993686868686869,10885,1108,22,97,5979.000573895911,0.0,146.41558837890625,0.0,0.649156924075794,0.0,3.748250510255584,0.0,146.41558837890625,0.0,3.7790971372438515,31.41062527656555,0.649156924075794,0.0,0.7761844370676123,0.0,3.748250510255584,1.1699265491649358,0.7761844370676123,0.649156924075794,8.41889633178711,343.79253299901495
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,65,5.6798891785503125,0.8790644759126007,0.6545350287854671,0.8974018231530424,1.379978015422821,175.6311813545227,1000.0,0.4618954094905506,1.0,10657,920,23,98,6021.340417388921,0.0,147.58771606445313,0.0,0.6543453284790343,0.0,3.8073605583826304,0.0,147.58771606445313,0.0,1.0054822015762328,14.726517667770386,0.6543453284790343,0.0,0.7495984280109406,0.0,3.8073605583826304,1.1925312880452168,0.7495984280109406,0.6543453284790343,9.22423225402832,376.3337760868076
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,66,5.6798891785503125,0.8781929784081877,17.6027879049629,0.9744480033665461,1.398472636938095,196.96281337738037,1000.0,0.21192063619312296,0.9974489795918368,10155,331,21,91,6310.0544869414425,0.0,144.35526614718967,0.0,0.6395238717144327,0.0,3.8454308616187047,0.0,144.35526614718967,0.0,0.9668837090333303,2.1540550243854524,0.6395238717144327,0.0,0.76327512661616,0.0,3.8454308616187047,1.2095009732558066,0.76327512661616,0.6395238717144327,6.495986976623535,283.95245191236495
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,67,5.762125827926058,0.8783002276159823,0.890299324914813,0.8380355825388403,1.3196766945448788,218.24188472747804,1000.0,0.2756547064804167,1.0,10233,453,0,118,6198.710265737353,0.0,142.87563809481534,0.0,0.6334313858356687,0.0,3.937504161262975,0.0,142.87563809481534,0.0,0.5655850903554396,2.7351042568683623,0.6334313858356687,0.0,0.7895706593990326,0.0,3.937504161262975,1.1849317178491325,0.7895706593990326,0.6334313858356687,7.858160095214844,340.92906461555447
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,68,5.956352535498096,0.8793507280759514,0.7388546065241098,0.8321521638112258,1.6762288599102586,218.57383953094484,1000.0,0.33307766852196335,1.0,10428,731,0,123,6019.474429992366,0.0,140.47280940303096,0.0,0.6219644470437216,0.0,4.029873172253306,0.0,140.47280940303096,0.0,0.9205375600744177,7.902882380485535,0.6219644470437216,0.0,0.7934006452560425,0.0,4.029873172253306,1.192854682293377,0.7934006452560425,0.6219644470437216,9.481914634704589,406.3145240244847
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,69,6.181818348913463,0.878246727604419,16.50029979802668,0.7647167405020808,1.0443812186519306,219.3280859565735,1000.0,0.22335140018066846,0.9973958333333334,9977,147,62,44,6298.514497392028,0.0,139.5737444559733,0.0,0.6193162476599521,0.0,4.076730708483425,0.0,139.5737444559733,0.0,1.1203745976090431,4.886170105934143,0.6193162476599521,0.0,0.8137744019428889,0.0,4.076730708483425,1.173488103110364,0.8137744019428889,0.6193162476599521,4.1872123336791995,188.95543492176083
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,70,6.181818348913463,0.8789494782313705,0.7702783642709256,0.9564113095634118,1.6614574056405287,277.0117990112305,1000.0,0.3528668492613774,1.0,10217,291,6,102,6384.755161799419,0.0,142.4512235201322,0.0,0.6319375540651472,0.0,4.1171540775547095,0.0,142.4512235201322,0.0,1.781699015544011,11.855882530212403,0.6319375540651472,0.0,0.7355691561332116,0.0,4.1171540775547095,1.1743177354243486,0.7355691561332116,0.6319375540651472,4.629664764404297,207.5045427584811
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,71,6.181818348913463,0.878659977465868,0.7311680211126804,0.938294043771664,1.4786882137551027,308.2183251190186,1000.0,0.4177439855806747,1.0,10375,485,2,110,6281.251039544317,0.0,140.863063139074,0.0,0.6239386591160726,0.0,4.15243284481245,0.0,140.863063139074,0.0,0.8597557842731476,9.204781246185302,0.6239386591160726,0.0,0.757894351201899,0.0,4.15243284481245,1.18743701834256,0.757894351201899,0.6239386591160726,5.986680183410645,266.95316918063344
