algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7253947322070599,0.8592881874740124,nan,0.07466637001683314,0.08316880039870739,1000.0,0.0,nan,0,1,0,11541,1.217691866060098,0.7634578949213028,2.450258736809095,1.372636171579361,0.6852937746268957,0.6852937746268958,0.23947594916008388,0.2639385423695762,0.041666666666666664,0.0,0.6852937746268957,0.0,0.44999999999999996,0.9916685921851534,0.8092171557405914
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7300594814121724,0.8336892102658748,nan,0.07039664996167024,0.07696828208863735,1000.0,nan,nan,0,0,0,11890,1.1447692848742008,0.6626199841499328,2.1674403051535287,1.1863884508609772,0.7214611380882578,0.7214611380882578,0.23226709287702918,0.23098050530721143,0.0,0.0,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9908203822169395,0.7931369478112412
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.733745730817318,0.8120529513061047,nan,0.06569978270841681,0.07164675332605838,1000.0,nan,nan,0,20,0,12058,1.0023709043212559,0.5866146904230117,1.8945497922275378,1.067984830737114,0.7596944884031196,0.7596944884031193,0.21657949615677302,0.20639649010546648,0.0,0.2,0.7596944884031196,0.0,0.48,0.989905888779726,0.7747116393078012
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.737835731357336,0.7928087317943573,nan,0.06284649204462767,0.0667631646990776,1000.0,0.0,nan,0,3,0,10549,1.195921817421913,0.49822541922330854,2.066484886407852,0.8752235925197601,0.8001526997791858,0.8001526997791859,0.19891269618502916,0.18740890403843838,0.15,0.0,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9890160105997103,0.7726829309554029
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.7412019808590412,0.7759713281691074,nan,0.05985602537790934,0.06329784769564867,1000.0,nan,nan,0,32,0,10866,0.9855289876461029,0.4622944551706314,1.8739778757095338,0.8780838918685913,0.843046436713245,0.8430464367132453,0.19296967251308364,0.17215404461541683,0.0,0.32,0.843046436713245,1.1102230246251565e-16,0.51,0.9886615382323779,0.7643226235371847
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.7442154811322689,0.7614893068373203,nan,0.05776509394248327,0.06016220271587372,1000.0,0.0,nan,0,63,0,10905,1.0917917035874867,0.41496232092380525,1.9348507637069339,0.7631855553388596,0.8793723681465165,0.8793723681465166,0.187061359177838,0.15925075386973245,0.09523809523809523,0.61,0.8793723681465164,1.1102230246251565e-16,0.525,0.987928729124668,0.7606746923125841
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.746982230246067,0.7484128075838089,nan,0.05532648228108883,0.05761874869465828,1000.0,0.0,nan,0,381,0,11429,0.9524300634860993,0.3828696635365486,1.5878264904022217,0.7222805547714234,0.9126284626054436,0.9126284626054435,0.20467599768980088,0.14855626752066478,0.3,3.75,0.9126284626054437,0.0,0.54,0.987339950143961,0.7567280843683012
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.7498992301523686,0.736499124020338,nan,0.05236982781853941,0.05527171179652214,1000.0,nan,nan,0,66,0,10736,0.9807098176744249,0.35780326783657074,1.7463569972250197,0.6795713502168655,0.947462263761002,0.9474622637610018,0.1661934124916221,0.1394690268551938,0.0,0.66,0.9474622637610021,0.0,0.555,0.9867670185152481,0.7539038824376343
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.752316230237484,0.7261683012545109,nan,0.051644750826415564,0.0537306010723114,1000.0,nan,nan,0,106,0,11050,1.1458073655764263,0.3394201573729515,1.66671583766029,0.6500373256206512,0.9839586158871577,0.9839586158871579,0.1902185224725475,0.13178976219725108,0.0,1.06,0.9839586158871577,0.0,0.57,0.9859625989860251,0.7490399222792523
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.7546309803426265,0.7162971416115761,nan,0.049507607188489705,0.051721920035779474,1000.0,0.0,nan,0,209,0,11061,0.6960842973656125,0.32178706854581834,1.3215801748964522,0.6161979472637177,1.0222165407481023,1.0222165407481025,0.14592036279681322,0.12491404594165788,0.05555555555555555,2.08,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854138011633765,0.7457376603070122
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.7565939809381962,0.7077412316203118,nan,0.04700322008945725,0.049944548159837725,1000.0,nan,nan,0,114,0,11152,0.7515783506360921,0.3121995165944099,1.3022957173260776,0.6121249413490295,1.0623545611125642,1.0623545611125644,0.14085045023650397,0.11874077187296286,0.0,1.14,1.0623545611125642,2.220446049250313e-16,0.6,0.984611546990492,0.737215513925214
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.7585572317242623,0.699945659339428,nan,0.04625383714834849,0.04814183305948973,1000.0,nan,nan,0,4,0,10730,1.0105678379535674,0.2835889780521393,1.6658820708592732,0.5280402100086212,1.1045192595593836,1.1045192595593833,0.14968207160835367,0.11314818980659264,0.0,0.04,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.984241966465083,0.734888951616259
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.7604474814236164,0.6922122386097908,nan,0.04581300703727681,0.04732015255838633,1000.0,nan,nan,0,346,0,11000,0.7797491563403088,0.26765850752592085,1.269733473010685,0.510956774353981,1.1488996468936743,1.148899646893674,0.1486198066658117,0.10819398424312368,0.0,3.46,1.1488996468936743,2.220446049250313e-16,0.63,0.9833886660961039,0.7334892681122713
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.7622752314805985,0.6857438641786575,nan,0.0453179617308908,0.04615960814058781,1000.0,0.0,nan,0,155,0,10789,0.9253186161319414,0.252705437541008,1.4902554055054982,0.4835371264815331,1.1932226547715867,1.193222654771587,0.15251407328367528,0.10366311027957865,0.1111111111111111,1.53,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9829146489695125,0.7322107734758543
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.7639144796133042,0.6794162519276142,nan,0.04311882371180936,0.04493941411375999,1000.0,0.0,nan,0,302,0,10730,0.8594146817922592,0.24274291977286339,1.2655317532388788,0.4678156232833862,1.2237170788729461,1.2237170788729463,0.14527637923861966,0.09959166256404524,0.10526315789473684,3.0,1.2237170788729463,2.220446049250313e-16,0.66,0.9823401163911147,0.731053787338865
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.7654032301902771,0.6737670855224133,nan,0.04208483254270894,0.04391614023596049,1000.0,nan,nan,0,28,0,10766,0.6218369847961834,0.23617875725030898,1.225001301084246,0.4609453797340393,1.2553701641143242,1.2553701641143242,0.111398829018718,0.09599296554618089,0.0,0.28,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9820219617512647,0.7261924499145116
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.7668497312068939,0.6682874023914337,nan,0.04184927309260649,0.04357762549072504,1000.0,0.0,nan,0,85,0,10341,1.095047668499105,0.22236662358045578,1.4853137819206013,0.42294946044683457,1.2882265209338717,1.2882265209338717,0.16011977791236906,0.09290427092896256,0.29411764705882354,0.8,1.288226520933872,4.440892098500626e-16,0.69,0.9814345059869045,0.7273684981861849
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.768240482211113,0.6634055435657501,nan,0.04091617691776027,0.042341116592288015,1000.0,0.0,nan,0,76,0,10624,0.8864082305327706,0.215823113322258,1.1866061013677847,0.4208694049715996,1.3223351707503763,1.322335170750376,0.13945053036236377,0.08987186725877376,0.2608695652173913,0.7,1.3223351707503765,2.220446049250313e-16,0.705,0.980200793412876,0.726012138921309
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.7696367290616035,0.6585373868048191,nan,0.04111783421383454,0.04146154798567295,1000.0,0.0,nan,0,244,0,11402,0.6689097921435649,0.2216631714999676,0.9736824528529093,0.44582260996103285,1.3577503788831173,1.3577503788831171,0.12111026984356009,0.08706214220393434,0.07692307692307693,2.42,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9790594210249254,0.7195868752379081
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.7707639810442924,0.6542297084629536,nan,0.039807931002643376,0.04087856497615576,1000.0,nan,nan,0,213,0,10571,0.7839849243561426,0.20429834306240083,1.1896294603745143,0.38424565076828004,1.3945327218869124,1.3945327218869128,0.12523691022008634,0.08454460754992126,0.0,2.13,1.3945327218869124,0.0,0.735,0.9784906337449463,0.7190556212480486
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.7719202280044556,0.6502398842573166,nan,0.038831768987270504,0.04028560448437929,1000.0,0.0,nan,0,250,0,10856,0.7914067220229369,0.19645165160298347,1.0033294890935605,0.38295953631401064,1.432750473426504,1.4327504734265037,0.1299145506997334,0.08215542246612668,0.19230769230769232,2.45,1.4327504734265044,2.220446049250313e-16,0.75,0.9771792481861972,0.7174289961905902
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.7732319809496403,0.6460051235556602,nan,0.039645586601075006,0.0400405914708972,1000.0,0.0,nan,0,129,0,10709,0.7762624805464464,0.18981770426034927,1.1207317780045902,0.36855327010154726,1.4724814279430891,1.4724814279430887,0.13551338447585684,0.07993287500429576,0.17647058823529413,1.26,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.976724094356676,0.7175956583986831
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.7740992327034474,0.6425278496742248,nan,0.03862330410629511,0.039541580118238925,1000.0,0.0,nan,0,344,0,11096,0.6350091062486172,0.1892328728735447,0.9245632797479629,0.3726160484552383,1.5138153326430999,1.5138153326431,0.12805204679392507,0.07796477861878355,0.2,3.4,1.5138153326430996,2.220446049250313e-16,0.78,0.9760572497143695,0.7154110468029564
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.7751927304267884,0.6389968179166317,nan,0.03732684006293615,0.03890768334269524,1000.0,0.0,nan,0,171,0,10631,0.7393848631117079,0.18075344502925872,1.1625236339039273,0.34670801788568495,1.556857173631695,1.5568571736316952,0.11721093250177048,0.0760977103845998,0.16666666666666666,1.68,1.5568571736316952,0.0,0.795,0.9754963023615908,0.7150765439225877
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.7762362292408943,0.635651815533638,nan,0.037862653747714796,0.03821434270590544,1000.0,0.0,nan,0,310,0,11616,0.692554850002815,0.1788306339085102,0.8805033636504206,0.35245132088661196,1.5961356544147975,1.596135654414798,0.12023798176427242,0.07424865640942198,0.06896551724137931,3.08,1.5961356544147978,4.440892098500626e-16,0.81,0.9741103046032885,0.711611423108715
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.7771479804813862,0.6325307816267014,nan,0.03686532215215266,0.03790139567106962,1000.0,0.0,nan,0,187,0,10919,0.6517036305740476,0.17760720431804658,0.9939364232122898,0.3523144307732582,1.6303152389903997,1.6303152389903994,0.11039309444688514,0.07262153391122127,0.0625,1.86,1.6303152389903999,2.220446049250313e-16,0.825,0.9737009799192714,0.7071595827314453
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.7777457304298878,0.6300179643929005,nan,0.03586293502964757,0.037406035624444486,1000.0,0.0,nan,0,134,0,10896,0.6609563366933302,0.17917415782809257,0.9153721847317435,0.3570500507950783,1.6656394806877939,1.6656394806877934,0.10415832437928749,0.07098138647284444,0.09090909090909091,1.32,1.6656394806877939,4.440892098500626e-16,0.84,0.972672768847979,0.700984412868026
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.7787309812009334,0.6273578007519245,nan,0.03597548683839185,0.03717839203774929,1000.0,nan,nan,0,176,0,10446,0.6813126674720219,0.1698927591741085,1.1564026091779982,0.32412843614816667,1.7021545775828013,1.7021545775828013,0.09794635478597179,0.06946468640164216,0.0,1.76,1.7021545775828018,4.440892098500626e-16,0.855,0.9722890293646038,0.6989713548465784
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.7793367323279381,0.62477823138237,nan,0.035611101251561195,0.036748853661119935,1000.0,0.0,nan,0,704,0,11336,0.7972994111478329,0.16141427904367447,0.8376628663390875,0.3080477133393288,1.7399113538860758,1.7399113538860755,0.12784606140027432,0.06807960539034473,0.21875,6.97,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9705777876495209,0.7018361633397329
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.7801612293720246,0.6221752744913102,nan,0.035557133704423906,0.035940533876419066,1000.0,0.0,nan,0,278,0,10916,0.6542859204113484,0.1607135732471943,0.8629276424646377,0.31808330029249193,1.7789660529514504,1.7789660529514506,0.1115352172048105,0.06672448190200767,0.4,2.7,1.7789660529514502,2.220446049250313e-16,0.885,0.9699198572873396,0.6999842131170088
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.7808784811198711,0.6199856542050839,nan,0.03572078592454394,0.03567315544933081,1000.0,0.0,nan,0,296,0,11210,0.590402835359176,0.15467795252799987,0.7977075502276421,0.2993733933568001,1.8193813121440445,1.8193813121440439,0.10294550463533277,0.06539711701914425,0.125,2.93,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9689296236928513,0.6999463961689499
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.7817647306621075,0.6174692890048027,nan,0.035085042876501875,0.0356790965422988,1000.0,0.0,nan,0,358,0,11466,0.5554054744541645,0.15807484745979308,0.824349045753479,0.31729150146245955,1.8612273687051581,1.8612273687051581,0.09751148632777444,0.06419222584070905,0.13333333333333333,3.54,1.861227368705158,2.220446049250313e-16,0.915,0.9675462946236568,0.6949477746279551
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.7821029804646968,0.6157631359994411,nan,0.034292746116133296,0.035251638237386945,1000.0,0.0,nan,0,208,0,10696,0.5757362658486647,0.15346756771206857,0.9209729994044584,0.2999155712127686,1.9045835603521555,1.9045835603521561,0.09261624081344888,0.06299937115539725,0.058823529411764705,2.07,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9670985138929347,0.6930605369679463
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.7829147282242775,0.6135164099931717,nan,0.034004619419574736,0.035035185795277354,1000.0,0.0,nan,0,224,0,11096,0.4802764129638672,0.14576588630676268,0.7271924579143524,0.27917735040187835,1.9495402035165765,1.9495402035165759,0.08235270251572802,0.061899275899023595,0.2,2.19,1.9495402035165765,6.661338147750939e-16,0.945,0.9660551352434439,0.6903503497711267
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.7833969803154468,0.6116618999838829,nan,0.03404566404168253,0.03455444063991308,1000.0,0.0,nan,0,178,0,10914,0.6101434457081335,0.14429383024573325,0.798513341833044,0.28288210183382034,1.9962009572946733,1.9962009572946726,0.09241939656377111,0.06090577364496168,0.18518518518518517,1.73,1.9962009572946728,4.440892098500626e-16,0.96,0.9645573802666866,0.6879098546155176
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.7841099789738655,0.6098605571687221,nan,0.03368459515273571,0.034243913721293213,1000.0,0.0,nan,0,548,0,11270,0.5409341895580292,0.140032891780138,0.7832487559318543,0.27154474943876267,2.044685814238566,2.0446858142385658,0.0949742458318303,0.059931546636294936,0.24,5.42,2.0446858142385658,4.440892098500626e-16,0.975,0.9635329315832838,0.6895633500572251
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.7847329802811146,0.6081174412369728,nan,0.03317551650106907,0.03356297405436635,1000.0,0.0,nan,0,380,0,10442,0.6496703505516053,0.1365016807615757,1.0512382328510284,0.26656084895133975,2.078667703126915,2.078667703126915,0.095095510717542,0.058825081949611085,0.06666666666666667,3.79,2.0786677031269156,0.0,0.99,0.9632375124279411,0.6910703936677672
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.7852869801223278,0.6064641469717026,nan,0.03319072523819549,0.03414468863978982,1000.0,0.0,nan,0,582,0,11632,0.4636286731277193,0.1386501607298851,0.668145127594471,0.2768537190556526,2.113487926545776,2.113487926545776,0.08565056315011985,0.057994924785262275,0.21428571428571427,5.76,2.1134879265457758,4.440892098500626e-16,1.005,0.961920637663572,0.6866856582571783
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.78582873031497,0.6048703633248806,nan,0.033652459969744086,0.03369764132425189,1000.0,0.0,nan,0,161,0,10367,0.7375768907368183,0.13332532867789268,1.0047552287578583,0.2601094055175781,2.1493007737632155,2.149300773763216,0.10494785490729477,0.05710098518155121,0.1875,1.58,2.1493007737632155,0.0,1.02,0.961451682335995,0.6871489990662202
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.7863484808802604,0.6033665685355664,nan,0.033426448004320264,0.03294300323352218,1000.0,0.0,nan,0,226,0,10506,0.4683727202937007,0.1302451668679714,0.8191791996359825,0.2535116121172905,2.1861402047376153,2.1861402047376157,0.07248738742095934,0.056168823533674944,0.125,2.24,2.1861402047376153,0.0,1.035,0.9610648413368552,0.6865386479961021
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.7867054787278175,0.6021406443417072,0.8923778178855976,0.03443610818967933,0.33298262357711794,1000.0,0.8554421768707483,0.8141000186239461,10447,684,132,159,0.49511659890413284,0.11317782282829285,0.7210330615441004,0.23308783680200576,2.22404273887927,0.0,0.09113025024103069,0.0,26.285714285714285,105.79,2.22404273887927,4.440892098500626e-16,1.05,0.9604360800135258,0.6673178971325311
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.7870827293395997,0.6009214045107365,0.6768798441307612,0.0327749612795956,0.617988439798355,1000.0,0.831140350877193,0.5142656009879054,10146,487,238,101,0.5915763351847144,0.22215240731835365,0.7591509674401844,0.43259190395474434,2.2630477569582967,0.0,0.09607540879695471,0.0,14.647058823529411,103.84,2.2630477569582967,4.440892098500626e-16,1.065,0.9600268479421903,0.662920234323481
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.7870014807581902,0.6014404320716857,0.5119316327520661,0.03351520122412373,2.2283581399917605,1000.0,0.8571428571428571,0.3039855794040445,10003,285,181,127,0.46174582050127144,0.7416792008280754,0.7651141180711634,1.5598506903648377,2.3031978481431916,0.0,0.06883755240877616,0.0,6.117647058823529,101.84,2.3031978481431916,4.440892098500626e-16,1.08,0.959540313363801,0.6614130671609763
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.7847742295265198,0.6143310782313347,0.2902759371872802,0.032941373996436596,7.421576044559479,1000.0,0.9111111111111111,0.1701127008848913,10031,690,557,128,0.5431211325857375,2.4620163011550904,0.9385728902286954,5.195103139877319,2.344539209861967,0.0,0.08497738146187367,0.0,7.388888888888889,105.88,2.344539209861967,8.881784197001252e-16,1.095,0.958997982029655,0.656602984912857
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,54,2.3871221095865076,0.7845612287521362,0.614802862405777,0.6929497518582861,0.034907524330684774,23.545691480636595,1000.0,0.810690653432589,0.5428190506153373,10378,806,323,259,0.7118199456196564,7.856749796867371,1.2698311759875371,16.481983757019044,2.387122109586507,0.0,0.09108028724961745,0.0,18.576923076923077,107.01,2.387122109586507,4.440892098500626e-16,1.11,0.9579880474459443,0.6405337981464235
