algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,82,5.96769429129071,0.8380319788058599,0.6225951832532882,0.9627297774333807,4.974363899230957,1952.8167358779908,1000.0,0.5580066637693756,1.0,29858,78,154,46,39.06099014282226,10982.229238967895,140.4948516845703,0.0,0.6223762813598821,0.0,5747.713940874097,0.0,0.6223762813598821,0.0,4.370366035527987,0.0,0.5940470695495605,0.0,140.4948516845703,0.0,4.370366035527987,1.179166575550315,0.5940470695495605,0.6223762813598821,2.341580861409505,95.7952323479016
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,83,6.0947546639269055,0.8368016451597213,0.6339564060171445,0.8777988148326743,5.916560141245524,2909.284323568344,1000.0,0.5463505300335938,1.0,30312,479,82,129,39.9758061726888,1100.5417990589142,138.0116190592448,0.0,0.6122959620444424,0.0,4708.239248172017,0.0,0.6122959620444424,0.0,4.422049373328897,0.0,0.6839468359947205,0.0,138.0116190592448,0.0,4.422049373328897,1.185080601588129,0.6839468359947205,0.6122959620444424,6.9005809529622395,235.4119624086008
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,84,6.0947546639269055,0.8367226457595826,0.6366732855637868,0.8845038825129229,5.491211141858782,2990.8199509620667,1000.0,0.7721966941436792,1.0,30632,666,29,181,37.440996578761506,175.59655925750732,138.16551099504744,0.0,0.6124365970177933,0.0,5363.374481217166,0.0,0.6124365970177933,0.0,4.468373192396227,0.0,0.6650256578411374,0.0,138.16551099504744,0.0,4.468373192396227,1.188179642825418,0.6650256578411374,0.6124365970177933,6.447723846435547,250.29080912346777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,85,6.0947546639269055,0.8346849796672662,17616.895644230146,0.9176476339250048,6.178091764450073,2987.123155927658,1000.0,0.35555097377402795,0.997979797979798,29987,302,163,46,3532.830697695414,14272.109300365448,136.12475204467773,0.0,0.6033469311018069,0.0,4829.762924259731,0.0,0.6033469311018069,0.0,4.510595755589861,0.0,0.703322966893514,0.0,136.12475204467773,0.0,4.510595755589861,1.1891478978777248,0.703322966893514,0.6033469311018069,5.444990081787109,193.1905169703892
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,86,6.0947546639269055,0.8348106454312801,2574.9468725105125,0.8792488880671439,5.577983466061679,4055.610598306656,1000.0,0.6000142231325026,1.0,30201,346,98,109,37.9681843844327,11287.355386276246,137.61844704367897,0.0,0.6099440314379047,0.0,4146.93568751652,0.0,0.6099440314379047,0.0,4.5357607766781225,0.0,0.6397136585278944,0.0,137.61844704367897,0.0,4.5357607766781225,1.197889030024302,0.6397136585278944,0.6099440314379047,5.046009724934896,152.0543085422724
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,87,6.351857797529725,0.8350643126666546,1598.4358644895751,0.920831094306888,5.563046737150713,5051.107270679474,1000.0,0.7862232049669113,1.0,30330,389,58,149,43.5701981457797,1357.4903289842605,141.02042458274147,0.0,0.6249577052141242,0.0,5952.975355622385,0.0,0.6249577052141242,0.0,4.582594287025639,0.0,0.6346727609634399,0.0,141.02042458274147,0.0,4.582594287025639,1.1799001018741218,0.6346727609634399,0.6249577052141242,5.170748901367188,218.2757630394875
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,88,6.4946449946796285,0.8350643102327983,652.7688170380394,0.9366270868079436,5.894597911834717,5133.897192783355,1000.0,0.5312308282061602,1.0,30036,287,153,54,54.48328132629395,16600.098917503357,135.41930694580077,0.0,0.6008344846502595,0.0,5151.31720954611,0.0,0.6008344846502595,0.0,4.613764790101664,0.0,0.6925762534141541,0.0,135.41930694580077,0.0,4.613764790101664,1.183760026139057,0.6925762534141541,0.6008344846502595,4.513976898193359,171.71057365153698
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,89,6.4946449946796285,0.835333978732427,545.2316296414534,0.9058240980339566,5.31421188207773,6639.244090805054,1000.0,0.710531662771814,1.0,30454,464,21,187,41.694105001596306,150.6794940185547,137.738773052509,0.0,0.6110642422204026,0.0,5883.270439916569,0.0,0.6110642422204026,0.0,4.658908279952468,0.0,0.6226420723474942,0.0,137.738773052509,0.0,4.658908279952468,1.1754375016681815,0.6226420723474942,0.6110642422204026,5.968680165608724,254.94171906305138
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,90,6.914337515667035,0.8323659792542457,381.8113287078341,0.8627041028155938,5.632104541944421,6556.823072586059,1000.0,0.5384507307571414,1.0,30625,891,55,165,26.540395653766133,2990.7923537540437,137.43284673276156,0.0,0.6087245062065317,0.0,5685.949134741626,0.0,0.6087245062065317,0.0,4.742925526746961,0.0,0.6511065921057826,0.0,137.43284673276156,0.0,4.742925526746961,1.1522860706117046,0.6511065921057826,0.6087245062065317,10.536518249511719,435.92276699685794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,91,6.914337515667035,0.8337543132901192,248.52189159661532,0.7942173933510567,6.566741847991944,6834.518738718033,1000.0,0.42847600735902114,1.0,29963,240,166,41,49.42966651916504,15382.955819396973,136.40223541259766,0.0,0.6046517675267844,0.0,5328.068451222343,0.0,0.6046517675267844,0.0,4.773696282361158,0.0,0.6909180909395218,0.0,136.40223541259766,0.0,4.773696282361158,1.1480131878937865,0.6909180909395218,0.6046517675267844,4.546741180419922,177.60228170741146
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,6.914337515667035,0.8329883136351903,174.1833560453852,0.8241890901400222,5.771259367465973,8116.729679994583,1000.0,0.38095113677382964,1.0,30220,392,64,148,40.51416277885437,348.7497625732422,135.5788984298706,0.0,0.6002805056171261,0.0,5070.62428326268,0.0,0.6002805056171261,0.0,4.812734054767565,0.0,0.6722676660865545,0.0,135.5788984298706,0.0,4.812734054767565,1.1530796972780941,0.6722676660865545,0.6002805056171261,7.2308745829264325,270.43329510734293
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,93,7.334030036654441,0.8330876451730728,134.79220961083968,0.9274726724613951,5.382856220006943,8228.979896068573,1000.0,0.5434714708085681,1.0,30334,496,74,138,36.469343185424805,1975.688220691681,135.7507095336914,0.0,0.6012551446891434,0.0,4846.930805410114,0.0,0.6012551446891434,0.0,4.850946469463106,0.0,0.613850187510252,0.0,135.7507095336914,0.0,4.850946469463106,1.1618203408876615,0.613850187510252,0.6012551446891434,7.240037841796875,258.5029762885394
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,94,7.334030036654441,0.8338789792855581,78.50730133116245,0.9527354544613912,5.0222437815232714,8253.124145708083,1000.0,0.5812752687752688,1.0,30238,341,78,129,35.32649543068626,1463.2467051696776,136.4553319757635,0.0,0.6047144923787747,0.0,5060.664943956905,0.0,0.6047144923787747,0.0,4.888055296559717,0.0,0.6364049125801433,0.0,136.4553319757635,0.0,4.888055296559717,1.1330104579609503,0.6364049125801433,0.6047144923787747,5.003362172444661,185.55771461175317
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,95,7.334030036654441,0.8327973129351934,51.020229230423766,0.8652471112257277,4.913860433980038,8403.849108486176,1000.0,0.5092948091883887,1.0,30483,705,73,143,23.055188028435957,7249.123024463654,137.03937570672286,0.0,0.6077883615570941,0.0,5476.876503202717,0.0,0.6077883615570941,0.0,4.943425106228535,0.0,0.6009732382862192,0.0,137.03937570672286,0.0,4.943425106228535,1.1195379798266687,0.6009732382862192,0.6077883615570941,8.67916046142578,346.8688452028387
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,96,7.4791427747112476,0.8322729782263438,64.73626900692781,0.7286822213876564,5.1907272100448605,8866.037263936996,1000.0,0.4717825166516067,1.0,30420,819,119,96,21.128162956237794,22625.71465353012,136.43429565429688,0.0,0.6045045049860155,0.0,5595.0139918884115,0.0,0.6045045049860155,0.0,4.990345437768213,0.0,0.6629485636949539,0.0,136.43429565429688,0.0,4.990345437768213,1.114861390851188,0.6629485636949539,0.6045045049860155,9.095619710286458,373.00093279256083
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,97,7.4791427747112476,0.8318479796250661,39.398598934014636,0.8883722967593054,5.287999921374851,11157.959718084336,1000.0,0.5073398680632825,1.0,30535,639,32,182,31.020711263020832,190.1559943962097,135.41342078314887,0.0,0.600229072147166,0.0,6041.067472391795,0.0,0.600229072147166,0.0,5.042051529881322,0.0,0.6354729483524958,0.0,135.41342078314887,0.0,5.042051529881322,1.1039014104952463,0.6354729483524958,0.600229072147166,8.124805246988933,362.4640483435077
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,98,7.4791427747112476,0.8321729785203934,69.47475482136011,0.921160728788635,5.540873736143112,11042.215152339935,1000.0,0.5423112113701792,1.0,30024,179,115,90,41.617180824279785,21139.939622306825,136.359712600708,0.0,0.6052209557295166,0.0,5215.7395191611995,0.0,0.6052209557295166,0.0,5.063591409605445,0.0,0.6653475947678089,0.0,136.359712600708,0.0,5.063591409605445,1.0995755873345132,0.6653475947678089,0.6052209557295166,3.636259002685547,139.086387177632
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,99,7.4791427747112476,0.8318856467803319,39.37558126678069,0.8968800449236609,5.151804765065511,13181.973963308334,1000.0,0.4904183529423458,1.0,30219,302,61,148,37.939849535624184,314.70884366989134,135.53145472208658,0.0,0.6002290721471661,0.0,5698.865571934886,0.0,0.6002290721471661,0.0,5.083866135346879,0.0,0.6072370583812395,0.0,135.53145472208658,0.0,5.083866135346879,1.106149061245712,0.6072370583812395,0.6002290721471661,5.4212581888834634,227.9546228773954
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,100,7.4791427747112476,0.831163312792778,33.19667814334234,0.8902892172675873,6.552191393715995,13250.063758068085,1000.0,0.4644982325509709,1.0,30153,355,100,110,48.35395458766392,12669.670504989625,135.46146937779017,0.0,0.6002290721471661,0.0,5593.551230100229,0.0,0.6002290721471661,0.0,5.116097230384258,0.0,0.7314718919140952,0.0,135.46146937779017,0.0,5.116097230384258,1.1032175066107375,0.7314718919140952,0.6002290721471661,6.321535237630209,261.0323907380107
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,101,7.4791427747112476,0.8317666447162628,16.787638612290223,0.8257375439551522,5.146601878679716,14567.017503185272,1000.0,0.5174374390857722,1.0,30191,337,84,124,32.81667313208947,4255.732843914032,135.4409907414363,0.0,0.6002290721471661,0.0,5643.59379947022,0.0,0.6002290721471661,0.0,5.151186677315448,0.0,0.6270758234537565,0.0,135.4409907414363,0.0,5.151186677315448,1.095865904012286,0.6270758234537565,0.6002290721471661,5.869109598795573,244.55573131037625
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,102,7.4791427747112476,0.8305449785788854,21.50367021938165,0.9264285238373626,5.099713381598978,14627.20865819931,1000.0,0.6666391143859334,1.0,30711,802,42,171,36.58143301571117,2856.076177005768,135.29143299775964,0.0,0.6002290721471661,0.0,5722.082197016741,0.0,0.6002290721471661,0.0,5.193777185797907,0.0,0.6131509717772988,0.0,135.29143299775964,0.0,5.193777185797907,1.0857678312791745,0.6131509717772988,0.6002290721471661,7.666514536539713,324.2513244976153
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,103,7.4791427747112476,0.8294673124949138,40.347710057199,0.8437212609118236,5.529927836524116,14934.640197916031,1000.0,0.5444323937256984,1.0,30487,582,25,190,31.18603589799669,166.73985067367553,135.39944203694662,0.0,0.600229072147166,0.0,7060.476570440591,0.0,0.600229072147166,0.0,5.25585963619342,0.0,0.6692312161127726,0.0,135.39944203694662,0.0,5.25585963619342,1.0318183501440163,0.6692312161127726,0.600229072147166,8.123966522216797,423.6285942264355
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,104,7.4791427747112476,0.8300136448939641,19.018846199810504,0.9027587181049873,4.877085367838542,14759.599832239152,1000.0,0.6740155361466201,1.0,30503,610,57,154,26.489574559529622,529.5558143615723,135.6957265218099,0.0,0.6017219494016263,0.0,5874.231224799054,0.0,0.6017219494016263,0.0,5.292617253308767,0.0,0.603953077395757,0.0,135.6957265218099,0.0,5.292617253308767,1.0255093926879004,0.603953077395757,0.6017219494016263,6.784786326090495,293.7115612399527
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,105,7.4791427747112476,0.8313203150033951,16.585104196270308,0.9253185562015503,5.059464931488037,14907.685274391175,1000.0,0.497020980545008,1.0,29894,163,173,30,23.70456804547991,29296.35361392975,135.62619018554688,0.0,0.6008057248488353,0.0,5105.203470147297,0.0,0.6008057248488353,0.0,5.310218760054885,0.0,0.6074850942407336,0.0,135.62619018554688,0.0,5.310218760054885,1.0172661445083435,0.6074850942407336,0.6008057248488353,3.164611104329427,119.12141430343691
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,106,7.4791427747112476,0.8300523114204407,14.638560388982295,0.8429839366300337,5.086278941896227,17787.00866412163,1000.0,0.4249806142566224,1.0,30298,493,64,151,20.723102569580078,330.25362146377563,135.92374250623914,0.0,0.602290820429779,0.0,5843.8474404934595,0.0,0.602290820429779,0.0,5.334717878628037,0.0,0.6391562405559752,0.0,135.92374250623914,0.0,5.334717878628037,1.0302724255989446,0.6391562405559752,0.602290820429779,8.155424550374349,350.6308464296076
