algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8822502273321152,0.39707359425723554,0.8913048238142395,1.4468621331102707,10.567936887741089,1000.0,0.48355583734017243,1.0,10384,476,0,112,0.7322663521668583,0.0,2.991501782789647,0.0,0.7805632913813871,0.0,0.7322663521668583,0.0,165.21241401223574,0.0,1.2393686140284819,9.044189853668213,6087.735153651783,0.0,165.21241401223574,0.0,2.991501782789647,1.1102586659286122,0.7805632913813871,0.7322663521668583,7.02152759552002,258.72874403020074
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8823604784905911,0.3962896853685379,0.8660834432772583,1.466983114971834,10.559347133636475,1000.0,0.32887745230919696,1.0,10184,299,0,113,0.6941044982025237,0.0,3.0433168917407607,0.0,0.8336266770082361,0.0,0.6941044982025237,0.0,156.6404768999885,0.0,1.081822255078484,3.76491491317749,5745.482657318987,0.0,156.6404768999885,0.0,3.0433168917407607,1.1223981868375392,0.8336266770082361,0.6941044982025237,6.657220268249512,244.183012936057
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8824032272398472,0.39549168668687346,0.8827654319293542,1.187883855568038,10.649403810501099,1000.0,0.6687707308224334,1.0,10588,705,0,113,0.7313755520686118,0.0,3.0845856561968072,0.0,0.7585395872592926,0.0,0.7313755520686118,0.0,164.81838734944662,0.0,1.2999358309639826,10.491041326522828,6441.719802306759,0.0,164.81838734944662,0.0,3.0845856561968072,1.1295337412367439,0.7585395872592926,0.7313755520686118,7.416827430725098,289.87739110380414
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.8823462271690369,0.39520089320838453,0.9081542760576179,1.5448473267830336,10.600986576080322,1000.0,0.4498203258587621,1.0,10701,943,0,122,0.7195288659854892,0.0,3.1392813382841016,0.0,0.7652835284288113,0.0,0.7195288659854892,0.0,162.52013690655048,0.0,1.1524816797329829,22.317664880752563,6104.18987330769,0.0,162.52013690655048,0.0,3.1392813382841016,1.1532118549997752,0.7652835284288113,0.7195288659854892,10.563808898925782,396.77234176499985
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,55,5.288049416513632,0.8825344780087471,0.3943201241642237,0.8987750952186496,1.3752996802330018,10.563762216567993,1000.0,0.32889140250430576,1.0,10046,230,46,66,0.7215769693230639,0.0,3.1666655890833884,0.0,0.7493245402971903,0.0,0.7215769693230639,0.0,162.60126342773438,0.0,1.0482833464940389,40.71587163925171,6187.664541050674,0.0,162.60126342773438,0.0,3.1666655890833884,1.1625704355727933,0.7493245402971903,0.7215769693230639,6.097547378540039,232.0374202894003
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,56,5.53665981797095,0.8827214778959751,0.39327042050659655,0.9264457292831194,0.9767353137334188,25.680248765945436,1000.0,0.36344695109062924,1.0,10111,193,15,93,0.7116740501255915,0.0,3.199396312448623,0.0,0.7583255221446356,0.0,0.7116740501255915,0.0,160.58235549926758,0.0,0.730826293428739,12.728348492383956,6460.895158182478,0.0,160.58235549926758,0.0,3.199396312448623,1.160324407776186,0.7583255221446356,0.7116740501255915,4.8174706649780275,193.82685474547435
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,57,5.53665981797095,0.8828972263634205,0.39255684047937395,0.9358719767476587,0.9807603037357331,28.517014570236206,1000.0,0.28345616913346605,1.0,10419,678,0,121,0.6803672007960803,0.0,3.3084323699918223,0.0,0.8116567659378052,0.0,0.6803672007960803,0.0,153.471337890625,0.0,0.3559847682714462,5.0256309008598326,6352.188923047589,0.0,153.471337890625,0.0,3.3084323699918223,1.1310883250616395,0.8116567659378052,0.6803672007960803,9.591958618164062,397.0118076904743
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,58,5.53665981797095,0.8829489788413047,0.39214473210275175,0.9116662191276012,1.2848991685443454,28.49426390647888,1000.0,0.3752476635717375,1.0,10663,964,0,121,0.6841339232393153,0.0,3.4039035237484483,0.0,0.7834462391005622,0.0,0.6841339232393153,0.0,154.23044444896556,0.0,0.8733851506754204,11.726737546920777,6347.323661245252,0.0,154.23044444896556,0.0,3.4039035237484483,1.1368424230138654,0.7834462391005622,0.6841339232393153,10.410555000305175,428.44434713405445
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,59,5.53665981797095,0.8829992274940014,0.39159586824476716,0.9205184834234804,1.2185796424746513,28.524551486968996,1000.0,0.47518203794745356,1.0,10478,607,0,115,0.6977650258450129,0.0,3.457547812777457,0.0,0.7453802913427353,0.0,0.6977650258450129,0.0,157.38926162719727,0.0,1.4497173517942428,11.487897691726685,6560.109311005348,0.0,157.38926162719727,0.0,3.457547812777457,1.1377873651924917,0.7453802913427353,0.6977650258450129,7.869463081359863,328.0054655502674
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,60,5.53665981797095,0.8830204789340496,0.39126260071992874,0.927326337331028,1.5116245746612549,28.53759370803833,1000.0,0.5624702159980817,1.0,10479,571,0,112,0.6926303255341884,0.0,3.4925233862132323,0.0,0.7379452621235567,0.0,0.6926303255341884,0.0,156.27873499253218,0.0,1.9158036638708675,8.735467228889465,6245.640898147806,0.0,156.27873499253218,0.0,3.4925233862132323,1.1524013476396366,0.7379452621235567,0.6926303255341884,6.641846237182617,265.43973817128176
