algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,73,6.22648715174656,0.8839816445112229,0.38670571237802503,0.9121906166789073,1.3714714080095292,114.03105923652649,1000.0,0.5057145230156859,1.0,30459,666,59,158,140.04041748046876,0.0,0.7418074756860733,0.0,0.9744888782501221,62.66471772789955,0.6212009628727688,0.0,0.6212009628727688,0.0,140.04041748046876,0.0,4.313805077749001,0.0,6359.221098468423,0.0,4.313805077749001,1.2138377155930578,0.7418074756860733,0.6212009628727688,9.33602783203125,423.9480732312283
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,74,6.22648715174656,0.8840516424179077,0.3865430416663488,0.8760137966521675,1.208268940448761,122.24362256526948,1000.0,0.6900116730577496,1.0,30515,594,31,180,139.2410430908203,0.0,0.75889519850413,0.0,0.6915125727653504,14.901100222468376,0.6173722556772342,0.0,0.6173722556772342,0.0,139.2410430908203,0.0,4.380569692208462,0.0,6527.328281471021,0.0,4.380569692208462,1.1915088888445606,0.75889519850413,0.6173722556772342,6.9620521545410154,326.366414073551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,75,6.22648715174656,0.8840996422370275,0.3865797745188077,0.9220921230830343,1.3232235057013375,125.41390739917755,1000.0,0.5564420830545086,1.0,30401,480,43,168,142.49796404157365,0.0,0.7066563793591091,0.0,0.5443573998553413,23.069552688598634,0.6312171727933981,0.0,0.6312171727933981,0.0,142.49796404157365,0.0,4.421133116167031,0.0,6634.610303326446,0.0,4.421133116167031,1.1919166684305575,0.7066563793591091,0.6312171727933981,6.649904988606771,309.6151474885676
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,76,6.354985652014201,0.8839346436659495,0.3869158750772476,0.9066381097586431,1.5319957360625267,130.50339255332946,1000.0,0.530039631575768,1.0,30426,563,63,148,136.86417770385742,0.0,0.7820642031729221,0.0,1.2425243575125933,306.16320863336324,0.6072117963767899,0.0,0.6072117963767899,0.0,136.86417770385742,0.0,4.479233976451069,0.0,6251.4446998335625,0.0,4.479233976451069,1.180301834957048,0.7820642031729221,0.6072117963767899,7.299422810872396,333.41038399112335
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,77,6.354985652014201,0.8837993093331655,0.38712081432342527,0.89221745457232,1.4151032356654896,159.28634778022766,1000.0,0.33624775973708754,1.0,30120,434,121,93,137.9059923957376,0.0,0.7250913521822762,0.0,1.4566893297083237,179.22141746401786,0.6115670729803829,0.0,0.6115670729803829,0.0,137.9059923957376,0.0,4.532247395791742,0.0,6518.424666133187,0.0,4.532247395791742,1.1823816397777938,0.7250913521822762,0.6115670729803829,7.81467290242513,369.37739774754726
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,78,6.387001182032566,0.8838283115625382,0.3872925065954526,0.9583722463910848,1.6085981943390586,186.28221306324005,1000.0,0.7547442901799496,1.0,30496,472,17,189,135.14952087402344,0.0,0.7731539281931791,0.0,2.240130906755274,11.53220974445343,0.6002865236018479,0.0,0.6002865236018479,0.0,135.14952087402344,0.0,4.55635242344574,0.0,6384.594724007486,0.0,4.55635242344574,1.193715785148869,0.7731539281931791,0.6002865236018479,4.955482432047526,234.10180654694113
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,79,6.387001182032566,0.883855311870575,0.38733778913815814,0.792501872995839,1.2114754393696785,188.04055793762208,1000.0,0.5615648212500035,1.0,30271,513,104,110,136.11205291748047,0.0,0.7672520615160465,0.0,0.5358759369701147,1297.5437357008457,0.6032728002554397,0.0,0.6032728002554397,0.0,136.11205291748047,0.0,4.620166233725246,0.0,6687.135640868167,0.0,4.620166233725246,1.1702919584093057,0.7672520615160465,0.6032728002554397,7.259309488932292,356.6472341796356
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,80,6.387001182032566,0.8838186448812485,0.3874615704019864,0.8482516425550699,1.2271934263408184,310.7014576148987,1000.0,0.47545636308360695,1.0,30293,493,80,132,137.69255828857422,0.0,0.7240526117384434,0.0,0.6536419689655304,495.1189500752091,0.6105504787169556,0.0,0.6105504787169556,0.0,137.69255828857422,0.0,4.664897187496963,0.0,6810.213208967436,0.0,4.664897187496963,1.1731025272395943,0.7240526117384434,0.6105504787169556,7.343603108723959,363.2113711449299
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,81,6.387001182032566,0.8837973109881083,0.38738924960295357,0.8923109077783479,1.238886405314718,367.2332324409485,1000.0,0.7132429183418857,1.0,30493,540,36,175,136.87115478515625,0.0,0.7510203123092651,0.0,0.7194898469107491,43.36936820983887,0.6063763146854296,0.0,0.6063763146854296,0.0,136.87115478515625,0.0,4.7084375695166125,0.0,7189.846897640994,0.0,4.7084375695166125,1.1655666461837424,0.7510203123092651,0.6063763146854296,6.387320556640625,335.5261885565797
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,82,6.387001182032566,0.8839113102356593,0.3872010367115339,0.9627297774333807,1.1989836633205413,374.5381514406204,1000.0,0.5580066637693756,1.0,29858,78,154,46,135.49668884277344,0.0,0.7308405995368957,0.0,1.9200748205184937,1829.6020012187957,0.6002290721471661,0.0,0.6002290721471661,0.0,135.49668884277344,0.0,4.721510508295143,0.0,6944.00896989485,0.0,4.721510508295143,1.1674059022407874,0.7308405995368957,0.6002290721471661,2.2582781473795572,115.73348283158084
