algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,1.4874212646842815,0.8660587791204453,0.5058756662011147,0.0,1.1083993784018926,0.0,1000.0,0.0,0.0,15.748336110796247,0.0,5912.687022896335,0.0,0.9037345051765442,0.0,0.7515892368348557,0.0,291.70591408865795,0.0,1.293529472031063,0.0,291.70591408865795,0.0,1.293529472031063,0.0,0.7515892368348557,0.5742797965254451,0.9037345051765442,1.293529472031063,16.335531188964843,331.1104732821947
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,1.5232725770618907,0.8675027780532837,0.49616895455121995,0.0,1.233095685640971,0.0,1000.0,0.0,0.0,13.008753367832728,0.0,6333.609117495026,0.0,0.8620805059160505,0.0,0.772776141058511,0.0,299.2456752232143,0.0,1.3266629086842405,0.0,299.2456752232143,0.0,1.3266629086842405,0.0,0.772776141058511,0.5763495957008572,0.8620805059160505,1.3266629086842405,12.568318359375,266.0115829347911
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,1.5887345037082428,0.868543179154396,0.48788426238298416,0.0,1.5159897697823388,0.0,1000.0,0.0,0.0,27.80089524814061,0.0,6356.554961486535,0.0,0.8573102706245014,0.0,0.7954207783842571,0.0,296.77857971191406,0.0,1.316333214296798,0.0,296.77857971191406,0.0,1.316333214296798,0.0,0.7954207783842571,0.5793019424976701,0.8573102706245014,1.316333214296798,16.619600463867187,355.96707784324593
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,1.6597034277327398,0.869669979095459,0.479971071600914,0.0,1.3072184835161482,0.0,1000.0,0.0,0.0,14.138394151415143,0.0,6362.62715226269,0.0,0.8819886587914967,0.0,0.8272357996537207,0.0,286.89125279017856,0.0,1.2725421936700962,0.0,286.89125279017856,0.0,1.2725421936700962,0.0,0.8272357996537207,0.5815516705221738,0.8819886587914967,1.2725421936700962,12.0494326171875,267.230340395033
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,1.7352549324098123,0.8706599787473679,0.47295210510492325,0.0,1.3580099046230316,0.0,1000.0,0.0,0.0,12.044409608840942,0.0,6771.707581687644,0.0,0.860745319724083,0.0,0.8502312772856997,0.0,289.42809143066404,0.0,1.2812541045741772,0.0,289.42809143066404,0.0,1.2812541045741772,0.0,0.8502312772856997,0.5842269298675948,0.860745319724083,1.2812541045741772,11.577123657226563,270.8683032675057
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,1.8012643354739817,0.8716377795934677,0.46614036691188815,0.0,1.0511842558258457,0.0,1000.0,0.0,0.0,9.981576693685431,0.0,6589.169256413943,0.0,0.9183961466739052,0.0,0.8847700708186039,0.0,270.99933905350537,0.0,1.201907763155291,0.0,270.99933905350537,0.0,1.201907763155291,0.0,0.8847700708186039,0.5879363116174724,0.9183961466739052,1.201907763155291,10.297974884033204,250.3884317437298
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,1.807543664021814,0.8725447788238525,0.4601535782814026,0.0,1.260521804744547,0.0,1000.0,0.0,0.0,13.792364987460049,0.0,7179.860035938183,0.0,0.8212119286710565,0.0,0.9091642475496379,0.0,292.40096907182175,0.0,1.2942766408629975,0.0,292.40096907182175,0.0,1.2942766408629975,0.0,0.9091642475496379,0.5896859568398921,0.8212119286710565,1.2942766408629975,12.865642639160157,315.9138415812801
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,1.815507000785066,0.873330579161644,0.4547559711933136,0.0,1.3401859884078686,0.0,1000.0,0.0,0.0,26.66013165620657,0.0,7177.200792981521,0.0,0.8355593108213865,0.0,0.9380343940033374,0.0,285.0522860013522,0.0,1.2632730160280743,0.0,285.0522860013522,0.0,1.2632730160280743,0.0,0.9380343940033374,0.5907501052786079,0.8355593108213865,1.2632730160280743,14.822718872070313,373.21444123503903
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,1.8256648803323465,0.8741165775060654,0.44970780724287035,0.0,1.189000098793595,0.0,1000.0,0.0,0.0,16.826238985414857,0.0,7352.303095126139,0.0,0.8402718581535198,0.0,0.9675708433896282,0.0,280.53860530146846,0.0,1.2431527899429253,0.0,280.53860530146846,0.0,1.2431527899429253,0.0,0.9675708433896282,0.5922813695034292,0.8402718581535198,1.2431527899429253,15.149084686279297,397.02436713681146
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,1.8386581572171654,0.8748357772827149,0.4449859444499016,0.0,1.1618458940869285,0.0,1000.0,0.0,0.0,12.397419770558676,0.0,7411.972550554505,0.0,0.8402442790213085,0.0,0.9876442965310815,0.0,276.8623570033482,0.0,1.2283533168993856,0.0,276.8623570033482,0.0,1.2283533168993856,0.0,0.9876442965310815,0.59443249207105,0.8402442790213085,1.2283533168993856,11.628218994140624,311.30284712328915
