algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,0.6435874891152031,0.8732096453507742,0.4345928465326627,nan,2.2861666083335876,19.1292861700058,1000.0,0.0,nan,0,30724,0,206,3.570044736067454,148.66014112234114,558.5240427652994,630.4464389038086,0.8157772173484167,0.6651316326856613,0.30920935480089146,0.6223686545868908,17535.192215818486,631.4654148014619,2.47861260074991,2.7939181748889097,558.5240427652994,630.4464389038086,2.47861260074991,2.7939181748889097,0.43447307471529123,0.1926708732009204,0.6736587412514776,2.7760706895602874,265.58315258789065,673.4307791002283
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,0.6514946740945036,0.8734233125050863,0.432782035668691,nan,2.9367985942146997,18.890130667686464,1000.0,0.0,nan,0,30060,0,208,3.1097961989316074,267.44670352935793,570.7107238769531,630.8604794311524,0.7786500589414076,0.6510789096355438,0.3149971572336472,0.6291370623422059,16443.270133659567,631.206975358896,2.530885002033238,2.79523831930651,570.7107238769531,630.8604794311524,2.530885002033238,2.79523831930651,0.44065311927707057,0.19219831588418582,0.6577295382723424,2.7814568667472392,264.8998276977539,614.2347330840689
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,0.6599130673792516,0.8728436450163524,0.43322461754083635,nan,3.0102611233790717,18.640160760879517,1000.0,0.0,nan,0,31183,0,219,4.193965633710225,61.75309691905975,597.8365109761556,630.5143536376953,0.7092468452950319,0.6371472495794296,0.3197357938287515,0.6359160976610363,17386.826345657722,630.5143670077753,2.6480888139655003,2.7960072073546396,597.8365109761556,630.5143536376953,2.6480888139655003,2.7960072073546396,0.4462079153616654,0.1930485557338302,0.6448722062632442,2.7801588080629456,280.9018939819336,1086.7734113946806
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,0.6685306937911799,0.8735679785410563,0.4303081653515498,nan,2.7619782869632425,18.549066591262818,1000.0,0.0,nan,0,30449,0,209,3.933823438791128,110.69100039482117,541.1562570425181,627.9572610473633,0.8177121694271381,0.6291059747338295,0.3245634530995421,0.6427672687657199,16024.668352365776,627.957275025153,2.4014283099746323,2.784519672044764,541.1562570425181,627.9572610473633,2.4014283099746323,2.784519672044764,0.45184497936601314,0.1933889599907278,0.6406171509357685,2.7611385091015164,265.2529671020508,667.8242871715714
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,0.6775690351272976,0.8734423112869263,0.4294966908295949,nan,3.326500725746155,18.289686923027038,1000.0,0.0,nan,0,30855,0,211,7.769182904561361,86.36284864425659,547.1330037434896,627.9048962402344,0.7925443013509115,0.6157664154469967,0.3300715826530426,0.6496256016898164,16999.835585802015,627.9049090230727,2.4281452785133557,2.783638560364941,547.1330037434896,627.9048962402344,2.4281452785133557,2.783638560364941,0.45789319026775216,0.1934374886176898,0.628099756324014,2.758836703491575,267.57594860839845,761.1570311832896
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,0.686443876272204,0.8721809786558151,0.43260533998409906,nan,3.977101357086845,18.009004039764406,1000.0,0.0,nan,0,31207,0,219,8.85910817851191,91.17492183208465,550.4594102942425,627.7851626586914,0.7742354221965956,0.6021237640082836,0.33257198716119396,0.6564790140432137,16332.673953742857,627.7851787208166,2.440436906002408,2.783102741026558,550.4594102942425,627.7851626586914,2.440436906002408,2.783102741026558,0.4621347979140018,0.19548750196570874,0.6198751906375713,2.7477605248581476,276.4351979370117,1002.417073360498
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,0.6952804186232395,0.8729823128382365,0.4294126759966215,nan,2.7684516395841325,17.769632511138916,1000.0,0.0,nan,0,31106,0,210,6.974649020603725,64.10992572784424,534.4211839948382,627.0078912353515,0.7960269323417118,0.5902680021524429,0.33780918348741634,0.6633665673225478,17136.088015942823,627.0079048431846,2.3732000257435693,2.778779777931791,534.4211839948382,627.0078912353515,2.3732000257435693,2.778779777931791,0.46803213702146895,0.19551961249593774,0.6037288667442643,2.75224652311574,265.7669496459961,730.6136263836729
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,0.7034454664046087,0.8726019775867462,0.4298382838567098,nan,3.303565045197805,17.673245372772218,1000.0,0.0,nan,0,31008,0,216,3.75568159421285,102.62671933650971,539.7382354736328,623.7041680908203,0.7721554040908813,0.5834580369293689,0.3447418217345257,0.6703271702599506,15316.220350685568,623.7041817841606,2.396172229637271,2.7644202901039976,539.7382354736328,623.7041680908203,2.396172229637271,2.7644202901039976,0.4749759611446957,0.19441405196615147,0.5990385534839893,2.734014486946194,268.9122437133789,800.8656053383445
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,0.7108920457585484,0.8725653103987376,0.4300274236003558,nan,3.1143431067466736,17.137186002731323,1000.0,0.0,nan,0,31098,0,214,2.6349025037553577,93.23727403879165,534.4657830132378,626.6377331542968,0.7727327959405051,0.5624870789051056,0.3514822915199607,0.6772154578361841,16853.796169290566,626.6377471464209,2.371214333445571,2.777432030888184,534.4657830132378,626.6377331542968,2.371214333445571,2.777432030888184,0.48177555804645006,0.19325437808554158,0.5798468170089459,2.7438911200901694,269.8958614501953,857.3917609530289
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,0.7190488153492112,0.871740976969401,0.43140943278868993,nan,3.6919631503877186,16.744432096481322,1000.0,0.0,nan,0,31568,0,218,6.555245013464065,54.29841107368469,543.4552074614026,627.0610610961915,0.7420715207145328,0.5465670499205589,0.3536060881305777,0.6840988755148083,16841.962824220285,627.0610700363184,2.406271833357542,2.780249296396006,543.4552074614026,627.0610610961915,2.406271833357542,2.780249296396006,0.4858032030842699,0.195341605272384,0.5651443978240587,2.7447129763787763,273.6495431518555,958.1868666317794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,0.7271232478884804,0.8723553119103113,0.42986135681470233,nan,3.784219438379461,16.390323138237,1000.0,0.0,nan,0,30773,0,205,18.21225370060314,35.39556361198425,516.3444019664418,627.2122537231445,0.7892736955122515,0.5322392759472132,0.35701758560680913,0.6910116681039123,17400.991587329787,627.2122694960665,2.292935145624463,2.7797200218357854,516.3444019664418,627.2122537231445,2.292935145624463,2.7797200218357854,0.49061521860565044,0.19633612503010361,0.5456391745975232,2.754342611227612,262.2444783325195,633.7067227196819
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,0.7351239168856547,0.8709539769093195,0.4338729921976725,nan,4.135053641655865,16.26384754896164,1000.0,0.0,nan,0,31543,0,213,6.158396496492274,15.461259768009185,521.1531928567325,623.4462533569335,0.7675813331323511,0.5255406686663627,0.3613497286113451,0.6979817943534937,14570.229267565466,623.4462673319255,2.310793386798668,2.764621279722353,521.1531928567325,623.4462533569335,2.310793386798668,2.764621279722353,0.4960025549082045,0.19661464420223715,0.5445023797074771,2.7290679424886997,267.0977098999023,744.7663020299959
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,0.7423107291661095,0.8716559797525406,0.4313055099050204,nan,3.4401985081759365,15.600797240734101,1000.0,0.0,nan,0,30387,0,209,8.506732853976162,65.24966624736786,575.2023676091975,627.2973379516602,0.6260404668071053,0.501779865399003,0.36272953498747174,0.7048594051735284,18016.12238096,627.2973500939416,2.5505500204604434,2.7812212096819735,575.2023676091975,627.2973379516602,2.5505500204604434,2.7812212096819735,0.4995814830618945,0.19892007985605864,0.508257906230705,2.7691956974476755,263.5733872680664,647.2736324186967
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,0.7497813352660165,0.8716003100077311,0.4308272217710813,nan,4.112619085745378,15.433292047977448,1000.0,0.0,nan,0,30480,0,208,14.542031201449307,75.8957211112976,535.5002885298295,624.3660272216797,0.7096628248691559,0.4942141782492399,0.3631341407787792,0.7117973846786455,14854.620639608149,624.3660406298515,2.371483832647544,2.7674524151795583,535.5002885298295,624.3660272216797,2.371483832647544,2.7674524151795583,0.5025994383387257,0.2017459740141681,0.5054460982152071,2.7468095032940028,261.5274172363281,576.5480703233198
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,0.5961111090291606,0.8710069787502289,0.43345628668864566,0.8574733959783974,3.951704263687134,15.486864318847656,1000.0,0.6775750063083443,1.0,30340,466,71,139,4.023090652057102,87.76572638392449,503.13436453683033,0.0,0.7741527344499316,0.0,0.36917082597341505,0.0,15482.479295049938,0.0,2.230541852043032,0.0,503.13436453683033,0.0,2.230541852043032,0.0,0.36917082597341505,0.13663000938576442,0.7741527344499316,2.230541852043032,23.479603678385416,722.5157004356637
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,0.6283229535578421,0.8713003120819728,0.43326119552055997,0.9722616610845198,4.022549976002086,19.673444480895995,1000.0,0.6022846787076006,1.0,30327,381,57,149,9.886021787470037,78.45182413578033,490.74068936434657,0.0,0.7925497130914168,0.0,0.37355539088254414,0.0,16777.251498387683,0.0,2.1752056767726184,0.0,490.74072265625,0.0,2.1752056767726184,0.0,0.37355539088254414,0.13631995742574404,0.7925497130914168,2.1752056767726184,17.993826497395833,615.165888274215
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,0.6685345970836767,0.8706963111956915,0.43517233163118363,0.8985219816583047,4.116474729317885,24.34021602630615,1000.0,0.5856451998219993,1.0,30338,433,62,147,5.750126031728891,103.37872007369995,480.116452730619,0.0,0.8072788073466375,0.0,0.37914703777800585,0.0,14515.932931436564,0.0,2.127291771095823,0.0,480.11651376577527,0.0,2.127291771095823,0.0,0.37914703777800585,0.13563487575512678,0.8072788073466375,2.127291771095823,20.805048929850262,629.023760362251
