algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,4.303083175079712,0.7804262299835681,0.6223024027049542,nan,0.9254822502844036,5.377338562011719,1000.0,0.0,nan,0,11912,0,128,0.9562305833360877,0.9907408766141371,0.60171875404194,0.5512548840045929,2.2909000183330352,3.910374493594677,6062.43425208704,535.6446614160521,0.9562305833360877,0.9907408766141371,215.58553838729858,223.61078872680665,215.58553838729858,223.61078872680665,0.5473944661207497,9.180203938484192,2.6147949133853636,1.1408683328117972,0.5634885494681922,0.9823747449103675,58.519632202148436,495.12472441678096
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,4.340619518943759,0.7812889803946018,0.6196534051001072,nan,0.7164701975882053,5.270096060037613,1000.0,0.0,nan,0,11078,0,116,0.9136805046615422,0.9911894674672415,0.6505114428699017,0.5360321934521198,2.327832172213694,3.9310266508744447,5734.898911420062,540.6735143025354,0.9136805046615422,0.9911894674672415,206.21647415161132,223.55313690185548,206.21647415161132,223.55313690185548,0.29803507328033446,2.4232343995571135,2.6484710679458443,1.1324853971954285,0.5551120683550834,0.9782713069996251,52.95928634643555,337.53065931730964
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,4.387616990406908,0.7818112318217755,0.6178127901256084,nan,0.8623429064949354,5.3255154275894165,1000.0,0.0,nan,0,11386,0,120,0.9120075819709782,0.9802052223811658,0.6394445647795995,0.5377056404948235,2.36755770818394,3.954045008243083,5770.706646245261,533.2990058834886,0.9120075819709782,0.9802052223811658,205.7978801727295,221.0668637084961,205.7978801727295,221.0668637084961,0.37041133269667625,4.397196776866913,2.6848551681957686,1.1246088787900235,0.5573970451951027,0.967005679075968,54.091670989990234,383.65372019647026
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,41,4.425423609384981,0.7828077302873134,0.6154762774705886,nan,1.0549856046835582,5.1609770917892455,1000.0,0.0,nan,0,11700,0,124,0.9023600699734969,0.9838660709477769,0.6403077979882558,0.5174931061267852,2.403996391941312,3.9759370484978156,5834.101789674728,527.3676327090612,0.9023600699734969,0.9838660709477769,203.45893096923828,221.9145314025879,203.45893096923828,221.9145314025879,0.3805578475197156,5.4666779470443725,2.7183845232526127,1.1199438273632278,0.545834958094817,0.9650569937998661,56.590442138671875,455.51963392229595
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,42,4.453985786591802,0.7830912306904793,0.6137411744892597,nan,0.7742222810492796,4.905760848522187,1000.0,0.0,nan,0,10793,0,111,0.858687303465114,0.9929978988842306,0.693110935828265,0.4886953730881214,2.4424754711883128,3.996812143059777,5711.35163194436,527.904147175972,0.858687303465114,0.9929978988842306,193.8244655833525,223.996388092041,193.8244655833525,223.996388092041,0.46786565640393424,2.4063220763206483,2.7533428055626055,1.1102194173334585,0.5183967796401081,0.9734826841652134,51.38930944824219,299.7667849213026
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,43,4.6201033593564445,0.7838272295892239,0.6116853111982345,nan,0.9268806433677673,4.906623013019562,1000.0,0.0,nan,0,11198,0,122,0.8419620036545412,0.9850409053453401,0.705687575340271,0.4857384572550654,2.4868261987718445,4.018435010492801,5580.8461965149045,530.2346651357022,0.8419620036545412,0.9850409053453401,189.84890258789062,222.30396713256835,189.84890258789062,222.30396713256835,0.344583705663681,2.388955330848694,2.793147961116036,1.1032217641172373,0.5297282808721065,0.9564251250071804,53.9532385559082,385.0892428528857
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,44,4.6201033593564445,0.7843467299640179,0.6099031643569469,nan,0.9443236523204379,4.766399934887886,1000.0,0.0,nan,0,10970,0,122,0.8591730900707695,0.9858971123789891,0.665955741096426,0.469190436899662,2.544799904215507,4.039966235986097,5701.194751830033,523.5956730376595,0.8591730900707695,0.9858971123789891,193.8021777117694,222.4699969482422,193.8021777117694,222.4699969482422,0.5346223700929571,2.969473730921745,2.8438331705696256,1.0887975318161631,0.5110224307052732,0.958955784801651,54.959316986083984,412.5836512063536
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,45,4.6201033593564445,0.7848139800131321,0.6083495275676251,nan,1.0430513685941696,4.6424411618709565,1000.0,0.0,nan,0,11697,0,121,0.889268283918959,0.9854942426960975,0.6053497141599655,0.4544373704493046,2.5602228264381695,4.061858012752966,5965.2639397989915,519.1013788576146,0.889268283918959,0.9854942426960975,200.6065216064453,222.4230648803711,200.6065216064453,222.4230648803711,0.3847614002227783,11.365685467720033,2.8605498637011286,1.093693490964611,0.48461983919143675,0.9662490509406698,54.514939056396486,402.0834727614725
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,46,4.6418344701202585,0.7855622293055058,0.6064599825441838,nan,1.0197326229264339,4.427866716980934,1000.0,0.0,nan,0,10713,0,109,0.8576846380075545,0.9903735273016756,0.6413640776028235,0.4311750599741936,2.5852109188501275,4.082974233739271,5799.977588717538,519.2338954030259,0.8576846380075545,0.9903735273016756,193.4205790201823,223.29205200195312,193.4205790201823,223.29205200195312,0.7808097700277964,3.746902596950531,2.884763581827957,1.092586756573692,0.4585910187953192,0.9730662808720074,50.4610277709961,277.84610674213127
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,47,4.7464023579153265,0.7858017286658288,0.6052298650145531,nan,1.0614884666034154,4.2991803109645845,1000.0,0.0,nan,0,12091,0,123,0.8660234335863288,0.989617170957264,0.6143675350717136,0.416618272960186,2.6397906002272045,4.104817817069238,5775.483674400716,523.2040599981472,0.8660234335863288,0.989617170957264,195.42895017351424,223.3688836669922,195.42895017351424,223.3688836669922,0.3175529720527785,9.53697643995285,2.9327960435956113,1.0830963400010993,0.45987592404708266,0.9625810409073718,55.617797943115235,428.0678977660695
