algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,59,5.5480813607438595,0.883113378405571,0.3912752922177315,0.0,1.2271477528240369,0.0,1000.0,0.0,0.0,0.6898297031019957,0.0,155.64339612877887,0.0,0.7627557542013086,0.0,11.832311464392621,0.0,3.4353099905992828,0.0,0.6898297031019957,0.0,155.64339612877887,0.0,6343.369630043329,0.0,3.4353099905992828,1.1706324222717157,0.7627557542013086,0.6898297031019957,7.159596221923828,291.79500298199315
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,60,5.5480813607438595,0.8831631766557694,0.39097792136669157,0.0,1.4152367835243542,0.0,1000.0,0.0,0.0,0.6813516921436172,0.0,153.9256992340088,0.0,0.7584962720672289,0.0,21.789691885312397,0.0,3.4757141039493042,0.0,0.6813516921436172,0.0,153.9256992340088,0.0,6164.1969880440765,0.0,3.4757141039493042,1.191144584357139,0.7584962720672289,0.6813516921436172,7.388433563232422,295.8814554261157
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,61,5.5480813607438595,0.8832375766038895,0.3905407245755196,0.0,1.3529666937314546,0.0,1000.0,0.0,0.0,0.6763772139633951,0.0,152.49498866154596,0.0,0.7645199780280774,0.0,20.475622727320744,0.0,3.5517380320400704,0.0,0.6763772139633951,0.0,152.49498866154596,0.0,6371.8670484403065,0.0,3.5517380320400704,1.1854331713454498,0.7645199780280774,0.6763772139633951,7.929739410400391,331.33708651889594
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,62,5.5480813607438595,0.8831959792375564,0.3902618224620819,0.0,1.3786069452762604,0.0,1000.0,0.0,0.0,0.6482549545474604,0.0,146.185299213116,0.0,0.8038470447063446,0.0,21.167885340177097,0.0,3.6265630206265356,0.0,0.6482549545474604,0.0,146.185299213116,0.0,6232.003153128458,0.0,3.6265630206265356,1.1932730013651904,0.8038470447063446,0.6482549545474604,7.601635559082031,324.0641639626798
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,63,5.5480813607438595,0.8831355782747269,0.39031191837787627,0.0,1.5096320547163486,0.0,1000.0,0.0,0.0,0.6674080492823145,0.0,150.4926872253418,0.0,0.7472344357520342,0.0,31.051925361156464,0.0,3.685436509634429,0.0,0.6674080492823145,0.0,150.4926872253418,0.0,6167.764362440573,0.0,3.685436509634429,1.2170857063250626,0.7472344357520342,0.6674080492823145,9.631531982421874,394.73691919619665
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,64,5.637559872278232,0.8829357777833938,0.39051610189676284,0.0,1.5915345666663987,0.0,1000.0,0.0,0.0,0.6638619800072924,0.0,149.7922134399414,0.0,0.7462674826383591,0.0,35.924154145377024,0.0,3.749674496792245,0.0,0.6638619800072924,0.0,149.7922134399414,0.0,5997.273913973475,0.0,3.749674496792245,1.2191930089337533,0.7462674826383591,0.6638619800072924,8.388363952636718,335.8473391825146
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,65,5.747236482511534,0.8830775781869888,0.39011092293262484,0.0,1.398123378937061,0.0,1000.0,0.0,0.0,0.6420843510038766,0.0,144.87228452242337,0.0,0.7733593720656174,0.0,21.203186622032753,0.0,3.7964238824048575,0.0,0.6420843510038766,0.0,144.87228452242337,0.0,6265.590566187282,0.0,3.7964238824048575,1.2389341496117687,0.7733593720656174,0.6420843510038766,7.5333587951660155,325.81070944173865
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,66,5.747236482511534,0.8831759781837464,0.38978085696697234,0.0,1.3210871481895448,0.0,1000.0,0.0,0.0,0.6416059144880688,0.0,144.6763946533203,0.0,0.7666778302192688,0.0,16.832746047973632,0.0,3.847898841045575,0.0,0.6416059144880688,0.0,144.6763946533203,0.0,6287.444413827852,0.0,3.847898841045575,1.2463071867215507,0.7666778302192688,0.6416059144880688,7.233819732666015,314.37222069139256
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,67,5.747236482511534,0.8831099766492844,0.38984425538778306,0.0,1.3777431907324955,0.0,1000.0,0.0,0.0,0.6312021896244037,0.0,142.43300128805225,0.0,0.7890078445960735,0.0,23.28458779433678,0.0,3.9364625522666485,0.0,0.6312021896244037,0.0,142.43300128805225,0.0,6131.827678516123,0.0,3.9364625522666485,1.2312925145416693,0.7890078445960735,0.6312021896244037,8.26111407470703,355.64600535393515
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,68,5.945289183850976,0.8829693768024445,0.39004391902685165,0.0,1.5360033126438366,0.0,1000.0,0.0,0.0,0.6372979143581534,0.0,143.64133588005515,0.0,0.7535908783183378,0.0,35.43337704153622,0.0,4.022151070066165,0.0,0.6372979143581534,0.0,143.64133588005515,0.0,6236.058809936203,0.0,4.022151070066165,1.2339161631039484,0.7535908783183378,0.6372979143581534,9.76761083984375,424.0519990756618
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,69,6.058208645917022,0.8831073786020279,0.3895540064573288,0.0,1.1793045652540106,0.0,1000.0,0.0,0.0,0.6290510822700728,0.0,141.81449488589638,0.0,0.7813187367037723,0.0,8.79769556145919,0.0,4.074680756214238,0.0,0.6290510822700728,0.0,141.81449488589638,0.0,6539.197465305022,0.0,4.074680756214238,1.2218685748041103,0.7813187367037723,0.6290510822700728,5.388950805664063,248.4895036815908
