algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,2.3002351977071824,0.8795179786284765,0.41443582604328794,nan,1.3251336125227122,7.673908367156982,1000.0,0.0,nan,0,30449,0,209,276.58954444298377,324.831981048584,276.58954444298377,324.831981048584,1.2273133700716603,1.440400315464778,1.3261194459193548,2.236767864309805,8752.451259150283,526.1117986692491,0.8502943286528954,0.6506816823780537,1.0275601698802068,25.225401587486267,1.2273133700716603,1.440400315464778,1.6903788132755346,0.6224286227039632,0.6628646138408374,1.4273950089384375,137.12412057495118,438.00845220560694
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,2.3095241537319087,0.8797999785343806,0.41243898957967756,nan,1.5175776521364848,7.5276426768302915,1000.0,0.0,nan,0,30855,0,211,285.0003682454427,328.03903884887694,285.0003682454427,328.03903884887694,1.2648285704249485,1.4542638642157448,1.3397189881481741,2.2445341128258303,9259.214505525242,522.3660002823215,0.8115914742151896,0.6336017264425755,1.83466374874115,14.83486411869526,1.2648285704249485,1.4542638642157448,1.701645038019237,0.6157884194106216,0.6460196158220601,1.4410474483698754,139.76562658691407,486.7228352786858
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,2.3186630884527655,0.8798869786659876,0.4113172913591067,nan,1.806243308212446,7.470295071601868,1000.0,0.0,nan,0,31206,0,220,286.13328751273775,329.2571391296387,286.13328751273775,329.2571391296387,1.2685574078039468,1.4596602486939287,1.3435368623877553,2.252200986417194,9307.190731963381,527.4248326929303,0.8045068253641543,0.6244108040630817,2.1247372523598047,16.164706135988236,1.2685574078039468,1.4596602486939287,1.7070025119995307,0.618019249245236,0.6429857300268695,1.4399500902164866,144.8649868774414,639.1007067474875
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,2.3276307270994256,0.8801666446526846,0.4093854320049286,nan,1.282965008701597,7.303717136383057,1000.0,0.0,nan,0,31106,0,210,282.6124005998884,332.64268951416017,282.6124005998884,332.64268951416017,1.2549896266761158,1.4741972179732163,1.3573600331044513,2.2596272840264033,9502.06231797861,528.7399573533947,0.8137397042342595,0.6065369859337807,1.530506168093,9.494764534831047,1.2549896266761158,1.4741972179732163,1.7182669334732321,0.6108341175642827,0.6200923039534382,1.4598565344304153,140.97022302246094,477.553727844759
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,2.3366592628797083,0.8802156444390615,0.40819637129704156,nan,1.5829244719611273,7.304520347118378,1000.0,0.0,nan,0,31008,0,216,280.9474173651801,332.4830406188965,280.9474173651801,332.4830406188965,1.2472316181815182,1.473653694925423,1.3776782978180564,2.2670519317995654,9021.3577952111,525.4795778845305,0.8175307545397017,0.6028656207025052,0.9778935942384932,14.535166679620742,1.2472316181815182,1.473653694925423,1.7334277514106602,0.5983930402046036,0.6205902647808057,1.4549582940933574,143.1073232727051,534.9607117814119
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,2.3448840910337014,0.8804303099711736,0.40682744562625883,nan,1.4209604660669963,7.073387206792831,1000.0,0.0,nan,0,31099,0,213,286.8410890367296,336.81506408691405,286.8410890367296,336.81506408691405,1.2726363112267274,1.4928536729251953,1.3974167136302211,2.274199972992357,9766.564368160412,533.716641143476,0.7898200982146792,0.5804102119803428,0.6767854226960076,14.58010606944561,1.2726363112267274,1.4928536729251953,1.7481300173750756,0.5854044805657012,0.5977009365318018,1.4746705880143127,145.05230484008788,565.0829737111651
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,2.353920963796441,0.8804753108819325,0.4059150977929433,nan,1.6702823014486403,6.937515298128128,1000.0,0.0,nan,0,31568,0,218,292.52010963076634,339.0687208557129,292.52010963076634,339.0687208557129,1.295206566146029,1.5033688222574135,1.4004063057804135,2.281180425232612,9932.66954984093,533.0321075054162,0.7646570347604298,0.5661159020662307,1.4343753144854592,8.051140800714492,1.295206566146029,1.5033688222574135,1.7527159535612933,0.5873014076726444,0.5849818015530098,1.4835886983735267,147.91333294677733,630.3849640954854
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,2.364108969482721,0.8807453107833862,0.4042596283555031,nan,1.6624729850075461,6.7628603875637054,1000.0,0.0,nan,0,30773,0,205,283.6214613481001,342.23664001464846,283.6214613481001,342.23664001464846,1.2594792306246896,1.5167613399397695,1.408088329612447,2.288022072201149,10175.523787815999,541.8012151000086,0.7951238643039357,0.5489958884567022,3.7822259989651767,6.33362753868103,1.2594792306246896,1.5167613399397695,1.7600618266479275,0.5840998089917719,0.5618272047330983,1.5033485285536752,143.13432815551758,440.5820093719554
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,2.3723030692241864,0.8806093112627665,0.40383523831764856,nan,1.869155789122862,6.6625141632556915,1000.0,0.0,nan,0,31542,0,214,283.0734459372128,343.55577438354493,283.0734459372128,343.55577438354493,1.2551185274603944,1.5234588003707181,1.4228804897061518,2.294729325349844,9187.188035018153,541.6784737086323,0.7956879927831537,0.5382099892199039,1.376214532291188,3.428561512231827,1.2551185274603944,1.5234588003707181,1.7716200239636288,0.575450035946679,0.5583810770566562,1.5024367513408774,147.0468069152832,529.03578267407
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,2.3797534093826176,0.8809526441494624,0.40244046797355015,nan,1.603040413423018,6.457974153757095,1000.0,0.0,nan,0,30388,0,208,309.74645441228694,347.019153137207,309.74645441228694,347.019153137207,1.3733875089966707,1.538557714049877,1.4238693586641586,2.3012464469705467,10748.808978994406,546.6522830934176,0.6782471591776068,0.519286788329482,1.6858904361724854,13.505306370258332,1.3733875089966707,1.538557714049877,1.774820193986714,0.5775912826412284,0.5275738218808061,1.5299469450660608,145.62208325195311,455.13471077524395
