algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,69,5.4596954584744575,0.7923974788188934,0.587928022146225,0.969410351221964,0.668697622915109,22.663139153321584,1000.0,0.9410820442536988,1.0,49990,300,246,56,0.6784059132138888,8.910371521562338,176.94771830240884,0.0,5677.412936868004,0.0,0.7851746809414548,0.0,0.4345850422978401,0.0,3.505623918181499,0.0,176.94771830240884,0.0,0.7851746809414548,0.0,3.505623918181499,1.0793988060574542,0.4345850422978401,0.7851746809414548,5.3084315490722656,170.32238810604008
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,70,5.4596954584744575,0.7924939820170402,0.5875102108716965,0.9397465136637748,1.3988901495933532,24.14057262420654,1000.0,0.8903411694875111,1.0,49855,201,264,38,1.9377877235412597,12.646505436499913,157.62420959472655,0.0,5127.465722007024,0.0,0.6997827330173487,0.0,0.590810626745224,0.0,3.5327955434218072,0.0,157.62420959472655,0.0,0.6997827330173487,0.0,3.5327955434218072,1.0757588233748696,0.590810626745224,0.6997827330173487,3.940605239868164,128.18664305017563
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,71,5.4596954584744575,0.7928954800963401,0.5870036596059799,0.9641367710421419,0.8190662463506063,26.401354960600536,1000.0,0.9312347061507196,1.0,49696,68,283,17,0.7193101048469543,20.80972106138865,162.94397989908853,0.0,4855.700883197073,0.0,0.7224121514684704,0.0,0.5306199987729391,0.0,3.542307383473697,0.0,162.94397989908853,0.0,0.7224121514684704,0.0,3.542307383473697,1.0781824985305868,0.5306199987729391,0.7224121514684704,2.4441596984863283,72.8355132479561
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,72,5.4596954584744575,0.7929594784975051,0.5868016630411148,0.9412290553208589,1.1885941740539339,30.25293492635091,1000.0,0.8955758229474282,1.0,50262,453,174,133,0.45204590757687885,50.60623783459266,161.06437174479166,0.0,5613.9718968499765,0.0,0.7130703967303007,0.0,0.5350444954302576,0.0,3.587256679946753,0.0,161.06437174479166,0.0,0.7130703967303007,0.0,3.587256679946753,1.087186361557023,0.5350444954302576,0.7130703967303007,7.247896728515625,252.62873535824895
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,73,5.4596954584744575,0.7930744805932045,0.5870806360244751,0.8841993338263111,1.2172401040792464,36.04109716494878,1000.0,0.7970317621282724,1.0,50468,699,142,171,0.7007829467455546,47.97977120359739,159.77686665852863,0.0,5370.051118535582,0.0,0.7078696924020059,0.0,0.5311133285363515,0.0,3.6532255136381666,0.0,159.77686665852863,0.0,0.7078696924020059,0.0,3.6532255136381666,1.0951859115342764,0.5311133285363515,0.7078696924020059,11.983264999389649,402.7538338901686
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,74,5.4596954584744575,0.793216479420662,0.5864314180612564,0.9918166866482775,1.0753786444664002,41.810433082580566,1000.0,0.9838263777863535,1.0,50094,224,162,140,2.3163391828536986,43.230702455441154,150.6742736816406,0.0,4704.872560178853,0.0,0.6656564323944043,0.0,0.6114231526851654,0.0,3.6821591409543566,0.0,150.6742736816406,0.0,0.6656564323944043,0.0,3.6821591409543566,1.104638210047257,0.6114231526851654,0.6656564323944043,3.766856842041016,117.62181400447133
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,75,5.4596954584744575,0.7931644788384438,0.5863882356882095,0.8595153894889228,0.9329187544909391,47.14157898982366,1000.0,0.7680749806041279,1.0,50186,437,184,125,0.194214483553713,43.228443485250075,168.16299438476562,0.0,5331.896339396186,0.0,0.746070918149033,0.0,0.4205678538842635,0.0,3.7207450864594613,0.0,168.16299438476562,0.0,0.746070918149033,0.0,3.7207450864594613,1.1130791712516614,0.4205678538842635,0.746070918149033,9.24896469116211,293.2542986667902
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,76,5.4596954584744575,0.7935014802217484,0.5862579226493836,0.8665006956247496,1.2903455251997167,52.97447331825892,1000.0,0.783201938481,1.0,50208,425,170,139,0.4466215805573897,62.768350570201875,148.1817987615412,0.0,5146.765984366598,0.0,0.6575441479512967,0.0,0.6256435107101094,0.0,3.79503105745394,0.0,148.1817987615412,0.0,0.6575441479512967,0.0,3.79503105745394,1.1081229762710458,0.6256435107101094,0.6575441479512967,8.149998931884765,283.0721291401629
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,77,5.4596954584744575,0.7932144773006439,0.5872561937570572,0.8810748029713599,1.382208247979482,60.77414230187734,1000.0,0.8005091739263495,1.0,50535,794,157,156,1.1620603720347087,67.20616079409918,150.74376627604167,0.0,5210.939394807783,0.0,0.6684176149358663,0.0,0.5654265999794006,0.0,3.8664643446088833,0.0,150.74376627604167,0.0,0.6684176149358663,0.0,3.8664643446088833,1.1256148296253912,0.5654265999794006,0.6684176149358663,11.305782470703125,390.82045461058385
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,78,5.495036931826103,0.7936404785513878,0.5864340457320213,0.9554936363180936,1.2948064463479179,67.48823008219401,1000.0,0.9164880780692725,1.0,50115,303,181,125,1.3438397816249303,57.04654030879339,154.32281058175224,0.0,5129.4198549228095,0.0,0.6847317790505214,0.0,0.5075221189430782,0.0,3.888124638005324,0.0,154.32281058175224,0.0,0.6847317790505214,0.0,3.888124638005324,1.1367029204133678,0.5075221189430782,0.6847317790505214,5.401298370361328,179.52969492229832
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,79,5.495036931826103,0.7938189807534218,0.5862696251273155,0.8761753874880055,0.6338234146436056,72.49639094988505,1000.0,0.7982791315126351,1.0,49920,186,221,81,0.13305293023586273,85.60553322767218,162.72147115071616,0.0,5397.9581801599115,0.0,0.7225993819222541,0.0,0.47910696268081665,0.0,3.936000010609578,0.0,162.72147115071616,0.0,0.7225993819222541,0.0,3.936000010609578,1.1109426321987765,0.47910696268081665,0.7225993819222541,4.881644134521484,161.93874540479734
