algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,1.0403478402448245,0.8641203131278355,0.5176871125896771,nan,1.6587262099439448,10.937861070632934,1000.0,0.0,nan,0,30814,0,206,1.405640493739735,37.24228729963303,7089.096359208819,641.2193956569988,1.625249980673596,1.7267560872078207,366.70292524857956,389.4650390625,0.9081483970988881,0.8399560534954071,366.70292524857956,389.4650390625,1.625249980673596,1.7267560872078207,0.46539326843296425,0.9850076545641626,0.6732390228854436,0.38764039125521776,0.8435111045837402,1.7214642996633824,163.85347998046876,412.4478781653936
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,1.071433476878584,0.8656503140926362,0.5067396579186122,nan,1.3942384878794352,11.231362466812135,1000.0,0.0,nan,0,30523,0,209,1.474023707707723,78.67598124444484,7379.820980432446,618.8176644319171,1.6134830850733697,1.7109284882925149,363.5329060872396,385.88749954223636,0.9051596164703369,0.8390373474359513,363.5329060872396,385.88749954223636,1.6134830850733697,1.7109284882925149,0.48177305411745236,1.0007114858548443,0.6893484268124092,0.38778402459893163,0.8436505289964897,1.7041299717888536,165.26098699951172,468.92169518574025
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,1.090296478731923,0.8670139783620834,0.497018875281016,nan,1.6471932431062062,11.342650122642517,1000.0,0.0,nan,0,30603,0,207,1.7190827826658885,38.52435413837433,7787.318932801747,591.8241345132882,1.6536370146587125,1.7128772553192855,372.93485768636066,386.40970657348635,0.8666357199350992,0.8260338392853737,372.93485768636066,386.40970657348635,1.6536370146587125,1.7128772553192855,0.49230327073199354,1.0159896278345588,0.7017778135730196,0.3895883963447248,0.8283320589447921,1.709524034149819,163.5143192138672,423.6253081925572
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,1.1112179278849625,0.8680996445814768,0.4888077501455943,nan,1.5960850809749805,11.480820918083191,1000.0,0.0,nan,0,31163,0,215,1.3382606004413806,33.23164248585701,8036.829783665001,574.9615532233481,1.6832397925702989,1.709524009235102,379.669334010074,385.62305603027346,0.8347522569330115,0.8165566176176071,379.669334010074,385.62305603027346,1.6832397925702989,1.709524009235102,0.5089081308154763,1.0316266609922458,0.7179955428861841,0.3890468668342449,0.8181352347271628,1.7072436434057354,168.6766571044922,535.3841530686093
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,1.1393523914836772,0.8690419779221217,0.48119182060162224,nan,1.7114636668792138,11.844570336341858,1000.0,0.0,nan,0,30466,0,208,1.2883211924479558,94.79546194374561,8058.4699384995965,551.0062368693981,1.5913155836415929,1.6816707598246285,358.39151470477765,379.3389157104492,0.8873167725709769,0.8241384249925613,358.39151470477765,379.3389157104492,1.5913155836415929,1.6816707598246285,0.5288779770030572,1.0497146511087687,0.7372126466453418,0.3875494089703707,0.8279943804785679,1.6761561246585273,161.05374566650391,429.9227131487488
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,1.173573983601409,0.8700229777892431,0.4739189859231313,nan,1.4608871022860208,11.688342826366425,1000.0,0.0,nan,0,30719,0,211,1.3562234481175741,34.766744713187215,8587.161790494682,533.2625203659215,1.639074084817209,1.7035764467701384,369.4638326009115,384.46412017822263,0.842404701312383,0.7968499386310577,369.4638326009115,384.46412017822263,1.639074084817209,1.7035764467701384,0.545523310513809,1.0659575626519386,0.7536970113690609,0.3863585119556486,0.8000281778878944,1.6990762819827248,164.8695630493164,470.91986186120903
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,1.187977058154376,0.8711689792076747,0.467220078309377,nan,1.3173339664936066,11.91713788509369,1000.0,0.0,nan,0,30651,0,207,1.2480088075002034,19.05526019513607,8205.076275640846,522.5429633666107,1.5059683842387763,1.6862127389602763,339.67945607503253,380.45790084838865,0.925721287727356,0.7971444362401963,339.67945607503253,380.45790084838865,1.5059683842387763,1.6862127389602763,0.5687189699071665,1.0838285100277216,0.7747627859553885,0.3823874726353921,0.8044223712300355,1.676010228315663,160.33546728515626,405.93901596202454
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,1.2046605013900136,0.8719106445709864,0.4614557238419851,nan,1.6213093491700978,12.064602851867676,1000.0,0.0,nan,0,30683,0,211,1.6043521624345045,56.384527661800384,8578.209971004568,506.66580695904076,1.5936258409888129,1.6754243105858677,359.6406977726863,377.94401306152344,0.8517659444075364,0.7928287798166275,359.6406977726863,377.94401306152344,1.5936258409888129,1.6754243105858677,0.5866083094317489,1.1038180938982285,0.7934922232183408,0.3814252122230282,0.7964258837587956,1.6704319157278313,160.5282633666992,425.69978202973505
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,1.2177827954633567,0.8725156464179357,0.4564172248045603,nan,1.704575100365807,11.905750966072082,1000.0,0.0,nan,0,31157,0,211,1.1989996924119837,74.82133329987526,9145.276569516502,492.06241959080296,1.6120861047268502,1.6907472937460977,363.9640754250919,381.33207641601564,0.8267913951593286,0.7695450833439827,363.9640754250919,381.33207641601564,1.6120861047268502,1.6907472937460977,0.6014929309914248,1.1210449276331533,0.8093137296481161,0.38079245256782346,0.7740298174493324,1.6845848964496586,164.90760913085938,507.7643711998823
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,1.230708010417904,0.8733129771550496,0.45158477733532587,nan,1.6419885964954601,11.784319338798523,1000.0,0.0,nan,0,31024,0,214,1.558377181782442,32.38714614868164,8889.215075582802,484.742602980762,1.5135946200173902,1.7005264667630104,341.36177511776197,383.58263610839845,0.8873987969230203,0.7499904084205627,341.36177511776197,383.58263610839845,1.5135946200173902,1.7005264667630104,0.6167502533980187,1.1375684054835091,0.8250775142322149,0.3798202223930794,0.7607551208838889,1.6858820363728007,165.03935479736327,496.13035376212014
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,1.243182503405564,0.8741623109579086,0.4465632816155752,nan,1.498222541064024,11.958502445220947,1000.0,0.0,nan,0,31207,0,211,1.369570791721344,17.5292773103714,9546.627871408089,477.9102221751862,1.5752579852618678,1.6834197292864823,355.02188301086426,379.8047993469238,0.8304344043135643,0.7501286666095257,355.02188301086426,379.8047993469238,1.5752579852618678,1.6834197292864823,0.6301430599585384,1.155102412046568,0.8401268007937504,0.38061253701528774,0.7560772397727878,1.675407748247622,163.2826199951172,496.6561807551334
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,1.255975000375589,0.874603978395462,0.44275199741125104,nan,1.5181865746324712,11.987163009643554,1000.0,0.0,nan,0,31286,0,218,1.123062014579773,28.97523016035557,9501.344138002543,471.73130153179443,1.5754015042148952,1.6777862514201325,355.42959039861506,378.36297561645506,0.8185724467039108,0.7417919173836708,355.42959039861506,378.36297561645506,1.5754015042148952,1.6777862514201325,0.6549993683734556,1.1730090394217911,0.8622032367927898,0.37616308594741027,0.7494007986676585,1.6676400152106046,166.9840922241211,606.7516626848297
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,1.2676339108144496,0.8750813128550847,0.439011149207751,nan,1.9780818422635396,11.970021862983703,1000.0,0.0,nan,0,30683,0,205,2.5144150455792746,56.44450268983841,9587.571122803336,457.050154268517,1.555778602277664,1.6748449227816382,350.46866099039715,377.8561421203613,0.8215624342362086,0.7313746500015259,350.46866099039715,377.8561421203613,1.555778602277664,1.6748449227816382,0.6650780270085774,1.190707953626879,0.875329997655898,0.37837603856477353,0.7364796189204702,1.6681053197342433,159.55370471191407,412.92176865468684
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,1.2773418115978656,0.8756696446736654,0.43544670631488164,nan,1.8026623404943025,11.784577136039735,1000.0,0.0,nan,0,30647,0,209,1.6082883431361272,45.899354248046876,9156.134718841027,450.6246466594444,1.4384232716853398,1.6841586271009066,324.3786128117488,379.8654202270508,0.8995040976084195,0.7114991083741188,324.3786128117488,379.8654202270508,1.4384232716853398,1.6841586271009066,0.6836148395593792,1.2064071109709624,0.8927317481240126,0.3764532682398157,0.7229735912851325,1.6691606946107544,160.3800120239258,418.30936135364453
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,1.288269063348201,0.876084644595782,0.43222248514493306,nan,1.7541308452685673,11.841143951416015,1000.0,0.0,nan,0,30602,0,208,1.1808060208956401,60.189078325033186,9248.392410917424,444.7900949717252,1.5340248651036115,1.673296939806338,345.85474650065106,377.49023208618166,0.8145668357610703,0.706942937374115,345.85474650065106,377.49023208618166,1.5340248651036115,1.673296939806338,0.6974860678874196,1.221525795961341,0.9071019591169882,0.3759496886426646,0.7130348561507351,1.6654136148231646,159.29660675048828,399.87745585070826
