algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,3.006092278706174,0.7563035801649094,0.711581233382225,0.0,0.7962166355414824,0.0,1000.0,0.0,0.0,1.4664704361786542,0.0,0.9071031101902011,0.0,0.8606010946360502,0.0,204.59024464000356,0.0,6.977940613573248,0.0,0.9071031101902011,0.0,204.59024464000356,0.0,4231.906269399261,0.0,1.4664704361786542,1.1698459959069205,0.8606010946360502,0.9071031101902011,9.001970764160156,186.2038758535675
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,3.1282427542730162,0.7584007810354233,0.7031926332712174,0.0,0.6798821070364544,0.0,1000.0,0.0,0.0,1.53948270735164,0.0,0.905964569478176,0.0,0.8482933108295713,0.0,204.30211584908622,0.0,5.9307878358023505,0.0,0.905964569478176,0.0,204.30211584908622,0.0,4321.939698490147,0.0,1.53948270735164,1.1765772870108588,0.8482933108295713,0.905964569478176,11.440918487548828,242.02862311544826
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,3.1984275217683824,0.7603395798206329,0.6954278528690339,0.0,0.7270231658504123,0.0,1000.0,0.0,0.0,1.5813457544252527,0.0,0.9415496987476091,0.0,0.7886058886845907,0.0,212.398196265811,0.0,4.728529055913289,0.0,0.9415496987476091,0.0,212.398196265811,0.0,4650.481949994402,0.0,1.5813457544252527,1.1803645753870549,0.7886058886845907,0.9415496987476091,8.920724243164063,195.32024189976485
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,3.2870351876750656,0.7621821821928024,0.6880898827314377,0.0,0.9014301997210298,0.0,1000.0,0.0,0.0,1.62587469800499,0.0,0.9395250370877767,0.0,0.7766179580773626,0.0,211.81243624005998,0.0,8.905829565865654,0.0,0.9395250370877767,0.0,211.81243624005998,0.0,4658.017339282848,0.0,1.62587469800499,1.1852835551802687,0.7766179580773626,0.9395250370877767,11.86149642944336,260.8489709998395
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,3.322261642128147,0.7639043809175491,0.6816945327520371,0.0,0.8114253467037564,0.0,1000.0,0.0,0.0,1.6899231204107952,0.0,0.8762476051590717,0.0,0.8452389651820773,0.0,197.54818216959634,0.0,5.593789600190663,0.0,0.8762476051590717,0.0,197.54818216959634,0.0,4538.068259247353,0.0,1.6899231204107952,1.188381042259914,0.8452389651820773,0.8762476051590717,8.297023651123046,190.5988668883888
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,3.3634836398847234,0.7656569805145264,0.6753965148925781,0.0,0.8161784283816814,0.0,1000.0,0.0,0.0,1.7336422309546793,0.0,0.9038135130207042,0.0,0.7945321254432202,0.0,204.1661590576172,0.0,4.290276902914047,0.0,0.9038135130207042,0.0,204.1661590576172,0.0,4813.760151472319,0.0,1.7336422309546793,1.1897307805315696,0.7945321254432202,0.9038135130207042,8.166646362304688,192.55040605889278
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.411208776345109,0.7670251804590226,0.6700127042531967,0.0,0.6344422494110308,0.0,1000.0,0.0,0.0,1.7973176652573921,0.0,0.8446039128970396,0.0,0.8599039692627756,0.0,190.43901383249383,0.0,3.6265902519226074,0.0,0.8446039128970396,0.0,190.43901383249383,0.0,4427.463982923703,0.0,1.7973176652573921,1.1887160038657676,0.8599039692627756,0.8446039128970396,7.236682525634766,168.24363135110067
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.4658038977209533,0.7683669804334641,0.6646153942346573,0.0,0.7317941161719236,0.0,1000.0,0.0,0.0,1.8419668511168663,0.0,0.9307336096391449,0.0,0.7284739112312143,0.0,210.25715221058238,0.0,4.567263819954612,0.0,0.9307336096391449,0.0,210.25715221058238,0.0,5014.467722771969,0.0,1.8419668511168663,1.1870298095316691,0.7284739112312143,0.9307336096391449,9.251314697265625,220.63657980196666
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.527461866748551,0.7698063803911209,0.6597551510334015,0.0,0.8101283816190866,0.0,1000.0,0.0,0.0,1.8975704029836258,0.0,0.8822848276099111,0.0,0.780111258992782,0.0,199.08533653846155,0.0,9.507546649529385,0.0,0.8822848276099111,0.0,199.08533653846155,0.0,5010.251599094737,0.0,1.8975704029836258,1.185742990755258,0.780111258992782,0.8822848276099111,10.3524375,260.5330831529263
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.596189817008292,0.7712017788887023,0.6550951857566834,0.0,0.7011218976091456,0.0,1000.0,0.0,0.0,1.952883079273045,0.0,0.8803829763528435,0.0,0.7680457444102676,0.0,198.6726961489077,0.0,5.997425361915871,0.0,0.8803829763528435,0.0,198.6726961489077,0.0,5049.729819700718,0.0,1.952883079273045,1.1836367636498952,0.7680457444102676,0.8803829763528435,10.728325592041015,272.6854102638388
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.675438132797083,0.7723643807172775,0.6506995825767518,0.0,0.6818335425286066,0.0,1000.0,0.0,0.0,1.9895259515926573,0.0,0.8700423172314581,0.0,0.7678180116982687,0.0,196.10167149135046,0.0,4.17051811445327,0.0,0.8700423172314581,0.0,196.10167149135046,0.0,4961.009434081414,0.0,1.9895259515926573,1.1859318690940508,0.7678180116982687,0.8700423172314581,8.23627020263672,208.36239623141935
