algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.418114741976437,0.8402259806791942,0.7068320083618164,nan,0.7655186809991535,0.1108913691714406,1000.0,0.0,nan,0,31819,0,215,0.10990467115525941,0.0019219251058530062,0.9310138612111003,0.0,0.9710705562641746,0.0,0.9333731565856088,0.0,210.17456536543997,0.0,2396.0991030821206,0.0,0.9310138612111003,0.0,210.17456536543997,0.0,0.9333731565856088,1.072767101835025,0.9710705562641746,0.9310138612111003,13.311055806477865,151.75294319520097
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.454617302582234,0.8453473124901454,0.6667081340154012,nan,0.8627631002002292,0.10431470334529877,1000.0,0.0,nan,0,31465,0,215,0.1418186794164487,0.002107821451500058,0.9431902845831927,0.0,0.94713736904992,0.0,1.0012964244458382,0.0,212.37220425075955,0.0,2671.3526847094017,0.0,0.9431902845831927,0.0,212.37220425075955,0.0,1.0012964244458382,1.091283487536881,0.94713736904992,0.9431902845831927,12.742332255045573,160.28116108256413
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.454617302582234,0.8492693124214808,0.6343118339776993,nan,0.8647101386026903,0.0991193225979805,1000.0,0.0,nan,0,30494,0,206,0.11455449959347871,0.0018478156824130564,0.954047065129188,0.0,0.9243149378082969,0.0,1.0446318042866929,0.0,214.953969782049,0.0,2922.672862391306,0.0,0.954047065129188,0.0,214.953969782049,0.0,1.0446318042866929,1.1015662167212157,0.9243149378082969,0.954047065129188,7.88164555867513,107.16467162101456
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.5113527522630372,0.8526933101812998,0.6070362730820974,nan,0.8518683542223537,0.09505335625261069,1000.0,0.0,nan,0,30763,0,213,0.17139021412688582,0.00171594213868957,0.951830489478735,0.0,0.9160284224678489,0.0,1.0968033094184892,0.0,214.72227747300093,0.0,3105.2318677956837,0.0,0.951830489478735,0.0,214.72227747300093,0.0,1.0968033094184892,1.1119798024503882,0.9160284224678489,0.951830489478735,12.167595723470052,175.96313917508874
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.5113527522630372,0.8560523130496343,0.583876503109932,nan,0.9330501655737559,0.09330476384609937,1000.0,0.0,nan,0,30427,0,205,0.16110953354897598,0.001796391088864766,0.9290061181478966,0.0,0.931388603316413,0.0,1.1329172516272028,0.0,209.9296129014757,0.0,3298.140082914995,0.0,0.9290061181478966,0.0,209.9296129014757,0.0,1.1329172516272028,1.1187603025490696,0.931388603316413,0.9290061181478966,6.297888387044271,98.94420248744987
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.5323147984117913,0.8586539787054062,0.5640223546822866,nan,0.9175800736993551,0.09130128340795636,1000.0,0.0,nan,0,31039,0,211,0.08983607953268802,0.0017138828407041728,0.9408561904508932,0.0,0.9068810604512691,0.0,1.1873267274271957,0.0,212.27925300598145,0.0,3555.9553689118775,0.0,0.9408561904508932,0.0,212.27925300598145,0.0,1.1873267274271957,1.1274657938180195,0.9068810604512691,0.9408561904508932,11.321560160319011,189.65095300863348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.5770385101908735,0.8609723109006882,0.5468528044223785,nan,0.9983388808640566,0.08854048969224096,1000.0,0.0,nan,0,30795,0,207,0.16869725593873722,0.0018695328291505576,0.9219275365914652,0.0,0.9181080135432157,0.0,1.2177316969953462,0.0,208.0919744318182,0.0,3678.8523840351163,0.0,0.9219275365914652,0.0,208.0919744318182,0.0,1.2177316969953462,1.133575377099301,0.9181080135432157,0.9219275365914652,7.6300390625,134.89125408128763
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.626898729085254,0.8630223125219345,0.5317933883269628,nan,0.7168154884129763,0.08656058607622981,1000.0,0.0,nan,0,30844,0,210,0.1694150123075815,0.0015474085084861144,0.9410188284142553,0.0,0.8846058174967766,0.0,1.2895963999341917,0.0,212.28228569030762,0.0,3758.6603832094634,0.0,0.9410188284142553,0.0,212.28228569030762,0.0,1.2895963999341917,1.1389973312727364,0.8846058174967766,0.9410188284142553,11.321721903483073,200.4618871045047
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.681773133119602,0.8650116451581319,0.5188735454281171,nan,0.8244926147162914,0.08578956685960293,1000.0,0.0,nan,0,30646,0,212,0.19427847360930173,0.0015149612148525192,0.9357036936818072,0.0,0.8797592911869287,0.0,1.3551870815615015,0.0,211.08313083648682,0.0,4005.3134546664314,0.0,0.9357036936818072,0.0,211.08313083648682,0.0,1.3551870815615015,1.1424965903830657,0.8797592911869287,0.9357036936818072,11.257766977945964,213.61671758220967
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.7414324404760406,0.8665909787019094,0.5071081793308259,nan,0.8922721960327842,0.08350836530327797,1000.0,0.0,nan,0,30813,0,207,0.11864033017561516,0.0016155483236070722,0.9149583060248407,0.0,0.8935870365663008,0.0,1.4024882682004445,0.0,206.34704451127485,0.0,4189.527852420008,0.0,0.9149583060248407,0.0,206.34704451127485,0.0,1.4024882682004445,1.1436659736775654,0.8935870365663008,0.9149583060248407,7.566058298746745,153.61602125540026
