algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,10,0.6852937746268957,0.7244245815277099,0.8610086834430695,nan,0.07536762544224339,0.0,1000.0,0.0,nan,0,1,0,357,1.557313073065973,0.0,0.03225806451612903,0.0,0.24536666890156106,0.0,0.6852937746268957,0.0,2.9647030445837204,0.0,0.6852937746268957,0.0,0.44999999999999996,0.9919452413640388,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,11,0.7214611380882578,0.7290645818710327,0.8354723989963532,nan,0.07056289215882619,0.0,1000.0,nan,nan,0,0,0,342,1.482575003306071,0.0,0.0,0.0,0.22639898814328102,0.0,0.721461138088258,0.0,2.7708076000213624,0.0,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909496614447116,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,12,0.7596944884031196,0.7333143801689148,0.8137172195911407,nan,0.06675175738831361,0.0,1000.0,0.0,nan,0,1,0,391,1.504895301659902,0.0,0.03333333333333333,0.0,0.22168992815861455,0.0,0.7596944884031196,0.0,2.623609932263692,0.0,0.7596944884031196,0.0,0.48,0.9898149246484655,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,13,0.8001526997791856,0.7372883815765381,0.7943254765272141,nan,0.06350934891789048,0.0,1000.0,0.0,nan,0,3,0,283,1.5477232292846397,0.0,0.1111111111111111,0.0,0.20981761253364445,0.0,0.8001526997791857,0.0,2.6504847738477917,0.0,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9889858398792728,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,14,0.8430464367132451,0.7407797818183899,0.7774969027042389,nan,0.058962959382269114,0.0,1000.0,nan,nan,0,0,0,120,1.4346662362416585,0.0,0.0,0.0,0.1855591794747167,0.0,0.843046436713245,0.0,2.998094227578905,0.0,0.843046436713245,1.1102230246251565e-16,0.51,0.9886431035593938,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,15,0.8793723681465165,0.7435613813400268,0.7630420968532562,nan,0.05756090775780056,0.0,1000.0,0.0,nan,0,2,0,198,1.4646650215853816,0.0,0.08695652173913043,0.0,0.1911876856598937,0.0,0.8793723681465164,0.0,2.6553767142088516,0.0,0.8793723681465164,1.1102230246251565e-16,0.525,0.9880645547939373,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,16,0.9126284626054437,0.7464297815561295,0.749955559015274,nan,0.05562088917940855,0.0,1000.0,0.0,nan,0,6,0,228,1.53529225786527,0.0,0.25,0.0,0.19752097281853878,0.0,0.9126284626054437,0.0,2.641929497321447,0.0,0.9126284626054437,0.0,0.54,0.9874196921088413,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,17,0.9474622637610021,0.7492995799779892,0.7377941994667053,nan,0.05311678299172358,0.0,1000.0,nan,nan,0,0,0,178,1.3019521967931227,0.0,0.0,0.0,0.16988054011604176,0.0,0.9474622637610021,0.0,2.4496944438327444,0.0,0.9474622637610021,0.0,0.555,0.9869078100632518,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,18,0.9839586158871577,0.7516071817874909,0.7276645373106003,nan,0.05089963681024054,0.0,1000.0,nan,nan,0,0,0,222,1.4627991759258767,0.0,0.0,0.0,0.1835491473401058,0.0,0.9839586158871577,0.0,2.4719578235045723,0.0,0.9839586158871577,0.0,0.57,0.9862587436373661,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,19,1.022216540748102,0.7539483808279037,0.7178092567920685,nan,0.04914770478552038,0.0,1000.0,0.0,nan,0,1,0,193,1.0619363378394733,0.0,0.045454545454545456,0.0,0.1423318314691225,0.0,1.0222165407481025,0.0,2.0234193964438005,0.0,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9857024167956204,0.0
