algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,103,4.712853335395463,0.796913979202509,0.5850218363106251,1.0,0.02720456764412423,nan,1000.0,0.9285714285714286,1.0,10618,719,0,215,29.958333333333332,106.18,4.712853335395464,0.0,0.6787607048948606,nan,0.41690955435236293,nan,0.0466453174383073,0.0,4.712853335395464,8.881784197001252e-16,1.845,0.9256828165946898,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,104,4.772430434556013,0.7966377282142639,0.5862310424447059,1.0,0.027383401397277008,nan,1000.0,1.0,1.0,10689,789,0,176,35.86363636363637,106.89,4.772430434556013,0.0,0.702808447859504,nan,0.4097475883635608,nan,0.04400620183181134,0.0,4.772430434556013,0.0,1.8599999999999999,0.9250502649360025,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,105,4.833377763803692,0.796564979404211,0.5871098574995994,0.9956439956439956,0.03136363203980421,nan,1000.0,0.9916333666333667,1.0,10542,644,0,182,33.89473684210526,105.42,4.833377763803691,0.0,0.6720042699261716,nan,0.40163045651034307,nan,0.04246394340555323,0.0,4.833377763803691,8.881784197001252e-16,1.875,0.9243909403585764,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,106,4.895740421640309,0.7969929778575897,0.5854908442497253,0.9992000000000001,0.027106679199884336,nan,1000.0,0.9984126984126984,1.0,10535,636,0,231,26.5,105.35,4.89574042164031,0.0,0.6001290120184422,nan,0.3518376412491004,nan,0.03874792474308397,0.0,4.89574042164031,8.881784197001252e-16,1.8900000000000001,0.9235607439311947,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,107,4.959565772364041,0.7972872298955918,0.5852925473451615,0.9966307649820492,0.026800405822302167,nan,1000.0,0.7641354372123603,1.0,10367,472,0,151,24.842105263157894,103.67,4.959565772364042,0.0,0.708255482347388,nan,0.4261032876215483,nan,0.044007288114973064,0.0,4.959565772364042,8.881784197001252e-16,1.905,0.9230147696125285,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,108,5.024903581438015,0.7971689788997174,0.5862406212091446,0.9959192491855808,0.0251137867776884,nan,1000.0,0.8927951807228915,1.0,10448,552,0,124,30.666666666666668,104.48,5.024903581438016,0.0,0.8147354159090254,nan,0.4689311037460963,nan,0.04860368640702409,0.0,5.024903581438016,8.881784197001252e-16,1.92,0.9225429138799022,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,109,5.09180615939299,0.7972029785811902,0.586354061216116,0.9974995790181022,0.025407779453830284,nan,1000.0,0.7107484823150868,1.0,10766,876,0,414,26.545454545454547,107.66,5.0918061593929895,0.0,0.5244209296775587,nan,0.3837452810822111,nan,0.04380557255692775,0.0,5.0918061593929895,8.881784197001252e-16,1.935,0.9210245461427032,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,110,5.16032851478683,0.7973017287254334,0.5864721842110157,1.0,0.02577541730013387,nan,1000.0,0.9090909090909091,1.0,10442,543,0,389,18.724137931034484,104.42,5.160328514786829,0.0,0.5397432672566381,nan,0.35028491657355737,nan,0.04008031154603281,0.0,5.160328514786829,8.881784197001252e-16,1.95,0.9196557350866115,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,111,5.207853168736674,0.7971562300622463,0.5872384691238404,0.9786555380103767,0.027128817047923803,nan,1000.0,0.688568376068376,1.0,10402,509,0,151,25.45,104.02,5.207853168736674,0.0,0.6975753545761109,nan,0.40465653538703916,nan,0.0434390493169996,0.0,5.207853168736674,0.0,1.965,0.9190967400921684,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,112,5.252493593221522,0.7975824804604054,0.5868843707442284,0.999244142101285,0.025484793420348848,nan,1000.0,0.8169533169533169,1.0,10345,448,0,77,32.0,103.45,5.252493593221523,0.0,0.8309284278324672,nan,0.4206809529236385,nan,0.039433054229504313,0.0,5.252493593221523,8.881784197001252e-16,1.98,0.9188615768627463,nan
