algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.783574478328228,0.6119617548584938,nan,0.033544245176017284,0.03458978802586595,1000.0,0.0,nan,0,328,0,50760,0.0899525211930338,0.06199581961957668,0.25,1.0833333333333333,0.35430727650721866,0.11605890728533268,0.4987293829520543,0.2275423573454221,1.9495402035165765,1.949540203516576,1.9495402035165765,6.661338147750939e-16,0.945,0.968043932664301,0.6969597211573026
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.7843204787373543,0.6099814745783806,nan,0.03445277629154069,0.03425214704747001,1000.0,0.0,nan,0,43,0,50185,0.08600721861342218,0.06103460879414285,0.2857142857142857,0.13666666666666666,0.38962351211479734,0.11375928021967412,0.6871763212340218,0.22106698016325632,1.9962009572946733,1.9962009572946735,1.9962009572946728,4.440892098500626e-16,0.96,0.9676467320496551,0.6949879302192962
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.7847429803013801,0.608171003460884,nan,0.034246441305560225,0.03417747241134445,1000.0,0.0,nan,0,594,0,51234,0.09973733655288448,0.06008340059183958,0.29411764705882354,1.9633333333333334,0.42110711599097533,0.110927769318223,0.48628536042045145,0.2146643424530824,2.044685814238566,2.044685814238566,2.0446858142385658,4.440892098500626e-16,0.975,0.965776703868642,0.6952743832943247
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.7852624812722206,0.6065766498446464,nan,0.03417785944683211,0.033697291053831575,1000.0,nan,nan,0,290,0,50420,0.10163857175099686,0.05915777964613436,0.0,0.9666666666666667,0.3784734947340829,0.10891802030305067,0.4483607453959329,0.21213220298290253,2.078667703126915,2.078667703126915,2.0786677031269156,0.0,0.99,0.9655484332420643,0.6963024043194027
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.785794978439808,0.6049948281049728,nan,0.0320215264800936,0.03381313856691122,1000.0,0.0,nan,0,325,0,50707,0.08148833342739356,0.058289523572327584,0.125,1.08,0.27569077629595995,0.10785820243259271,0.3772783987224102,0.21059170265992483,2.113487926545776,2.1134879265457758,2.1134879265457758,4.440892098500626e-16,1.005,0.9652310514277334,0.692383818306375
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.7864014825224876,0.6034691026806831,nan,0.033863402370895655,0.033060928874959546,1000.0,nan,nan,0,240,0,50364,0.11621146097457934,0.05734367639584062,0.0,0.8,0.558443410055978,0.10590216740965844,0.627634333712714,0.20593681653340656,2.1493007737632155,2.1493007737632155,2.1493007737632155,0.0,1.02,0.964939821356495,0.6947732145546248
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.7870339804887772,0.6018403205275535,nan,0.03249795846641064,0.03281059458851814,1000.0,nan,nan,0,57,0,50371,0.0613906909157184,0.05644379471684232,0.0,0.19,0.2039652645587921,0.10409848888715108,0.3888449430465698,0.20229026024540264,2.1861402047376153,2.1861402047376153,2.1861402047376153,0.0,1.035,0.9648500781484532,0.6938475749274257
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.7871919795870781,0.6006723606586456,0.9310847110847112,0.03191257640719414,0.33065249800682067,1000.0,0.9967532467532468,0.8784464690806634,50218,368,49,31,0.08564850452278608,0.0,45.57142857142857,167.55666666666667,0.40155185971941265,0.10265472523868084,0.599488765001297,0.23145674799879393,2.22404273887927,0.0,2.22404273887927,4.440892098500626e-16,1.05,0.9645378045996422,0.6821255396374865
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.7876334792375564,0.5994305554032325,0.7107351591254397,0.03411230933852494,0.6128641202052434,1000.0,1.0,0.5579195842281897,50202,528,226,32,0.09639736517707218,0.0,37.75,168.09333333333333,0.28160895872861147,0.21891622612873712,0.17936639301478863,0.42900488391518593,2.2630477569582967,0.0,2.2630477569582967,4.440892098500626e-16,1.065,0.9642265572572549,0.6742943169383148
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.7869864815473556,0.6016736862063408,0.5526069210947834,0.03343129903078079,2.219726255933444,1000.0,1.0,0.3837667229639951,50027,345,218,30,0.06501256102213825,0.0,18.142857142857142,167.48333333333332,0.21199408599308558,0.7384007711211841,0.3627740740776062,1.5538083668549856,2.3031978481431916,0.0,2.3031978481431916,4.440892098500626e-16,1.08,0.963943047170846,0.6709807596592031
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.7845164802670479,0.6106930780410766,0.33438206332952786,0.030772153796120125,7.3601525751749675,1000.0,0.990909090909091,0.2170426507822742,50023,541,417,91,0.0809942865080972,0.0,11.272727272727273,168.13333333333333,0.4250886846672405,2.440891563495,0.6893410411748019,5.152106722195943,2.344539209861967,0.0,2.344539209861967,8.881784197001252e-16,1.095,0.9630457857266523,0.6673572207979676
