algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.7759679779410362,0.6374789154529572,nan,0.03802792578935623,0.03802651473631462,1000.0,nan,nan,0,10,0,50210,0.09518836222436187,0.07566275260956988,0.0,0.03333333333333333,0.5129209011793137,0.14175628828505674,0.9731046617031097,0.2725197798013687,1.556857173631695,1.556857173631695,1.5568571736316952,0.0,0.795,0.9772127279364878,0.7161515242869
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.7767369830608368,0.634373101592064,nan,0.036270635918929026,0.03761099879940351,1000.0,0.0,nan,0,41,0,51391,0.10125459600849095,0.07389957506796366,0.07692307692307693,0.13333333333333333,0.424539464024397,0.1377253573636214,0.5517403850188622,0.26582648321986196,1.5961356544147975,1.5961356544147975,1.5961356544147978,4.440892098500626e-16,0.81,0.9761111725426956,0.7110374847417824
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.7778779798746109,0.631005951166153,nan,0.034999282522635025,0.03712667336066564,1000.0,nan,nan,0,255,0,50825,0.10876475764203507,0.07222895435926908,0.0,0.85,0.42995369976217096,0.13406491542855897,0.5778141509402882,0.2596499518056711,1.6303152389903997,1.6303152389903999,1.6303152389903999,2.220446049250313e-16,0.825,0.9753286342334376,0.7095396883852516
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.7784264805912972,0.6286986142396926,nan,0.03529327486952146,0.03662720876435439,1000.0,0.0,nan,0,35,0,50429,0.10328099998242464,0.07063722161329491,0.16666666666666666,0.11333333333333333,0.44272104154030484,0.13195181004703044,0.5403591940800349,0.257300023684899,1.6656394806877939,1.6656394806877937,1.6656394806877939,4.440892098500626e-16,0.84,0.9750977308860767,0.7061080618904427
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.779245979487896,0.6261888659000396,nan,0.035872149467468264,0.03647773781170448,1000.0,0.0,nan,0,144,0,50544,0.1031545563053287,0.06914023987083813,0.1,0.4766666666666667,0.5121923834085464,0.12925502993166446,0.7058475226163864,0.2510019662976265,1.7021545775828013,1.702154577582801,1.7021545775828018,4.440892098500626e-16,0.855,0.9743182715753227,0.7031781690344252
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.7800739794969559,0.6230102449655532,nan,0.035092183906171054,0.03611576981221636,1000.0,0.0,nan,0,606,0,51234,0.13595468694152832,0.06781247637343753,0.16666666666666666,2.01,0.5523062745730082,0.12604746833443642,0.5244086583455404,0.2432847443719705,1.7399113538860758,1.7399113538860755,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9719577476689615,0.7046100250547718
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.7806874802708625,0.6207515573501587,nan,0.03401355445384979,0.03553115519384543,1000.0,0.0,nan,0,136,0,50502,0.08995421775815475,0.066489142271571,0.1,0.45,0.385442291200161,0.12352260532478491,0.6209729820489883,0.24002805978059769,1.7789660529514504,1.7789660529514504,1.7789660529514502,2.220446049250313e-16,0.885,0.9711906525821847,0.703224914753279
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.7815634801983833,0.6183676791191101,nan,0.03801696954502,0.03554352776457866,1000.0,nan,nan,0,228,0,50978,0.08429875675875932,0.06532594468187376,0.0,0.76,0.263999558157391,0.12037726553777854,0.38973122504022384,0.23327516987919808,1.8193813121440445,1.8193813121440439,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9708700289884371,0.7011506250252401
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.782446480691433,0.6162591674923896,nan,0.03466773172840476,0.03503519515817364,1000.0,0.0,nan,0,430,0,51082,0.09907499118601769,0.06416811046306585,0.1875,1.4233333333333333,0.37666031066328287,0.11772215269505977,0.5553327929228544,0.2283521819114685,1.8612273687051581,1.861227368705158,1.861227368705158,2.220446049250313e-16,0.915,0.9692291402065978,0.7016119328089948
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.7828829818964005,0.6142344397306442,nan,0.035017369935909905,0.03498932359119256,1000.0,nan,nan,0,160,0,50336,0.11032009783637801,0.06307508550173224,0.0,0.5333333333333333,0.4768330901861191,0.11612350443998973,0.6066752175490061,0.2259522047638893,1.9045835603521555,1.9045835603521566,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9690013637714923,0.7019671416119857
