algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.387102109771749,0.8789023107290268,0.4231988293925921,0.8451501727316271,1.0499191127717495,277.927702255249,1000.0,0.3478176073027211,1.0,30277,562,79,138,0.22718508020043374,7.29001216173172,5968.813957465855,0.0,0.6713890600374324,0.0,151.30973205566406,0.0,3.2614683601196535,0.0,151.30973205566406,0.0,0.6713890600374324,0.0,0.8250779047608375,0.0,3.2614683601196535,1.1748285225257455,0.8250779047608375,0.6713890600374324,10.087315470377604,397.92093049772365
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.387102109771749,0.878217979768912,0.42459524641434354,0.9023953653682456,1.2061144697169464,351.3015955352783,1000.0,0.48179312583423717,1.0,30617,939,68,152,0.41453362194200355,6.383759006261825,6299.35402614113,0.0,0.6857528435783751,0.0,154.78995831807455,0.0,3.379967443476844,0.0,154.78995831807455,0.0,0.6857528435783751,0.0,0.7812217498819033,0.0,3.379967443476844,1.1696538744231355,0.7812217498819033,0.6857528435783751,12.383196665445963,503.94832209129044
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.387102109771749,0.8814236440261205,0.4014465604225794,0.9115946002181412,1.0454753359158835,416.02997528076173,1000.0,0.5084766314623085,1.0,30269,422,74,137,0.7813700556755065,7.345398083329201,6615.862312218357,0.0,0.697913793947023,0.0,157.4842559814453,0.0,3.433645270417418,0.0,157.4842559814453,0.0,0.697913793947023,0.0,0.7464920202891032,0.0,3.433645270417418,1.1632045620502858,0.7464920202891032,0.697913793947023,7.874212799072265,330.79311561091777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.387102109771749,0.8819339764118195,0.39890737225612005,0.9375347002215406,1.3702201892932255,485.54746322631837,1000.0,0.6649592329210801,1.0,30294,402,73,135,1.5338262220223744,7.880175079703331,5727.431093304993,0.0,0.731718815356534,0.0,165.24612045288086,0.0,3.459079345457488,0.0,165.24612045288086,0.0,0.731718815356534,0.0,0.6667213899393877,0.0,3.459079345457488,1.173523228499898,0.6667213899393877,0.731718815356534,6.609844818115234,229.0972437321997
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.387102109771749,0.8817229779561361,0.40036670784155526,0.8405714430424642,1.3568371552973986,556.0461177825928,1000.0,0.42602721891669093,1.0,30171,419,101,111,0.5716041382402182,10.031412104666233,6581.53544417298,0.0,0.6896851863159348,0.0,155.57260131835938,0.0,3.516333838799252,0.0,155.57260131835938,0.0,0.6896851863159348,0.0,0.7372242547571659,0.0,3.516333838799252,1.1714914634567284,0.7372242547571659,0.6896851863159348,8.297205403645833,351.0152236892256
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.5260080853606715,0.8817373096942902,0.3989561034242312,0.9292702870919779,1.2637347616255283,655.6721087646484,1000.0,0.544555577350815,1.0,30436,564,56,156,0.6056042481213808,6.54959332704544,6132.3774114373155,0.0,0.6407996857762863,0.0,144.69715881347656,0.0,3.600379644765075,0.0,144.69715881347656,0.0,0.6407996857762863,0.0,0.8239040561020374,0.0,3.600379644765075,1.1733215270791746,0.8239040561020374,0.6407996857762863,7.717181803385417,327.06012860999016
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.5260080853606715,0.8821779769659043,0.39690456618865333,0.8852757111193079,1.2371212259719246,708.6911818695069,1000.0,0.5542551101408951,1.0,30464,691,77,138,0.5503160420217013,7.1435014981031415,6269.614878971886,0.0,0.7037606026298608,0.0,158.87886609529195,0.0,3.6573711927432084,0.0,158.87886609529195,0.0,0.7037606026298608,0.0,0.6791093427883951,0.0,3.6573711927432084,1.189473919703815,0.6791093427883951,0.7037606026298608,10.062328186035156,397.07560900155283
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,5.533195264183244,0.8821649771928787,0.39677315334479013,0.9232840991248839,1.647320373190774,778.1078982162476,1000.0,0.7195369999565596,1.0,30893,963,15,199,1.4645156893465254,3.5869318652153015,6267.3989118551235,0.0,0.6748334303001555,0.0,152.3770048353407,0.0,3.7298546289973378,0.0,152.3770048353407,0.0,0.6748334303001555,0.0,0.7278759115272098,0.0,3.7298546289973378,1.1737034179723442,0.7278759115272098,0.6748334303001555,9.142620290120442,376.0439347113075
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,5.5953649914820724,0.8822059764464696,0.39627794126669563,0.8937759537483241,1.2357216869529926,794.0462521743774,1000.0,0.6437176449349217,1.0,30575,757,59,157,0.5933662339260704,5.955388411432505,6186.806702257634,0.0,0.6611189547434327,0.0,149.2167286119963,0.0,3.7776278973000186,0.0,149.2167286119963,0.0,0.6611189547434327,0.0,0.7368413523623818,0.0,3.7776278973000186,1.1993806092497294,0.7368413523623818,0.6611189547434327,9.4503928120931,391.8310911429835
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,5.828091133818005,0.8822923129796982,0.3962024305264155,0.8887228321153164,1.4200622998178005,848.3024577713013,1000.0,0.5136295648389021,1.0,30361,574,93,118,1.1203065477311611,10.72176107764244,5965.602070144874,0.0,0.6468517068134954,0.0,146.02310466766357,0.0,3.8175768164811354,0.0,146.02310466766357,0.0,0.6468517068134954,0.0,0.7562097571790218,0.0,3.8175768164811354,1.2237755215218784,0.7562097571790218,0.6468517068134954,7.787898915608724,318.16544374105996
