algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,52,4.698821970384835,0.3018569920361042,2.8124845995903014,0.0,4.487325352668762,0.0,4.0,0.0,0.0,39.81435121808733,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,53,4.729217448527348,0.3038537917733192,2.822701645851135,0.0,4.487327333450318,0.0,4.0,0.0,0.0,39.66470631686124,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,54,4.759612926669861,0.30499859201908114,2.840843111038208,0.0,4.4874852781295775,0.0,4.0,0.0,0.0,39.77358114719391,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,55,4.790008404812373,0.3078361926674843,2.845709946632385,0.0,4.4877813606262205,0.0,4.0,0.0,0.0,39.66687640021829,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,56,4.820403882954886,0.3096933925151825,2.858587754487991,0.0,4.487158016204834,0.0,4.0,0.0,0.0,39.95657730102539,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,57,4.8507993610973985,0.3120831928551197,2.8657710797786713,0.0,4.4862675981521605,0.0,4.0,0.0,0.0,39.72435515267508,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,58,4.881194839239911,0.3140243919193745,2.8757368750572203,0.0,4.485665793418884,0.0,4.0,0.0,0.0,39.753870844841,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,59,4.911590317382424,0.3156887919306755,2.8882587683200835,0.0,4.48719400024414,0.0,4.0,0.0,0.0,39.853210615075156,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,60,4.941985795524936,0.31774639213085176,2.902507368564606,0.0,4.48754054069519,0.0,4.0,0.0,0.0,39.84422588348389,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,61,4.972381273667449,0.31932899194955827,2.906712990283966,0.0,4.48738648891449,0.0,4.0,0.0,0.0,39.707830722515396,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,62,5.002776751809962,0.32072979244589805,2.9215976490974427,0.0,4.485960710525513,0.0,4.0,0.0,0.0,39.712244327251724,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,63,5.033172229952474,0.3226995918750763,2.9308238966464994,0.0,4.486346452713013,0.0,4.0,0.0,0.0,39.71010649204254,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,64,5.063567708094987,0.32392599222064017,2.949312759876251,0.0,4.486569356918335,0.0,4.0,0.0,0.0,39.5646904536656,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,65,5.0939631862375,0.32501079121232035,2.960476393222809,0.0,4.486420666694641,0.0,4.0,0.0,0.0,39.51705463115986,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,66,5.124358664380012,0.32639939251542094,2.975589268684387,0.0,4.487149625778199,0.0,4.0,0.0,0.0,39.712324676513674,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,67,5.154754142522525,0.3280803916454315,2.9877409420013428,0.0,4.487205919265747,0.0,4.0,0.0,0.0,39.7861653031974,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,68,5.185149620665038,0.3299607912302017,3.0014070196151734,0.0,4.486161633491516,0.0,4.0,0.0,0.0,39.72874450683594,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,69,5.21554509880755,0.33141179114580155,3.0167654056549074,0.0,4.487736040115356,0.0,4.0,0.0,0.0,39.86678956684313,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,70,5.245940576950063,0.3334553914070129,3.024899127483368,0.0,4.486871263504028,0.0,4.0,0.0,0.0,39.72066701253255,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,71,5.2763360550925755,0.3352985915839672,3.03660156917572,0.0,4.486965831756592,0.0,4.0,0.0,0.0,39.81943980130282,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,72,5.306731533235088,0.33577039191126823,3.056189970970154,0.0,4.48713624382019,0.0,4.0,0.0,0.0,39.717434844970704,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,73,5.337127011377601,0.3367169910371304,3.0720405626296996,0.0,4.4878307771682735,0.0,4.0,0.0,0.0,39.75866973400116,0.0
