algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.8724409784873327,0.46896281202634177,nan,0.042560686183472474,0.044679310228675606,,nan,nan,0,0,0,30930,5.660674317677816,5.6401162791252135,9.583314720943834,9.548510713075085,38.13333333333333,151.79
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.8734493128458659,0.46241394837697347,nan,0.04124097570776939,0.04344300063326955,,nan,nan,0,0,0,30858,5.679048220316569,5.65627423286438,9.550538105902985,9.512238759507689,42.833333333333336,151.72
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.8743619781732559,0.456262384057045,nan,0.04005737694601218,0.042264974545687437,,nan,nan,0,0,0,30894,5.69752729856051,5.671926689147949,9.517949662380259,9.475182809507688,41.46153846153846,151.775
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.8751719778776169,0.4508960852026939,nan,0.039072229017814,0.04121734671294689,,nan,nan,0,0,0,31368,5.715949142680449,5.687109384536743,9.485277660106348,9.437419796641334,48.411764705882355,152.725
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.8759266432126364,0.4457291198770205,nan,0.03807412159939607,0.04038112537935376,,nan,nan,0,0,0,31238,5.729963162366082,5.701895308494568,9.44535370366917,9.399086249584897,43.64705882352941,152.48
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.8766529778639476,0.4409910229841868,nan,0.037070385900636514,0.039501628633588554,,nan,nan,0,0,0,31418,5.744178682565689,5.716277539730072,9.405871477182993,9.36018442981191,51.0,153.01
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.8772686435778936,0.43668311546246213,nan,0.03642297363529603,0.0387697721272707,,nan,nan,0,0,0,31504,5.761222319169478,5.730282127857208,9.371097085333282,9.320770345526466,42.36363636363637,152.86
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.8778069800138474,0.43269259164730706,nan,0.035595396993060906,0.03814655605703592,,nan,nan,0,0,0,30888,5.778871178627014,5.7439369869232175,9.337347450432494,9.280901705968631,43.833333333333336,151.81
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.8784129784504573,0.4289680287241936,nan,0.034790100529789925,0.037221690732985736,,nan,nan,0,0,0,30856,5.7994262621952934,5.757265660762787,9.308297185617993,9.240627835252011,40.15384615384615,151.67
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.8789556451638539,0.42555943061908086,nan,0.03408027805387974,0.03670906765386462,,nan,nan,0,0,0,30810,5.804891347885132,5.770303056240082,9.255161647895875,9.200015011875525,40.833333333333336,151.6
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.8794636440277099,0.42232456237077715,nan,0.03340343880156676,0.03597145020961762,,nan,nan,0,0,0,32356,5.820351393326469,5.783049840927124,9.218151081577961,9.159073661271547,58.69565217391305,155.03
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.8800046430031458,0.41932199567556383,nan,0.03281739658986529,0.03539524106308818,,nan,nan,0,0,0,30774,5.83057717482249,5.795543291568756,9.172988903628166,9.117871646330686,40.0,151.47
