algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8358199787139893,0.7399157553911209,nan,0.09326114166866649,0.11809848129749298,1000.0,nan,nan,0,0,0,51156,0.25253606037411236,0.37408486364387744,2.2799469232559204,1.4080803020795187,0.6852937746268957,0.6852937746268957,0.0,0.0,0.9650979583913629,0.757396276195844,0.6852937746268957,0.0,0.44999999999999996,0.9920874172605743,0.8225397449046983
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.8413459789752961,0.6964060792326927,nan,0.08757208918149655,0.10634230193992456,1000.0,nan,nan,0,0,0,51594,0.26275053651517866,0.33333272855345975,2.0204512981268077,1.2349565001328786,0.7214611380882578,0.7214611380882577,0.0,0.0,0.9645280196116521,0.6747960533698399,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.991072630823854,0.8043237119205705
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8458549797534942,0.6603454077243804,nan,0.0813295291736722,0.09592182459930579,1000.0,nan,nan,0,0,0,50592,0.2626886476033241,0.2959625044444164,2.6161146610975266,1.0646760751803717,0.7596944884031196,0.7596944884031195,0.0,0.0,1.2731562107801437,0.591679683526357,0.7596944884031196,0.0,0.48,0.9906399098120575,0.8003910107373065
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8494114780426025,0.630361644923687,nan,0.07317214161157608,0.08727843100825945,1000.0,nan,nan,0,0,0,50896,0.22826992226177967,0.263272386573701,1.7571046710014344,0.9652567032972972,0.8001526997791858,0.8001526997791857,0.0,0.0,0.8760960817337036,0.5273894485831261,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9898596811596341,0.7907642385611549
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.85307147949934,0.6046310338377953,nan,0.06851499634129661,0.07983664078017076,1000.0,nan,nan,0,0,0,50650,0.21216143401512116,0.2348473513348329,1.5693938391549247,0.8650733675559362,0.843046436713245,0.8430464367132453,0.0,0.0,0.7671584529536111,0.47176368872324626,0.843046436713245,1.1102230246251565e-16,0.51,0.9895739547743646,0.783177732009087
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8557744759321213,0.5829718264937401,nan,0.06450894102454185,0.07348260477185249,1000.0,0.0,nan,0,60,0,50638,0.21317812950076978,0.2105013842986222,1.7022238704893324,0.7611540081103643,0.8793723681465165,0.8793723681465166,0.1111111111111111,0.19666666666666666,0.8561145729488797,0.4193712563316027,0.8793723681465164,1.1102230246251565e-16,0.525,0.9889657948177039,0.7802907517003868
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.858378980755806,0.5639521247148513,nan,0.061219632253050806,0.06828864755729834,1000.0,nan,nan,0,169,0,51101,0.21617081700528903,0.19002964649424847,1.2641844630241394,0.703821518222491,0.9126284626054436,0.9126284626054435,0.0,0.5633333333333334,0.7388296544551849,0.3804132012526194,0.9126284626054437,0.0,0.54,0.988412917844923,0.7717527906971421
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.8603849762678146,0.5476959893107414,nan,0.05744593455032869,0.06386716948201258,1000.0,nan,nan,0,66,0,50926,0.19019782818057526,0.17296743588602637,1.2797336415811018,0.6319328000148138,0.947462263761002,0.947462263761002,0.0,0.22,0.7343570833856409,0.3440018338958422,0.9474622637610021,0.0,0.555,0.9875744283628195,0.7660273443567475
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.8626479807496071,0.5334575814008713,nan,0.05453398158507688,0.06010497633367777,1000.0,nan,nan,0,131,0,51043,0.18137662115607014,0.15861495879276666,1.1877671991075789,0.5883465494712193,0.9839586158871577,0.9839586158871577,0.0,0.43666666666666665,0.7284910040242332,0.3149156430363655,0.9839586158871577,0.0,0.57,0.9860816216377859,0.7561421045983748
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.8642534786462783,0.5206646022200584,nan,0.05316358059644699,0.05682877715677023,1000.0,0.0,nan,0,219,0,50651,0.18446383987376316,0.14654652826749578,1.1756834520234003,0.5300184733668963,1.0222165407481023,1.0222165407481023,0.1111111111111111,0.7266666666666667,0.6994462741745843,0.286530046860377,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854739213408993,0.7554796132002517
