algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,63,6.502725229496906,0.8832203781604767,0.3900506989955902,0.0,1.4797598933801055,0.0,1000.0,0.0,0.0,138.365704536438,0.0,138.365704536438,0.0,5684.623881682901,0.0,29.852497339248657,0.0,0.6136194491124702,0.0,4.241090940109351,0.0,0.6136194491124702,0.0,0.7472808314487338,0.0,4.241090940109351,1.389523087759518,0.7472808314487338,0.6136194491124702,8.855405090332031,363.81592842770567
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,64,6.502725229496906,0.8830213776826858,0.3902508175969124,0.0,1.5682976788708143,0.0,1000.0,0.0,0.0,138.43325696672713,0.0,138.43325696672713,0.0,5570.135240713139,0.0,34.813620805740356,0.0,0.6135282176309983,0.0,4.310629763801362,0.0,0.6135282176309983,0.0,0.7476327536361558,0.0,4.310629763801362,1.3802825527315994,0.7476327536361558,0.6135282176309983,7.7522623901367185,311.92757347993575
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,65,6.502725229496906,0.8831615786552429,0.38983048021793365,0.0,1.359527234847729,0.0,1000.0,0.0,0.0,136.6574261005108,0.0,136.6574261005108,0.0,5930.653493408267,0.0,20.08595345570491,0.0,0.6056684780971472,0.0,4.355984609378502,0.0,0.6056684780971472,0.0,0.7738411655792823,0.0,4.355984609378502,1.3913716914286691,0.7738411655792823,0.6056684780971472,7.1061861572265625,308.39398165723
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,66,6.502725229496906,0.8832659766674041,0.38948863357305524,0.0,1.2825709366798401,0.0,1000.0,0.0,0.0,135.58492919921875,0.0,135.58492919921875,0.0,5911.416988581255,0.0,15.873257598876954,0.0,0.6012949799454178,0.0,4.40596058271675,0.0,0.6012949799454178,0.0,0.7670143795013428,0.0,4.40596058271675,1.3882674693971258,0.7670143795013428,0.6012949799454178,6.779246459960937,295.5708494290628
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,67,6.502725229496906,0.8831923778057098,0.3895409305691719,0.0,1.342451338110299,0.0,1000.0,0.0,0.0,136.10058383283945,0.0,136.10058383283945,0.0,5879.011571589979,0.0,22.254154698602086,0.0,0.6031534906825498,0.0,4.486154350786644,0.0,0.6031534906825498,0.0,0.7897154688835144,0.0,4.486154350786644,1.3523929417761509,0.7897154688835144,0.6031534906825498,7.893833862304687,340.9826711522187
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,68,6.502725229496906,0.8831083780527115,0.3897177622914314,0.0,1.5058526326628292,0.0,1000.0,0.0,0.0,136.45853648466223,0.0,136.45853648466223,0.0,5938.305196886519,0.0,33.98910469167373,0.0,0.6054263618480822,0.0,4.565742841656859,0.0,0.6054263618480822,0.0,0.7538679645341986,0.0,4.565742841656859,1.3387079593415148,0.7538679645341986,0.6054263618480822,9.27918048095703,403.8047533882833
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,69,6.502725229496906,0.8832047779560089,0.3892344259023666,0.0,1.1522093415260315,0.0,1000.0,0.0,0.0,135.80738107781661,0.0,135.80738107781661,0.0,6286.993622895567,0.0,8.451470751511422,0.0,0.6024007891450814,0.0,4.609703555778054,0.0,0.6024007891450814,0.0,0.7824965840891788,0.0,4.609703555778054,1.3157867126392502,0.7824965840891788,0.6024007891450814,5.160680480957032,238.90575767003153
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,70,6.502725229496906,0.883201376914978,0.3890931230187416,0.0,1.721702774365743,0.0,1000.0,0.0,0.0,135.48481241861978,0.0,135.48481241861978,0.0,5843.842205352221,0.0,17.81695836385091,0.0,0.6002290721471663,0.0,4.63983497234804,0.0,0.6002290721471663,0.0,0.7578953862190246,0.0,4.63983497234804,1.3148935140953588,0.7578953862190246,0.6002290721471663,4.0645443725585935,175.3152661605666
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,71,6.695155160195221,0.8832121778726578,0.3891121252775192,0.0,1.3686198890209198,0.0,1000.0,0.0,0.0,135.5340021306818,0.0,135.5340021306818,0.0,6099.8661667846545,0.0,16.951987960121848,0.0,0.6002418799725512,0.0,4.669645005041126,0.0,0.6002418799725512,0.0,0.7585921585559845,0.0,4.669645005041126,1.3232637941672085,0.7585921585559845,0.6002418799725512,5.96349609375,268.3941113385248
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,72,6.695155160195221,0.8832219774723054,0.3891624274849892,0.0,1.5474050736427307,0.0,1000.0,0.0,0.0,135.25713684082032,0.0,135.25713684082032,0.0,6224.658533827844,0.0,24.80458953857422,0.0,0.6003239179550571,0.0,4.725526752295091,0.0,0.6003239179550571,0.0,0.7710497355461121,0.0,4.725526752295091,1.3064298936326313,0.7710497355461121,0.6003239179550571,6.762856842041016,311.2329266913922
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,73,6.695155160195221,0.8830395786762237,0.3895672742128372,0.0,1.5892881024628878,0.0,1000.0,0.0,0.0,135.9640884399414,0.0,135.9640884399414,0.0,6195.385379204186,0.0,35.208914279937744,0.0,0.6033098373078584,0.0,4.78938101648973,0.0,0.6033098373078584,0.0,0.7424532454460859,0.0,4.78938101648973,1.2987193510944122,0.7424532454460859,0.6033098373078584,8.70170166015625,396.5046642690679
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,74,6.695155160195221,0.8830641776323318,0.3894339637756348,0.0,1.4724457922081153,0.0,1000.0,0.0,0.0,135.49036280314127,0.0,135.49036280314127,0.0,6465.391318374921,0.0,24.204420884450276,0.0,0.6002290721471661,0.0,4.83848333204375,0.0,0.6002290721471661,0.0,0.7780133858323097,0.0,4.83848333204375,1.280676651127697,0.7780133858323097,0.6002290721471661,6.503537414550781,310.3387832819962
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,75,6.922417750484311,0.8829889781475068,0.3897252932190895,0.0,1.6194340724211473,0.0,1000.0,0.0,0.0,135.62596130371094,0.0,135.62596130371094,0.0,6145.014442479452,0.0,27.94615914271428,0.0,0.6018252629881039,0.0,4.871275319498072,0.0,0.6018252629881039,0.0,0.7307303845882416,0.0,4.871275319498072,1.2868578093506455,0.7307303845882416,0.6018252629881039,7.052549987792969,319.5407510089314
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,76,7.01859670680247,0.8829275767803192,0.3898824996352196,0.0,1.5763383380004339,0.0,1000.0,0.0,0.0,135.44183494931175,0.0,135.44183494931175,0.0,6141.492542039456,0.0,22.44745345342727,0.0,0.6002290721471659,0.0,4.915821416780886,0.0,0.6002290721471659,0.0,0.7612449214571998,0.0,4.915821416780886,1.256956382866938,0.7612449214571998,0.6002290721471659,5.688557067871094,257.9426867656572
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,77,7.01859670680247,0.882733578324318,0.3904638595581055,0.0,1.8121063609917958,0.0,1000.0,0.0,0.0,135.51269149780273,0.0,135.51269149780273,0.0,6165.962516120329,0.0,35.873441537221275,0.0,0.6002290721471661,0.0,4.949967929494612,0.0,0.6002290721471661,0.0,0.7545200313131014,0.0,4.949967929494612,1.2600122358342813,0.7545200313131014,0.6002290721471661,6.504609191894532,295.9662007737758
