algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.8553496448198954,0.594129560192426,nan,0.06715600033601125,0.08332863088697195,,0.0,nan,0,30426,0,206,0.14220006075791186,0.6057905794680118
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.8581279788414637,0.5732585350672404,nan,0.06301134300728639,0.08111404415220022,,0.0,nan,0,31036,0,214,0.14818012237083167,0.6041521918773651
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.8604523120323817,0.5551374604304632,nan,0.059459624166289964,0.07810526665300131,,0.0,nan,0,30792,0,210,0.175151093270291,0.6048696967959404
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.8625269794464111,0.5393840330839157,nan,0.056362411292890706,0.0772776435315609,,0.0,nan,0,30841,0,213,0.13054205279331654,0.6179043005406857
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.8645903098583222,0.525565570195516,nan,0.05383730134616296,0.07601686825975776,,0.0,nan,0,30644,0,214,0.10314909683074802,0.6484576041996479
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.8662886460622151,0.5132783623536428,nan,0.051366358026862145,0.07394898457452655,,0.0,nan,0,30811,0,209,0.18928243219852448,0.6246635323762894
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.8678083123763403,0.502338565091292,nan,0.049180169589817524,0.07239582320675254,,0.0,nan,0,30519,0,213,0.09735491760075092,0.6216909505426884
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.869244312842687,0.4925536482532819,nan,0.04730800992498795,0.07090806705877185,,0.0,nan,0,30601,0,209,0.13746198437487087,0.6104298414289951
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.8705769777297974,0.48364507327477135,nan,0.04558985718836387,0.07061564030125737,,0.0,nan,0,31162,0,216,0.1420388538880568,0.6237272520363331
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.8716586444775264,0.475659588376681,nan,0.044008328715960186,0.0700092900544405,,0.0,nan,0,30464,0,210,0.10134439331551011,0.6342104087769985
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.8725636440515518,0.46856030881404875,nan,0.04267954750607411,0.06929324274882674,,0.0,nan,0,30717,0,213,0.11873693677286307,0.647138235270977
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.8736406445503235,0.4619791749119759,nan,0.04139989171177149,0.06876720855012536,,0.0,nan,0,30650,0,208,0.14883322470510998,0.6318504427373409
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.8745126456022263,0.4558117009202639,nan,0.040201790171364944,0.06689356993883848,,0.0,nan,0,30684,0,210,0.12903500742350632,0.626808203458786
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.8753349802891414,0.45045002152522406,nan,0.039192534647881985,0.06774888027459383,,0.0,nan,0,31152,0,216,0.14771619570605896,0.6439712674915791
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.8761629790067673,0.4452638180057208,nan,0.03821903982510169,0.06694094570353627,,0.0,nan,0,31021,0,217,0.13595869956428513,0.6411057542264461
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.8768773104747136,0.4405143027504285,nan,0.03721588585525751,0.06739587614312768,,0.0,nan,0,31204,0,214,0.1697187517711427,0.6543295560777187
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.8774493116140366,0.43620598544677097,nan,0.03656307549526294,0.06848715798929333,,0.0,nan,0,31284,0,220,0.1307236494665796,0.687257449477911
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.8780166447162628,0.4322058214743932,nan,0.03578038122504949,0.0677226265333593,,0.0,nan,0,30678,0,210,0.15077354611518481,0.7006492482125759
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.8786686438322068,0.4284286081790924,nan,0.034934389690558114,0.06892293620854616,,0.0,nan,0,30645,0,211,0.13335654555031887,0.7439979261159897
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.8791899782419205,0.42503249913454055,nan,0.03419849380850792,0.06980031333863736,,0.0,nan,0,30600,0,210,0.1474691869613404,0.7654373100399972
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.879694643219312,0.42183457732200624,nan,0.03357140023261309,0.07118136696517467,,0.0,nan,0,32133,0,223,0.20961990341058243,0.7972523233294487
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.8802309783299764,0.4187741809089979,nan,0.03304173239817222,0.07231883063912392,,0.0,nan,0,30564,0,210,0.13693934585899115,0.8758031791448593
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.8805529777208964,0.41601804763078687,nan,0.03241668424258629,0.07163410361856222,,0.0,nan,0,30719,0,211,0.17338578979251906,0.8366719575226307
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.881046977241834,0.4134164443612099,nan,0.03187797486782074,0.07279153514653444,,0.0,nan,0,30060,0,208,0.0636287804862315,0.8762641379237175
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.8813779785235722,0.41103099048137665,nan,0.03131923133507371,0.07356025408953429,,0.0,nan,0,31179,0,223,0.1192400148526455,0.8916563639044761
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.8817009770870209,0.40869732121626534,nan,0.030927138223002356,0.07404284529387951,,0.0,nan,0,30447,0,211,0.1181342972155947,0.900368845462799
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.8820449795325597,0.40651668429374693,nan,0.030221025925129652,0.07378487946465612,,0.0,nan,0,30853,0,213,0.17240805123001338,0.883728820681572
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.8824806445837021,0.404469268421332,nan,0.029860241649051506,0.07388633770868182,,0.0,nan,0,31206,0,220,0.13210848030512748,0.8875815722346306
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.8826673110326131,0.4025957773129145,nan,0.029479900126655897,0.0736625761911273,,0.0,nan,0,31105,0,211,0.2215129062699686,0.8782718989253044
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.8829469778140386,0.4008192091186841,nan,0.029095852747559547,0.07373693516477943,,0.0,nan,0,31007,0,217,0.15413484210148454,0.8922538557648658
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.8832489760716756,0.3991852068901062,nan,0.028721459563821553,0.07489623846486211,,0.0,nan,0,31097,0,215,0.1782239246596065,0.9281626346707345
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.8835019779205322,0.39762017399072647,nan,0.028289097249507903,0.0754533352330327,,0.0,nan,0,31568,0,218,0.20844421345030978,0.9212658205628395
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.8838693110148111,0.39598658482233684,nan,0.027887022842963537,0.07578830307349563,,0.0,nan,0,30769,0,209,0.2606692144816572,0.9140077900886535
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.8839829762776693,0.39473014762004216,nan,0.027515635148932537,0.07553935963660478,,0.0,nan,0,31540,0,216,0.27478715169298296,0.9222649723291397
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.8842519799868266,0.39346098055442175,nan,0.027218657049039998,0.07659798141568899,,0.0,nan,0,30385,0,211,0.14761843904852867,1.0221041786670684
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.8845203123490015,0.39210300316413244,nan,0.027013055880864462,0.08104494761675596,,0.0,nan,0,30477,0,211,0.19651885497891766,1.1212506538629532
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.8846826448043188,0.39093600581089655,0.8599191665337241,0.026410865454624097,0.8357266113162041,,0.6798461104106565,1.0,30389,415,22,190,23.07499887348552,118.4841044998169
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.8848653113842011,0.38987770636876423,0.9738973599626772,0.026147994411488375,0.9442304643988609,,0.60428638019598,1.0,30353,352,31,178,32.808058952531695,171.13514892578124
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.8815083115796248,0.4827394813299179,0.895778519240971,0.025925940784315267,1.3173333904147149,,0.5847341790784,0.9957013018914272,30273,494,127,86,51.66911393973547,330.1646295928955
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.8592913129677375,4.156424702306588,0.8704605178423745,0.032443209700286385,3.0573895809054377,,0.6658192850529708,0.966539054460226,30147,549,208,2,548.7772553359197,1155.481291809082
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.8490066439410051,28.59981870641311,0.8914981308834808,0.11705684176335732,14.657679383754731,,0.538773125899717,0.9822915675334302,30320,759,208,7,2031.6325403572719,8516.11360107422
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.836934312582016,1316.5149912603697,0.9134619051643484,0.2822146567578117,108.41006690979003,,0.5974987912445179,0.9733724844012005,30107,494,207,4,47439.75515515923,118681.2820703125
