algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,91,6.2439386984921805,0.7940933134158452,4.834306180477142,0.7878189334886114,0.9788609176874161,763.7924066305161,1000.0,0.42652461474076786,1.0,29974,229,155,52,148.95406799316407,0.0,4.464844093497784,0.0,5064.683941734556,0.0,0.3932166710495949,0.0,0.5867238938808441,2017.3648241579533,148.95406799316407,0.0,0.6603297583015438,0.0,0.6603297583015438,0.0,4.464844093497784,1.1352185340194731,0.3932166710495949,0.6603297583015438,4.965135599772135,168.82279805781855
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,6.2439386984921805,0.7937973125775655,3.1212813530365624,0.8248235630186387,1.2300804199185222,912.1677352452278,1000.0,0.3814436899697776,1.0,30221,390,63,150,142.25538635253906,0.0,4.515225328325286,0.0,5277.555174855628,0.0,0.5007325003389269,0.0,0.8546342147747055,21.48826748524443,142.25538635253906,0.0,0.6298400889927993,0.0,0.6298400889927993,0.0,4.515225328325286,1.1381709830907103,0.5007325003389269,0.6298400889927993,7.5869539388020835,281.4696093256335
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,93,6.663631219479586,0.7941543128093084,2.936555993159612,0.9261673111560336,1.622539583593607,917.2801150751114,1000.0,0.5422268050902181,1.0,30334,496,74,138,138.768217086792,0.0,4.560752676282801,0.0,5175.535589115883,0.0,0.5641121827065945,0.0,1.19931111484766,157.63831418514252,138.768217086792,0.0,0.6146220413096288,0.0,0.6146220413096288,0.0,4.560752676282801,1.145372714512257,0.5641121827065945,0.6146220413096288,7.400971577962239,276.0285647528471
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,94,6.663631219479586,0.7944333118200302,3.4754820787906646,0.9529741047000415,0.997262796217745,932.9619059228897,1000.0,0.5815256398671271,1.0,30271,308,45,162,143.35798506303266,0.0,4.5983674874276215,0.0,5226.40874731657,0.0,0.48788105391643266,0.0,0.6979314061728391,101.5689926892519,143.35798506303266,0.0,0.6353389260940575,0.0,0.6353389260940575,0.0,4.5983674874276215,1.119018518267797,0.48788105391643266,0.6353389260940575,5.256459452311198,191.63498740160756
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,95,6.663631219479586,0.794127645889918,2.8261776828765868,0.8643420599703574,1.0249495082871842,944.5735572600365,1000.0,0.5084576335008648,1.0,30483,705,73,143,143.15724262438323,0.0,4.645780825688929,0.0,4870.004823552678,0.0,0.470190843861354,0.0,0.16414175535503187,818.6695520548523,143.15724262438323,0.0,0.6349065463318974,0.0,0.6349065463318974,0.0,4.645780825688929,1.1154351391640123,0.470190843861354,0.6349065463318974,9.066625366210937,308.4336388250029
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,96,7.083323740466992,0.7942186470826467,3.8685933536291124,0.7310236922072939,0.9456145703792572,1021.988428993225,1000.0,0.47347135561686526,1.0,30420,817,119,98,143.80021057128906,0.0,4.694790251280614,0.0,5184.046369485659,0.0,0.4542784683406353,0.0,0.19799832999706268,3196.892988752723,143.80021057128906,0.0,0.6372831618013889,0.0,0.6372831618013889,0.0,4.694790251280614,1.1168450867342592,0.4542784683406353,0.6372831618013889,9.586680704752604,345.60309129904385
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,97,7.083323740466992,0.7945503119627635,1.734902994632721,0.8880412896667497,1.242575243115425,1286.745286140442,1000.0,0.5070866529801017,1.0,30535,639,32,182,138.33027988009982,0.0,4.753206920856143,0.0,5169.436041877601,0.0,0.5471273453699218,0.0,0.5364888260761896,11.472184195220471,138.33027988009982,0.0,0.61318160481896,0.0,0.61318160481896,0.0,4.753206920856143,1.106689319053713,0.5471273453699218,0.61318160481896,8.29981679280599,310.1661625126561
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,98,7.083323740466992,0.7945533124605815,3.6922231390078863,0.9126679636920964,1.4805371463298798,1281.1605572247506,1000.0,0.5375162378252056,1.0,30024,179,115,90,135.6897487640381,0.0,4.776663787675198,0.0,5196.226802715513,0.0,0.5086434669792652,0.0,2.0267113149166107,2960.4169908475874,135.6897487640381,0.0,0.6022507873135617,0.0,0.6022507873135617,0.0,4.776663787675198,1.1053216819479084,0.5086434669792652,0.6022507873135617,3.618393300374349,138.56604807241368
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,99,7.083323740466992,0.7947029799222947,2.402216035525004,0.8921322833400606,0.984981489678224,1534.9206889200211,1000.0,0.4879091118221553,1.0,30242,279,38,171,142.1841189066569,0.0,4.793670095079865,0.0,5114.310708617853,0.0,0.4500946771974365,0.0,0.6354447330037752,18.12061493396759,142.1841189066569,0.0,0.6296759130722653,0.0,0.6296759130722653,0.0,4.793670095079865,1.1118155425006713,0.4500946771974365,0.6296759130722653,5.687364756266276,204.57242834471415
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,100,7.083323740466992,0.7949179780483245,1.3374244227011998,0.8931202664575248,1.6185965623174394,1545.7358796095848,1000.0,0.4672965618555556,1.0,30153,353,100,112,135.46146937779017,0.0,4.836177508403122,0.0,5467.857689355823,0.0,0.6213748731783458,0.0,1.901794697557177,1549.7440201461316,135.46146937779017,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,4.836177508403122,1.1048809208029244,0.6213748731783458,0.6002290721471661,6.321535237630209,255.16669216993847
