algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8347443135579428,0.7419005038340887,nan,0.09577841821469758,0.12005597945302725,1000.0,nan,nan,0,0,0,32034,0.0,0.0,0.6852937746268957,0.6852937746268957,0.2790124037096281,0.37825731209928243,1.1033068613002175,0.8158223909139634,2.511571721026772,1.5308889478445054,0.6852937746268957,0.0,0.44999999999999996,0.9918540478654616,0.816055171508967
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.840394312342008,0.6982173224290212,nan,0.08750621726115544,0.10805718258023261,1000.0,nan,nan,0,0,0,31680,0.0,0.0,0.7214611380882577,0.7214611380882578,0.264636759717538,0.3390911008762667,1.2135127186775208,0.7221048536896706,2.459590666823917,1.3221656507253647,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909972586451712,0.7997326889658588
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8450469799836476,0.6619313508272171,nan,0.08109586414965717,0.09788253054022789,1000.0,nan,nan,0,0,0,30700,0.0,0.0,0.7596944884031195,0.7596944884031196,0.2582488997063816,0.3020703443993789,1.3315908800471912,0.6431219932436943,2.8006480390375312,1.1783249074220656,0.7596944884031196,0.0,0.48,0.9906672488457241,0.7923068173859436
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8487826442718506,0.6319607845942179,nan,0.07466375827789307,0.08878803174942732,1000.0,0.0,nan,0,23,0,30953,0.11764705882352941,0.105,0.8001526997791857,0.8001526997791858,0.23364441772900507,0.26830937774882974,1.2225136090727413,0.562890515178442,2.1704438223558316,1.014190615415573,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.98961656217447,0.7868217532371382
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.8524156445264817,0.6058240121603012,nan,0.06957387593057421,0.0811306070163846,1000.0,0.0,nan,0,9,0,30623,0.1111111111111111,0.04,0.8430464367132453,0.843046436713245,0.23220382008791,0.2388919794042027,1.1445332037078009,0.5006419533491134,2.372971879111396,0.9141987508535385,0.843046436713245,1.1102230246251565e-16,0.51,0.9894216155337672,0.7832671490374473
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8553056450684865,0.5839550942182541,nan,0.06509745656512678,0.07473069421947003,1000.0,0.0,nan,0,115,0,31135,0.1875,0.56,0.8793723681465166,0.8793723681465165,0.2132146395387844,0.2140657854669438,0.9922702461481094,0.44757119432091713,1.8694592416286469,0.8195521265268326,0.8793723681465164,1.1102230246251565e-16,0.525,0.988757032728954,0.7786329942224712
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.8578109784921011,0.5648917271693548,nan,0.06175524775277485,0.06969610460102559,1000.0,nan,nan,0,177,0,30825,0.0,0.885,0.9126284626054435,0.9126284626054436,0.21617150227498294,0.1933757625100327,1.0166241336952557,0.4026756580173969,1.935065041888844,0.7370159611105919,0.9126284626054437,0.0,0.54,0.9884022979940991,0.7765394622949008
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.8600649780035019,0.5485267118612925,nan,0.057754634879529476,0.06554061515256762,1000.0,nan,nan,0,66,0,30988,0.0,0.33,0.947462263761002,0.947462263761002,0.18388984706263767,0.17612809616034977,0.8759915269911289,0.3704200215637684,1.6295056566596031,0.6952057594060898,0.9474622637610021,0.0,0.555,0.9876479969692463,0.767515720480801
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.8621633120377858,0.5341843916972479,nan,0.05506239621900022,0.06201707193627953,1000.0,nan,nan,0,111,0,30747,0.0,0.555,0.9839586158871577,0.9839586158871577,0.19484519723347365,0.16191921934931347,1.075655085965991,0.33795636862516404,1.58755599334836,0.6274656650424003,0.9839586158871577,0.0,0.57,0.9866804188477628,0.7613689185479641
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.8639646456638972,0.5213700192173322,nan,0.05236197872595354,0.058491373769938945,1000.0,0.0,nan,0,202,0,30818,0.09090909090909091,1.005,1.0222165407481023,1.0222165407481023,0.17173299388439142,0.14998939776127418,0.7562296417626467,0.3136920155584812,1.4037198424339294,0.5910646460950375,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9863040821887796,0.7564128731737092
