algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,77,3.4037917280656296,0.885352727919817,0.3820248507708311,0.9909788338751174,0.02063480196964173,2.7392114662884506e+18,1000.0,0.6317612942612942,1.0,10369,479,0,192,0.7798973634129479,1.917447991011385e+18,0.055018601968659944,0.0,0.5066564239206768,8.53067328608482e+17,3.4037917280656296,0.0,22.80952380952381,103.69,3.4037917280656296,0.0,1.4549999999999998,0.9417868772298578,0.29568426578340096
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,78,3.4512053828263247,0.8854149776697159,0.38190136387944223,0.9978341146552895,0.020724667236208916,inf,1000.0,0.9956935852113713,1.0,10457,560,0,63,0.9723012702805656,9.669520424755235e+18,0.04614157937991612,0.0,0.4984003348009927,4.3056908205361935e+18,3.4512053828263243,0.0,40.0,104.57,3.4512053828263243,4.440892098500626e-16,1.47,0.941567774535995,0.28992062977795735
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,79,3.499803714624289,0.8854659773409367,0.3818458166718483,0.9916350549557436,0.01991600219748522,nan,1000.0,0.8433333333333334,1.0,10137,240,0,173,0.7334428272749248,nan,0.04933063431593015,0.0,0.4434048188360114,nan,3.49980371462429,0.0,12.631578947368421,101.37,3.49980371462429,8.881784197001252e-16,1.485,0.9408969231998285,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,80,3.549629201256186,0.8854802274703979,0.38167324058711527,0.9973301959364677,0.01989264510895895,nan,1000.0,0.9284493284493285,1.0,10726,830,0,206,0.648881169764892,nan,0.04474502995571266,0.0,0.4025207226691039,nan,3.5496292012561854,0.0,36.08695652173913,107.26,3.5496292012561854,4.440892098500626e-16,1.5,0.9401443800529202,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,81,3.600727022539671,0.8855132266879082,0.38156401954591274,0.98039524739904,0.01987662480065697,nan,1000.0,0.8863007744586691,1.0,10387,491,0,142,0.8296292894764951,nan,0.05388120976554561,0.0,0.5307258367538452,nan,3.600727022539672,0.0,25.842105263157894,103.87,3.600727022539672,8.881784197001252e-16,1.515,0.9395758928365752,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,82,3.653145283543021,0.8855854776501656,0.38150502756237986,1.0,0.018960844725370407,nan,1000.0,1.0,1.0,9939,39,0,16,1.1008053421974182,nan,0.04175947468732635,0.0,0.5660364826520284,nan,3.6531452835430205,0.0,6.5,99.39,3.6531452835430205,4.440892098500626e-16,1.53,0.9395079096774052,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,83,3.706935258484402,0.8856134778261184,0.38146437287330626,0.9987864077669903,0.01910046332826217,nan,1000.0,0.6650641025641025,1.0,10310,416,0,132,0.6976189712683359,nan,0.0460031198194228,0.0,0.43455095920297837,nan,3.706935258484401,0.0,23.11111111111111,103.1,3.706935258484401,8.881784197001252e-16,1.5450000000000002,0.9390208628622212,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,84,3.7621516572892535,0.8854332290589809,0.3820060841739178,0.998410174880763,0.01939484491944313,nan,1000.0,0.89196675900277,1.0,10715,818,0,287,0.5740254127979278,nan,0.043803440694920405,0.0,0.3927247577905655,nan,3.762151657289252,0.0,32.72,107.15,3.762151657289252,1.3322676295501878e-15,1.56,0.937900880819864,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,85,3.818852916980401,0.8856422272324562,0.381489180624485,1.0,0.019942868733778596,nan,1000.0,0.5,1.0,10249,356,0,113,0.6756178831565194,nan,0.05198897217716935,0.0,0.5853424109518528,nan,3.818852916980402,0.0,22.25,102.49,3.818852916980402,8.881784197001252e-16,1.575,0.9374437911738297,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,86,3.874737541093223,0.8855709770321846,0.3817641519010067,1.0,0.019437246122642568,nan,1000.0,0.9090909090909091,1.0,10408,509,0,155,0.6415044132031893,nan,0.042214933066784976,0.0,0.4115397647807473,nan,3.8747375410932245,0.0,26.789473684210527,104.08,3.8747375410932245,1.3322676295501878e-15,1.5899999999999999,0.9368675761912848,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,87,3.916240373005058,0.8856867274641991,0.38151526369154454,0.987466261808367,0.01864241755434445,nan,1000.0,0.7810993068113321,1.0,10275,381,0,64,0.8661684138434274,nan,0.0525921613738077,0.0,0.6138187157256263,nan,3.9162403730050594,0.0,27.214285714285715,102.75,3.9162403730050594,1.3322676295501878e-15,1.6050000000000002,0.9365893599570886,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,88,3.958594794875645,0.8857412269711494,0.381476701721549,0.996894569346063,0.01824123346630265,nan,1000.0,0.6116247534516766,1.0,10311,418,0,119,0.6894679946057937,nan,0.042427807864872304,0.0,0.4181533122763914,nan,3.958594794875645,0.0,24.58823529411765,103.11,3.958594794875645,0.0,1.62,0.9361528328001201,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,89,4.00182186932881,0.8857914781570435,0.3815325041860342,0.9900651999094713,0.01824231690261513,nan,1000.0,0.9806721580269911,1.0,10480,587,0,85,0.8603857979178429,nan,0.052421826516200073,0.0,0.4961665887385607,nan,4.0018218693288095,0.0,36.6875,104.8,4.0018218693288095,8.881784197001252e-16,1.635,0.9358168446424208,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,90,4.045943537463281,0.8857589764893055,0.3815836802870035,0.9909854407829627,0.018043582576016584,nan,1000.0,0.6252558048012594,1.0,10469,587,0,382,0.492503164211909,nan,0.04583928882487973,0.0,0.4260498280326525,nan,4.045943537463281,0.0,19.566666666666666,104.69,4.045943537463281,0.0,1.65,0.9343101545263106,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,91,4.090982666874294,0.8858052283525467,0.38164026439189913,0.9956815114709852,0.01812296305947444,nan,1000.0,0.991551724137931,1.0,10294,396,0,110,0.8280824843574973,nan,0.05490730134742618,0.0,0.5297078174703261,nan,4.090982666874295,0.0,23.294117647058822,102.94,4.090982666874295,8.881784197001252e-16,1.6649999999999998,0.9338582046551165,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,92,4.136963102650078,0.8858642269670963,0.3816479607671499,0.9991546914623838,0.017678863601759076,nan,1000.0,0.5375565610859728,1.0,10276,385,0,175,0.6139719620347023,nan,0.044115633863178745,0.0,0.4242809385061264,nan,4.136963102650078,0.0,19.25,102.76,4.136963102650078,0.0,1.6800000000000002,0.9331791931780995,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,93,4.183909721536838,0.8858547270298004,0.3817130261659622,1.0,0.017684189159245717,nan,1000.0,0.7142857142857143,1.0,10293,399,0,184,0.5324328896545228,nan,0.036750347817436996,0.0,0.35506719208898996,nan,4.183909721536837,0.0,19.0,102.93,4.183909721536837,8.881784197001252e-16,1.695,0.9325220979827743,nan
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,94,4.231848489478358,0.885852977335453,0.38175862215459344,0.9952753496605566,0.01755134027916938,nan,1000.0,0.9006723201203304,1.0,10462,566,0,84,0.6585318967700005,nan,0.04242735838001109,0.0,0.3679439015686512,nan,4.2318484894783595,0.0,35.375,104.62,4.2318484894783595,1.7763568394002505e-15,1.71,0.9321763353801547,nan
